DEPTH_MD,CALI,RSHA,RMED,RDEP,RHOB,GR,PEF,DTC,SP,ROP,DRHO,FORCE_2020_LITHOFACIES_LITHOLOGY
494.528,19.48083496,,1.611409783,1.798681378,1.884185791,80.20085144,20.91546822,161.1311798,24.61237907,34.63640976,-0.574927628,65000
494.68,19.46879959,,1.618070245,1.795641303,1.889793515,79.26288605,19.38301277,160.6034699,23.8955307,34.63640976,-0.570188403,65000
494.832,19.46879959,,1.626458526,1.800733328,1.89652276,74.8219986,22.5915184,160.1736145,23.91635704,34.77955627,-0.574245155,65000
494.984,19.45928192,,1.621594071,1.801516652,1.891912818,72.87892151,32.19190979,160.1494293,23.79368782,39.96516419,-0.586315274,65000
495.136,19.4531002,,1.602679014,1.795299053,1.880034089,71.72914124,38.49563217,160.1283417,24.10407829,57.48376465,-0.597913623,65000
495.288,19.4531002,,1.585566878,1.804718614,1.879687429,72.01441956,43.65748215,160.149292,23.93127823,75.28141022,-0.601599991,65000
495.44,19.4624958,,1.576569319,1.805498481,1.878730774,72.58808899,42.23622131,161.2503815,23.38179016,76.19995117,-0.598368526,65000
495.592,19.46879959,,1.587010741,1.808367252,1.867836952,71.28305054,39.93356323,162.2144165,23.63216591,76.19995117,-0.602039278,65000
495.744,19.46879959,,1.613673687,1.815813422,1.847232938,69.72143555,39.16322327,161.5751038,22.16354179,75.89879608,-0.614363968,65000
495.896,19.46879959,,1.634621859,1.813915849,1.836309433,66.67772675,37.80293274,160.5833588,23.65992546,68.1212616,-0.621812582,65000
496.048,19.46879959,,1.638895154,1.811499953,1.845129728,65.89279938,36.28553391,159.6243897,24.0387249,47.22714233,-0.611830294,65000
496.2,19.46879959,,1.635417581,1.817820311,1.860144258,66.9282608,37.2924881,158.8552246,23.76131058,46.82839966,-0.59656769,65000
496.352,19.46879959,,1.62925601,1.814318776,1.864510536,70.42802429,37.34254837,159.0859375,24.1138401,46.82839966,-0.592989445,65000
496.504,19.46879959,,1.618633628,1.826174736,1.860457897,72.56874085,38.71650314,159.1155396,24.28775024,46.82839966,-0.597912192,65000
496.656,19.45973396,,1.61838162,1.835492969,1.858977437,71.93222809,33.71238709,159.1354065,24.30599976,46.7667923,-0.602274597,65000
496.808,19.47109032,,1.628250361,1.82684958,1.863308668,71.09547424,30.34129906,159.4445496,24.4120903,46.56005478,-0.601545691,65000
496.96,19.49332619,,1.632799983,1.826762676,1.879073143,74.25437164,29.63158989,159.0914002,23.79644585,46.31050491,-0.593978047,65000
497.112,19.5,,1.620043516,1.823949575,1.889781952,77.26652527,34.33280945,159.3505096,23.57557297,46.06089401,-0.592418253,65000
497.264,19.5,,1.597079516,1.822644353,1.8950212,77.24365997,44.43385696,159.9137116,23.66109467,45.81139755,-0.597760856,65000
497.416,19.5,,1.580862165,1.824071407,1.881866336,74.07276154,58.93719482,160.6822357,23.78576279,45.56188583,-0.616915762,65000
497.568,19.5,,1.58333385,1.822694421,1.871852398,72.19868469,54.92172241,161.3591614,24.2505455,45.32688522,-0.627428412,65000
497.72,19.5,,1.59980166,1.821740985,1.876739383,73.68801117,47.02633286,161.1643829,24.51959229,44.24450684,-0.618399918,65000
497.872,19.5,,1.611682773,1.818573594,1.887580037,72.74712372,36.53207779,160.5857239,25.0749588,40.59315109,-0.608738244,65000
498.024,19.50863838,,1.613746285,1.812634468,1.904245973,70.0386734,30.11254883,160.0858917,24.6637001,39.00767136,-0.604946256,65000
498.176,19.5156002,,1.614898086,1.817094922,1.923948526,69.45860291,36.19567108,159.8309326,23.96363258,38.92443848,-0.603397846,65000
498.328,19.5156002,,1.609783292,1.828026295,1.920217991,70.17543793,56.30366516,160.0414887,24.12007141,38.84132385,-0.606832683,65000
498.48,19.5156002,,1.603954196,1.830962896,1.890530467,69.16938782,66.03031921,160.0211945,23.87360764,38.75810242,-0.615422189,65000
498.632,19.50712395,,1.613605857,1.833794594,1.8665241,66.9418869,49.00489807,159.7835846,24.4189148,38.67358398,-0.618839324,65000
498.784,19.5,,1.628966451,1.840089917,1.863617301,68.77094269,38.92090607,159.6377411,24.27659226,38.58960342,-0.61290139,65000
498.936,19.5,,1.636360169,1.838603497,1.874032736,71.86476898,35.37842178,159.5188599,23.70553398,37.03606033,-0.611036301,65000
499.088,19.48329735,,1.639252543,1.83708787,1.863143206,74.23991394,29.56348419,159.7170715,24.16906929,32.1571312,-0.627915323,65000
499.24,19.48542023,,1.639587879,1.838367343,1.851210237,73.41942596,26.18919563,159.7897949,24.02932549,31.86545181,-0.643742979,65000
499.392,19.5,,1.635572672,1.84102726,1.856627345,74.15774536,30.85277557,160.2770844,24.13826561,31.86545181,-0.63950336,65000
499.544,19.5,,1.623041272,1.842744947,1.864041925,74.61391449,36.39323044,160.4650269,22.97877884,31.86545181,-0.631506503,65000
499.696,19.5,,1.609155655,1.834608316,1.869722247,74.09203339,44.72164536,160.5048981,23.67958069,31.86545181,-0.631422281,65000
499.848,19.5,,1.601418614,1.837814331,1.872092366,73.94429779,43.74756241,160.4992828,24.13005257,31.86545181,-0.635620296,65000
500,19.5,,1.60317266,1.843634248,1.867959619,75.05583191,37.7376709,160.4855804,23.88341713,31.73955345,-0.643759966,65000
500.152,19.5,,1.610450029,1.836767674,1.857251525,76.5089798,31.72517777,160.362442,23.80599976,31.07307434,-0.652932346,65000
500.304,19.5,,1.623843432,1.831508517,1.845531106,73.46416473,26.77162552,159.8369904,23.97862434,30.60194206,-0.659477293,65000
500.456,19.5,,1.637279272,1.828565121,1.847321391,68.75713348,29.25234985,159.2585754,24.12319756,30.15582466,-0.657853246,65000
500.608,19.5,,1.640599966,1.831121922,1.853023648,66.21476746,31.11192894,159.0455017,24.24788475,29.70971108,-0.655276418,65000
500.76,19.47624397,,1.630722404,1.826084852,1.883259058,67.51963043,25.78015518,159.0919647,23.88476372,29.2924633,-0.652039766,65000
