"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"16/2-16","684.27039612","476768.09375","6523590.0","-657.9371338","NORDLAND GP.",,"13.042572975",,"1.4148000479","1.4192999601",,"88.937461853",,"0.4554075301",,"159.80560303",,"9.875","39.320922852",,,,,,,,"65000",
"16/2-16","684.42239612","476768.09375","6523590.0","-658.0888672","NORDLAND GP.",,"13.33386898",,"1.3920735121","1.3984810114",,"87.800704956",,"0.4506929815",,"158.90036011",,"9.875","33.086723328",,,,,,,,"65000","1.0"
"16/2-16","684.57439612","476768.09375","6523590.0","-658.2406006","NORDLAND GP.",,"13.426064491",,"1.4354661703","1.4498273134",,"86.460014343",,"0.4504324198",,"156.98258972",,"9.875","28.410923004",,,,,,,,"65000","1.0"
"16/2-16","684.72639612","476768.09375","6523590.0","-658.392395","NORDLAND GP.",,"13.320748329",,"1.4589562416","1.4798190594",,"85.662811279",,"0.4612625539",,"155.27825928",,"9.875","19.690227509",,,,,,,,"65000","1.0"
"16/2-16","684.87839612","476768.09375","6523590.0","-658.5441284","NORDLAND GP.",,"13.156784058",,"1.3941028118","1.4030532837",,"86.043411255",,"0.4647228122",,"155.09603882",,"9.875","15.122011185",,,,,,,,"65000","1.0"
"16/2-16","685.03039612","476768.09375","6523590.0","-658.6959229","NORDLAND GP.",,"13.10970974",,"1.2590370178","1.256834507",,"87.058044434",,"0.4701288044",,"154.34983826",,"9.875","15.088568687",,,,,,,,"65000","1.0"
"16/2-16","685.18239612","476768.09375","6523590.0","-658.8477173","NORDLAND GP.",,"13.28334713",,"1.2000999451","1.19599998",,"87.891075134",,"0.4659114182",,"153.00146484",,"9.875","15.082963943",,,,,,,,"65000","1.0"
"16/2-16","685.33439612","476768.09375","6523590.0","-658.9995728","NORDLAND GP.",,"13.464012146",,"1.2738860846","1.28132689",,"89.105239868",,"0.4577412009",,"151.2363739",,"9.875","15.205836296",,,,,,,,"65000","1.0"
"16/2-16","685.48639612","476768.09375","6523590.0","-659.1514893","NORDLAND GP.",,"13.524418831",,"1.4308702946","1.4543104172",,"92.261993408",,"0.4498084188",,"149.66429138",,"9.875","15.25859642",,,,,,,,"65000","1.0"
"16/2-16","685.63839612","476768.09375","6523590.0","-659.3033447","NORDLAND GP.",,"13.52314949",,"1.5091792345","1.5365045071",,"96.220733643",,"0.45259884",,"148.52520752",,"9.875","15.907833099",,,,,,,,"65000","1.0"
"16/2-16","685.79039612","476768.09375","6523590.0","-659.4552002","NORDLAND GP.",,"13.694324493",,"1.5152000189","1.5415999889",,"98.354293823",,"0.4615302384",,"149.23083496",,"9.875","16.082859039",,,,,,,,"65000","1.0"
"16/2-16","685.94239612","476768.09375","6523590.0","-659.6070557","NORDLAND GP.",,"14.02203083",,"1.5283981562","1.5454708338",,"97.897232056",,"0.4789031446",,"150.70684814",,"9.875","17.405288696",,,,,,,,"65000","1.0"
"16/2-16","686.09439612","476768.09375","6523590.0","-659.7589111","NORDLAND GP.",,"14.254061699",,"1.5211712122","1.5277727842",,"96.483421326",,"0.4790962934",,"151.07661438",,"9.875","18.371747971",,,,,,,,"65000","1.0"
"16/2-16","686.24639612","476768.09375","6523589.5","-659.9107666","NORDLAND GP.",,"14.039222717",,"1.4979692698","1.5062897205",,"92.481590271",,"0.4638214707",,"150.87220764",,"9.875","33.055721283",,,,,,,,"65000","1.0"
"16/2-16","686.39839612","476768.09375","6523589.5","-660.0626221","NORDLAND GP.",,"13.59209919",,"1.4894000292","1.5006999969",,"89.611305237",,"0.4551757574",,"150.08328247",,"9.875","36.707420349",,,,,,,,"65000","1.0"
"16/2-16","686.55039612","476768.09375","6523589.5","-660.2144775","NORDLAND GP.",,"13.336509705",,"1.4881329536","1.4942393303",,"91.310081482",,"0.4535999894",,"149.27799988",,"9.875","31.36252594",,,,,,,,"65000","1.0"
"16/2-16","686.70239612","476768.09375","6523589.5","-660.366333","NORDLAND GP.",,"13.503752708",,"1.4873000383","1.4900000095",,"93.966941833",,"0.4610492289",,"149.4675293",,"9.875","30.261077881",,,"0.0234040059",,,,,"65000","1.0"
"16/2-16","686.85439612","476768.09375","6523589.5","-660.5181274","NORDLAND GP.",,"13.588316917",,"1.4873000383","1.4900000095",,"96.265968323",,"0.4605574012",,"151.75213623",,"9.875","32.83782196",,,"0.0237227213",,,,,"65000","1.0"
"16/2-16","687.00639612","476768.09375","6523589.5","-660.6700439","NORDLAND GP.",,"13.238863945",,"1.475510478","1.4826712608",,"100.29762268",,"0.4511838555",,"153.45870972",,"9.875","33.143211365",,,"0.0039929403",,,,,"65000","1.0"
"16/2-16","687.15839612","476768.09375","6523589.5","-660.8218994","NORDLAND GP.",,"12.948527336",,"1.4648325443","1.4813777208",,"104.91079712",,"0.4471814334",,"154.49424744",,"9.875","31.083400726",,,"-0.026932567",,,,,"65000","1.0"
"16/2-16","687.31039612","476768.09375","6523589.5","-660.9737549","NORDLAND GP.",,"13.644713402",,"1.3459792137","1.3582372665",,"107.40187073",,"0.4479261637",,"155.32475281",,"9.875","32.309101105",,,"-0.051582828",,,,,"65000","1.0"
"16/2-16","687.46239612","476768.09375","6523589.5","-661.1256104","NORDLAND GP.",,"14.051463127",,"1.2647000551","1.2711000443",,"107.19754791",,"0.461659193",,"154.98353577",,"9.875","31.158512115",,,"-0.061511438",,,,,"65000","1.0"
"16/2-16","687.61439612","476768.09375","6523589.5","-661.2774658","NORDLAND GP.",,"13.830982208",,"1.1883825064","1.1913986206",,"105.97135925",,"0.4736486077",,"154.15437317",,"9.875","33.021350861",,,"-0.061211661",,,,,"65000","1.0"
"16/2-16","687.76639612","476768.09375","6523589.5","-661.4293213","NORDLAND GP.",,"13.821885109",,"1.1720981598","1.1833851337",,"103.77591705",,"0.4839830101",,"155.59042358",,"9.875","35.314712524",,,"-0.060999546",,,,,"65000","1.0"
"16/2-16","687.91839612","476768.09375","6523589.5","-661.5811768","NORDLAND GP.",,"14.266586304",,"1.2082278728","1.231637001",,"103.76925659",,"0.4818258286",,"159.27972412",,"9.875","36.972293854",,,"-0.059468959",,,,,"65000","1.0"
"16/2-16","688.07039612","476768.09375","6523589.5","-661.7330322","NORDLAND GP.",,"14.754567146",,"1.2265334129","1.2506844997",,"106.3711319",,"0.4817878604",,"162.04855347",,"9.875","42.765125275",,,"-0.053783219",,,,,"65000","1.0"
"16/2-16","688.22239612","476768.09375","6523589.5","-661.8848877","NORDLAND GP.",,"14.864074707",,"1.2352000475","1.2574000359",,"107.91769409",,"0.4842038751",,"162.97407532",,"9.875","46.065395355",,,"-0.051389981",,,,,"65000","1.0"
"16/2-16","688.37439612","476768.09375","6523589.5","-662.0367432","NORDLAND GP.",,"14.698169708",,"1.2378308773","1.2618069649",,"109.19901276",,"0.4766803682",,"161.95779419",,"9.875","46.202430725",,,"-0.050240245",,,,,"65000","1.0"
"16/2-16","688.52639612","476768.09375","6523589.5","-662.1885986","NORDLAND GP.",,"14.546898842",,"1.2413369417","1.2602578402",,"111.18416595",,"0.4686843753",,"159.67817688",,"9.875","45.284507751",,,"-0.049113933",,,,,"65000","1.0"
"16/2-16","688.67839612","476768.09375","6523589.5","-662.3404541","NORDLAND GP.",,"14.361139297",,"1.2727006674","1.2863684893",,"111.28923798",,"0.4648534358",,"156.99894714",,"9.875","46.865852356",,,"-0.049596909",,,,,"65000","1.0"
"16/2-16","688.83039612","476768.09375","6523589.5","-662.4923096","NORDLAND GP.",,"14.134000778",,"1.2957999706","1.3091000319",,"110.58018494",,"0.4642383754",,"154.48466492",,"9.875","42.656150818",,,"-0.052157443",,,,,"65000","1.0"
"16/2-16","688.98239612","476768.09375","6523589.5","-662.644165","NORDLAND GP.",,"14.098303795",,"1.2872120142","1.2979220152",,"111.91682434",,"0.4614128172",,"152.88973999",,"9.875","36.643642426",,,"-0.055697456",,,,,"65000","1.0"
"16/2-16","689.13439612","476768.09375","6523589.5","-662.7960205","NORDLAND GP.",,"14.116289139",,"1.3053040504","1.3121209145",,"112.83946991",,"0.4588882625",,"152.61949158",,"9.875","31.10531044",,,"-0.056373235",,,,,"65000","1.0"
"16/2-16","689.28639612","476768.09375","6523589.5","-662.947876","NORDLAND GP.",,"14.153999329",,"1.327791214","1.3319247961",,"111.02629852",,"0.4537960589",,"152.97645569",,"9.875","27.515153885",,,"-0.057524819",,,,,"65000","1.0"
"16/2-16","689.43839612","476768.09375","6523589.5","-663.0997925","NORDLAND GP.",,"14.143257141",,"1.3283293247","1.3350166082",,"108.7035675",,"0.450962007",,"153.33343506",,"9.875","27.494243622",,,"-0.056131314",,,,,"65000","1.0"
"16/2-16","689.59039612","476768.09375","6523589.5","-663.2515869","NORDLAND GP.",,"14.127561569",,"1.3316909075","1.3403142691",,"107.76167297",,"0.4533868432",,"153.69039917",,"9.875","27.588611603",,,"-0.055939816",,,,,"65000","1.0"
"16/2-16","689.74239612","476768.09375","6523589.5","-663.4034424","NORDLAND GP.",,"14.187824249",,"1.3356000185","1.3435000181",,"106.93772888",,"0.4698351026",,"154.04736328",,"9.875","24.071647644",,,"-0.056447465",,,,,"65000","1.0"
"16/2-16","689.89439612","476768.09375","6523589.5","-663.5553589","NORDLAND GP.",,"14.153128624",,"1.3280738592","1.3267326355",,"105.64766693",,"0.4753102064",,"154.40432739",,"9.875","19.506845474",,,"-0.052550681",,,,,"65000","1.0"
"16/2-16","690.04639612","476768.09375","6523589.5","-663.7072144","NORDLAND GP.",,"14.10738945",,"1.2931332588","1.2824718952",,"101.70814514",,"0.4660881162",,"154.7612915",,"9.875","18.449895859",,,"-0.052817568",,,,,"65000","1.0"
"16/2-16","690.19839612","476768.09375","6523589.5","-663.8590088","NORDLAND GP.",,"14.19991684",,"1.3187761307","1.3107072115",,"96.777893066",,"0.4586520493",,"155.11825562",,"9.875","18.23670578",,,"-0.052936569",,,,,"65000","1.0"
"16/2-16","690.35039612","476768.09375","6523589.5","-664.0109253","NORDLAND GP.",,"14.45893383",,"1.4154179096","1.4098510742",,"95.182228088",,"0.4591637552",,"155.47521973",,"9.875","19.001499176",,,"-0.053145166",,,,,"65000","1.0"
"16/2-16","690.50239612","476768.09375","6523589.5","-664.1627808","NORDLAND GP.",,"14.492444992",,"1.4344865084","1.4312720299",,"95.169143677",,"0.4705455601",,"155.83218384",,"9.875","20.650611877",,,"-0.052275825",,,,,"65000","1.0"
"16/2-16","690.65439612","476768.09375","6523589.5","-664.3146362","NORDLAND GP.",,"14.281533241",,"1.4105000496","1.4099999666",,"93.919281006",,"0.4774727523",,"156.18914795",,"9.875","22.917358398",,,"-0.05474272",,,,,"65000","1.0"
"16/2-16","690.80639612","476768.09375","6523589.5","-664.4664917","NORDLAND GP.",,"14.173513412",,"1.3912670612","1.3898510933",,"92.002304077",,"0.4817207754",,"156.54611206",,"9.875","25.142765045",,,"-0.057203252",,,,,"65000","1.0"
"16/2-16","690.95839612","476768.09375","6523589.5","-664.6183472","NORDLAND GP.",,"14.30711937",,"1.365290761","1.3608154058",,"90.197059631",,"0.4717569649",,"156.90309143",,"9.875","26.652929306",,,"-0.050160434",,,,,"65000","1.0"
"16/2-16","691.11039612","476768.09375","6523589.5","-664.7702026","NORDLAND GP.",,"14.607943535",,"1.3385220766","1.3366271257",,"90.201049805",,"0.4580739737",,"157.26005554",,"9.875","26.259729385",,,"-0.041840505",,,,,"65000","1.0"
"16/2-16","691.26239612","476768.09375","6523589.5","-664.9220581","NORDLAND GP.",,"14.973369598",,"1.3007819653","1.3052073717",,"94.277694702",,"0.4535210133",,"157.61701965",,"9.875","30.436306",,,"-0.035614178",,,,,"65000","1.0"
"16/2-16","691.41439612","476768.09375","6523589.5","-665.0739136","NORDLAND GP.",,"15.22511673",,"1.2579683065","1.2676753998",,"99.586029053",,"0.4532960653",,"157.97398376",,"9.875","39.980571747",,,"-0.031089209",,,,,"65000","1.0"
"16/2-16","691.56639612","476768.09375","6523589.5","-665.225769","NORDLAND GP.",,"15.379789352",,"1.2268086672","1.240480423",,"102.09228516",,"0.4589543045",,"158.33094788",,"9.875","46.32566452",,,"-0.027325403",,,,,"65000","1.0"
"16/2-16","691.71839612","476768.09375","6523589.5","-665.3776245","NORDLAND GP.",,"15.391736031",,"1.2111054659","1.2243106365",,"100.53958893",,"0.4672931433",,"158.68791199",,"9.875","43.950523376",,,"-0.024582595",,,,,"65000","1.0"
"16/2-16","691.87039612","476768.09375","6523589.5","-665.52948","NORDLAND GP.",,"15.574293137",,"1.1889116764","1.1996073723",,"94.542739868",,"0.4735780954",,"159.0448761",,"9.875","40.020023346",,,"-0.025126494",,,,,"65000","1.0"
"16/2-16","692.02239612","476768.09375","6523589.5","-665.6813354","NORDLAND GP.",,"15.687458038",,"1.175065279","1.1859412193",,"88.226303101",,"0.4647808671",,"159.40184021",,"9.875","41.001991272",,,"-0.028033791",,,,,"65000","1.0"
"16/2-16","692.17439612","476768.09375","6523589.5","-665.8331909","NORDLAND GP.",,"15.450705528",,"1.1758999825","1.1880999804",,"86.691566467",,"0.4523668885",,"159.75880432",,"9.875","39.290596008",,,"-0.031624228",,,,,"65000","1.0"
"16/2-16","692.32639612","476768.09375","6523589.5","-665.9850464","NORDLAND GP.",,"15.183431625",,"1.1898628473","1.1997945309",,"88.555801392",,"0.4488437474",,"160.11578369",,"9.875","35.445884705",,,"-0.035365891",,,,,"65000","1.0"
"16/2-16","692.47839612","476768.09375","6523589.5","-666.1369019","NORDLAND GP.",,"14.880619049",,"1.203600049","1.2113000154",,"90.144668579",,"0.4583209753",,"160.4727478",,"9.875","34.032852173",,,"-0.039305676",,,,,"65000","1.0"
"16/2-16","692.63039612","476768.09375","6523589.5","-666.2887573","NORDLAND GP.",,"14.598125458",,"1.2251964808","1.2387818098",,"91.106842041",,"0.4720386863",,"160.82971191",,"9.875","34.621006012",,,"-0.041299999",,,,,"65000","1.0"
"16/2-16","692.78239612","476768.09375","6523589.5","-666.4406128","NORDLAND GP.",,"14.419384003",,"1.2748804092","1.291254878",,"92.713012695",,"0.4660319984",,"161.18667603",,"9.875","36.565582275",,,"-0.039563626",,,,,"65000","1.0"
"16/2-16","692.93439612","476768.09375","6523589.5","-666.5924683","NORDLAND GP.",,"14.218113899",,"1.3060632944","1.3179802895",,"94.555763245",,"0.4520611763",,"161.54364014",,"9.875","37.844573975",,,"-0.036368992",,,,,"65000","1.0"
"16/2-16","693.08639612","476768.09375","6523589.5","-666.7443237","NORDLAND GP.",,"13.861824989",,"1.3073785305","1.3153282404",,"95.535865784",,"0.4519172013",,"161.90060425",,"9.875","39.402011871",,,"-0.032593265",,,,,"65000","1.0"
"16/2-16","693.23839612","476768.125","6523589.5","-666.8961792","NORDLAND GP.",,"13.317440987",,"1.3057999611","1.3109999895",,"94.470436096",,"0.4677736461",,"162.25756836",,"9.875","41.475799561",,,"-0.027417609",,,,,"65000","1.0"
