WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_CONFIDENCE
2025/11/24,1457.0192,462263.0938,6551908,-1430.948364,HORDALAND GP.,Skade Fm.,12.1670351,,1.202200532,1.264657736,2.109571457,190.5104065,,0.459025502,5.037636757,126.3499374,,12.25000095,23.25484848,363.975708,-0.083224848,0.00581175,,0.502057612,19.7395649,,65000
2025/11/24,1457.1712,462263.0938,6551908,-1431.100342,HORDALAND GP.,Skade Fm.,11.99484253,,1.105117083,1.160357595,2.093878031,192.314621,,0.496664763,4.952395439,126.7824478,,12.25000095,22.28343964,362.6503601,-0.254701912,0.015482592,,0.420980573,19.67559433,,65000
2025/11/24,1457.3232,462263.0938,6551908,-1431.252441,HORDALAND GP.,Skade Fm.,12.37215328,,1.065639138,1.118969798,2.12405014,193.2025604,,0.502296031,4.938099384,128.1131592,,12.25000095,18.85361099,364.0275574,0.121699236,0.02706551,,0.482278436,19.72623253,,65000
2025/11/24,1457.4752,462263.0938,6551908,-1431.404419,HORDALAND GP.,Skade Fm.,11.93164921,,1.064089298,1.11615932,2.173341513,188.4380341,,0.495242268,4.96485281,129.6031799,,12.25000095,21.75835037,366.6209412,-0.318175137,0.038241904,,0.573656261,19.77689934,,65000
2025/11/24,1457.6272,462263.0938,6551908,-1431.556396,HORDALAND GP.,Skade Fm.,12.06611347,,1.149427533,1.203837872,2.213936329,177.6792755,,0.46999678,4.997373581,131.3203888,,12.25000095,33.74508286,368.3669128,-0.062853798,0.045875702,,0.628045023,19.82756615,,65000
2025/11/24,1457.7792,462263.0938,6551908,-1431.708374,HORDALAND GP.,Skade Fm.,11.9281311,,1.174049616,1.228936672,2.229342222,166.5576935,,0.457638532,5.006625652,132.8799591,,12.25000095,43.29735947,370.7314453,0.30113259,0.047527283,,0.632620752,19.87823296,,65000
2025/11/24,1457.9312,462263.0938,6551908,-1431.860352,HORDALAND GP.,Skade Fm.,11.82690811,,1.135437489,1.179526925,2.222770691,159.2541809,,0.458903819,4.978950977,134.2211914,,12.25000095,43.39862442,371.1641235,-0.422949165,0.045278199,,0.641924202,20.03529358,,65000
2025/11/24,1458.0832,462263.0938,6551908,-1432.012329,HORDALAND GP.,Skade Fm.,11.96505451,,1.083473563,1.120219588,2.202842712,159.7861328,,0.478771746,4.911799431,135.5618439,,12.25000095,40.52993012,374.6162109,-0.284604579,0.039814245,,0.588833511,20.9227581,,65000
2025/11/24,1458.2352,462263.0938,6551908,-1432.164307,HORDALAND GP.,Skade Fm.,12.24260998,,1.071712017,1.109202504,2.185008526,165.1340485,,0.468039304,4.798837185,137.6031494,,12.25000095,39.12056351,382.4914856,-0.007719892,0.033151627,,0.528196275,22.69688797,,65000
2025/11/24,1458.3872,462263.0938,6551908,-1432.316284,HORDALAND GP.,Skade Fm.,12.11994267,,1.048021674,1.085291266,2.184455156,167.1270905,,0.485304445,4.656541824,139.1395264,,12.25000095,38.33611298,391.8913269,-0.129697278,0.027861567,,0.496898741,24.47121048,,65000
2025/11/24,1458.5392,462263.0938,6551908,-1432.468262,HORDALAND GP.,Skade Fm.,12.46582127,,1.021651864,1.060230732,2.185113907,167.5547485,,0.491388679,4.547251701,139.0444794,,12.25000095,37.14748001,397.7773132,0.21562238,0.021105163,,0.516712427,26.24624634,,65000
2025/11/24,1458.6912,462263.0938,6551908,-1432.620239,HORDALAND GP.,Skade Fm.,12.2597065,,1.020021796,1.058488846,2.188709498,169.4872742,,0.512880981,4.517017841,140.0814819,,12.25000095,37.46613693,403.1030273,0.009741432,0.018923219,,0.616508007,28.01955032,,65000
