"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"34/5-1 S","3544.25","478653.78125","6846371.5","-3363.962158","CROMER KNOLL GP.","Mime Fm.","12.188380241",,"1.7553542852","1.675968051","2.5289206505","91.66645813",,,"8.5316476822","89.630592346",,"12.250000954","9.1036615372","182.88928223","-0.06161923","0.013883776",,,"17.001647949",,"65030","1.0"
"34/5-1 S","3544.402","478653.75","6846371.5","-3364.10791","CROMER KNOLL GP.","Mime Fm.","12.146459579",,"1.8640580177","1.7718400955","2.5400485992","90.875991821",,,"8.6062879562","89.006889343",,"12.250000954","8.2919282913","179.70591736","-0.103541233","0.0117928544",,,"17.052961349",,"65030","1.0"
"34/5-1 S","3544.554","478653.75","6846371.5","-3364.253418","CROMER KNOLL GP.","Mime Fm.","12.165512085",,"1.9253482819","1.8205443621","2.5470449924","89.128738403",,,"8.9229335785","88.811828613",,"12.250000954","7.7214450836","175.11471558","-0.084488317","0.009645083",,,"17.104310989",,"65030","1.0"
"34/5-1 S","3544.706","478653.75","6846371.5","-3364.39917","CROMER KNOLL GP.","Mime Fm.","12.172856331",,"1.9545007944","1.8585703373","2.5597264767","87.122451782",,,"8.9772529602","87.816749573",,"12.250000954","7.0429573059","173.17463684","-0.077143855","0.0115106544",,,"17.155601501",,"65030","1.0"
"34/5-1 S","3544.858","478653.71875","6846371.5","-3364.544922","CROMER KNOLL GP.","Mime Fm.","12.167386055",,"1.973356843","1.8698433638","2.5656239986","88.667289734",,,"8.886341095","85.198394775",,"12.250000954","6.9957938194","175.93649292","-0.082613707","0.0117218075",,,"17.206874847",,"65030","1.0"
"34/5-1 S","3545.01","478653.71875","6846371.5","-3364.69043","CROMER KNOLL GP.","Mime Fm.","12.152909279",,"1.9427472353","1.8230654001","2.5620453358","92.499824524",,,"8.8898944855","83.41191864",,"12.250000954","9.0266284943","178.92802429","-0.09709055","0.0086233048",,,"17.283370972",,"65030","1.0"
"34/5-1 S","3545.162","478653.6875","6846372.0","-3364.836182","CROMER KNOLL GP.","Mime Fm.","12.10133934",,"1.8941795826","1.7727073431","2.558870554","91.627082825",,,"9.1990203857","83.178573608",,"12.250000954","12.730341911","179.43424988","-0.148660377","0.0070175179",,,"17.453927994",,"65030","1.0"
"34/5-1 S","3545.314","478653.6875","6846372.0","-3364.981934","CROMER KNOLL GP.","Mime Fm.","12.080690384",,"1.8503115177","1.7594679594","2.5591893196","89.037750244",,,"8.449262619","84.658729553",,"12.250000954","15.448405266","177.40507507","-0.16930896","0.0026816195",,,"17.640911102",,"65030","1.0"
"34/5-1 S","3545.466","478653.6875","6846372.0","-3365.127441","CROMER KNOLL GP.","Mime Fm.","12.107895851",,"1.8540591002","1.7911378145","2.5627331734","89.141044617",,,"8.5280923843","85.604660034",,"12.250000954","15.955967903","174.05943298","-0.142102942","0.0027220903",,,"17.827669144",,"65030","1.0"
"34/5-1 S","3545.618","478653.65625","6846372.0","-3365.273193","CROMER KNOLL GP.","Mime Fm.","12.167700768",,"1.9222891331","1.8198834658","2.5659353733","89.186531067",,,"8.3310642242","85.073234558",,"12.250000954","16.255460739","169.86116028","-0.082298338","0.0062375385",,,"18.01432991",,"65030","1.0"
"34/5-1 S","3545.77","478653.65625","6846372.0","-3365.418945","CROMER KNOLL GP.","Mime Fm.","12.200583458",,"2.019764185","1.905843854","2.5696568489","85.431861877",,,"8.7199907303","83.866966248",,"12.250000954","21.492555618","167.81506348","-0.049417216","0.0113270916",,,"18.201313019",,"65030","1.0"
"34/5-1 S","3545.922","478653.625","6846372.0","-3365.564453","CROMER KNOLL GP.","Mime Fm.","12.140494347",,"2.1578838825","2.0566649437","2.5714349747","80.736419678",,,"8.8184528351","82.389862061",,"12.250000954","32.433242798","166.76647949","-0.109505072","0.0128623024",,,"18.412937164",,"65030","1.0"
"34/5-1 S","3546.074","478653.625","6846372.0","-3365.710205","CROMER KNOLL GP.","Mime Fm.","12.067937851",,"2.2226474285","2.1142091751","2.5700800419","80.491294861",,,"8.7986488342","80.432731628",,"12.250000954","30.529998779","166.13999939","-0.182061315","0.0064949705",,,"18.782648087",,"65030","1.0"
"34/5-1 S","3546.226","478653.625","6846372.0","-3365.855957","CROMER KNOLL GP.","Mime Fm.","12.065514565",,"2.2814986706","2.141928196","2.5722236633","81.873779297",,,"8.5507650375","79.749916077",,"12.250000954","23.989751816","165.65316772","-0.184484765","0.0022056282",,,"19.395090103",,"65030","1.0"
"34/5-1 S","3546.378","478653.59375","6846372.0","-3366.001465","CROMER KNOLL GP.","Mime Fm.","12.094584465",,"2.3367738724","2.1971197128","2.5811653137","79.566253662",,,"8.5405187607","79.809745789",,"12.250000954","22.281888962","166.40325928","-0.155415833","0.0056448905",,,"20.008480072",,"65030","1.0"
"34/5-1 S","3546.53","478653.59375","6846372.0","-3366.147217","CROMER KNOLL GP.","Mime Fm.","12.120518684",,"2.3354024887","2.2035775185","2.5860247612","78.625946045",,,"8.398976326","80.415184021",,"12.250000954","26.396146774","168.43280029","-0.129480973","0.0078106984",,,"20.621545792",,"65030","1.0"
"34/5-1 S","3546.682","478653.5625","6846372.0","-3366.292969","CROMER KNOLL GP.","Mime Fm.","12.136900902",,"2.3142488003","2.1480243206","2.5819630623","82.415840149",,,"8.4505996704","80.834785461",,"12.250000954","33.826557159","172.29940796","-0.113099761","0.0059916391",,,"21.234876633",,"65030","1.0"
"34/5-1 S","3546.834","478653.5625","6846372.0","-3366.438477","CROMER KNOLL GP.","Mime Fm.","12.188792229",,"2.2588598728","2.1246292591","2.5933315754","85.188262939",,,"8.7207136154","82.504226685",,"12.250000954","36.142906189","177.41435242","-0.061208364","0.0096388077",,,"21.847791672",,"65030","1.0"
"34/5-1 S","3546.986","478653.5625","6846372.5","-3366.584229","CROMER KNOLL GP.","Mime Fm.","12.171450615",,"2.2113571167","2.1054134369","2.59460783","83.409721375",,,"8.5959386826","85.27166748",,"12.250000954","35.962539673","181.09753418","-0.078549385","0.0093237711",,,"22.09759903",,"65030","1.0"
