WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_CONFIDENCE
34/6-1 S,3352.5624,483655.4688,6827648,-3174.623779,SHETLAND GP.,Tryggvason Fm.,,,2.467203617,1.818506241,,107.6044006,,,,88.65249634,,12.25000095,,174.0989838,,,,,6.061135769,,65000
34/6-1 S,3352.7144,483655.5625,6827648,-3174.722656,SHETLAND GP.,Tryggvason Fm.,,,2.486362219,1.810210109,,108.3998871,,,,88.95032501,,12.25000095,,177.4832153,,,,,6.234416008,,65000
34/6-1 S,3352.8664,483655.6563,6827648,-3174.821777,SHETLAND GP.,Tryggvason Fm.,,,2.471130848,1.87548995,,109.1472015,,0.586705148,,89.69397736,,12.25000095,,171.7227783,,,,,6.40769577,,65000
34/6-1 S,3353.0184,483655.75,6827648,-3174.920654,SHETLAND GP.,Tryggvason Fm.,,,2.414778709,1.893911123,,110.043663,,0.571038902,,89.07595825,,12.25000095,,171.3644409,,,,,6.61998415,,65000
34/6-1 S,3353.1704,483655.875,6827648,-3175.019775,SHETLAND GP.,Tryggvason Fm.,,,2.301736355,1.86147058,,111.4086762,,0.564854682,,89.89621735,,12.25000095,,173.5401764,,,,,7.115503788,,65000
34/6-1 S,3353.3224,483655.9688,6827648,-3175.118896,SHETLAND GP.,Tryggvason Fm.,,,2.269034386,1.864712,,111.3848953,,0.579687595,,90.22909546,,12.25000095,,172.9403229,,,,,7.611023903,,65000
34/6-1 S,3353.4744,483656.0625,6827648,-3175.217773,SHETLAND GP.,Tryggvason Fm.,,,2.272360325,1.983420134,,111.0869675,,0.60717243,,89.94839478,,12.25000095,,174.2542572,,,,,8.106543541,,65000
34/6-1 S,3353.6264,483656.1563,6827647.5,-3175.31665,SHETLAND GP.,Tryggvason Fm.,,,2.24011755,2.027484179,,111.0865479,,0.639563024,,91.35865021,,12.25000095,,176.074646,,,,,8.602064133,,65000
34/6-1 S,3353.7784,483656.25,6827647.5,-3175.415771,SHETLAND GP.,Tryggvason Fm.,,,2.140238047,1.980413318,,111.8780594,,0.668376625,,91.46961975,,12.25000095,,176.7819061,,,,,9.097583771,,65000
34/6-1 S,3353.9304,483656.375,6827647.5,-3175.514648,SHETLAND GP.,Tryggvason Fm.,,,1.867217064,1.894369841,,112.760994,,0.690096736,,93.13404846,,12.25000095,,184.0782929,,,,,9.593103409,,65000
34/6-1 S,3354.0824,483656.4688,6827647.5,-3175.61377,SHETLAND GP.,Tryggvason Fm.,,,1.609980822,1.757149458,,113.1367493,,0.687928677,,94.12330627,,12.25000095,,178.6112213,,,,,9.721943855,,65000
34/6-1 S,3354.2344,483656.5625,6827647.5,-3175.712646,SHETLAND GP.,Tryggvason Fm.,,,1.547766209,1.635802507,,115.3052216,,0.648304761,,97.17271423,,12.25000095,,185.6600342,,,,,9.541064262,,65000
34/6-1 S,3354.3864,483656.6563,6827647.5,-3175.811768,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.544863939,1.580112338,,116.8865967,,0.617958307,,97.94812012,,12.25000095,,205.974762,,,,,9.360183716,,65000
34/6-1 S,3354.5384,483656.7813,6827647.5,-3175.910645,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.500792623,1.580308795,,116.8045731,,0.610228658,,99.75417328,,12.25000095,,206.2668457,,,,,9.179304123,,65000
34/6-1 S,3354.6904,483656.875,6827647.5,-3176.009766,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.462897778,1.607561231,,115.5006409,,0.596976876,,99.58875275,,12.25000095,,206.5735779,,,,,8.998423576,,65000
34/6-1 S,3354.8424,483656.9688,6827647,-3176.108643,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.52424109,1.561777949,,114.8843842,,0.5848369,,100.2203064,,12.25000095,,201.8530426,,,,,8.817543984,,65000
34/6-1 S,3354.9944,483657.0625,6827647,-3176.20752,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.570043206,1.522159338,,115.6128464,,0.586684108,,99.17302704,,12.25000095,,197.1829834,,,,,8.636664391,,65000
34/6-1 S,3355.1464,483657.1563,6827647,-3176.306641,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.546670914,1.577326298,,115.1468964,,0.587077498,,99.80684662,,12.25000095,,193.0116272,,,,,8.590472221,,65000
34/6-1 S,3355.2984,483657.2813,6827647,-3176.405518,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.567270637,1.578482628,,114.1592865,,0.579928339,,99.72966003,,12.25000095,,198.9357605,,,,,8.549431801,,65000
34/6-1 S,3355.4504,483657.375,6827647,-3176.504639,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.610631943,1.57904315,,112.6452942,,0.574901879,,99.51893616,,12.25000095,,199.9593811,,,,,8.508392334,,65000
34/6-1 S,3355.6024,483657.4688,6827647,-3176.603516,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.627060652,1.574864268,,111.8987503,,0.570689023,,98.83142853,,12.25000095,,191.3969727,,,,,8.467351914,,65000
34/6-1 S,3355.7544,483657.5625,6827647,-3176.702637,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.667506456,1.524919987,,112.7123184,,0.559948385,,99.7620697,,12.25000095,,190.9919281,,,,,8.426311493,,65000
34/6-1 S,3355.9064,483657.6563,6827647,-3176.801514,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.70320487,1.527061462,,114.3975906,,0.550890565,,99.59679413,,12.25000095,,193.0996094,,,,,8.385272026,,65000
34/6-1 S,3356.0584,483657.75,6827647,-3176.900391,SHETLAND GP.,Tryggvason Fm.,8.693300247,,1.661891103,1.598329783,,114.38591,,0.538669884,,98.46952057,,12.25000095,,190.9339752,,,,,8.170199394,,65000
