"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"34/8-3","1276.1044343","475750.46875","6808447.0","-1253.063965","HORDALAND GP.","Utsira Fm.","12.265600204","1.9305994511","1.9355810881","1.1964697838","1.5778642893","56.59488678",,"0.52997154",,"56.682876587","4.1840233803",,,,,"-1.083897233",,,,,"65000","1.0"
"34/8-3","1276.2564343","475750.46875","6808447.0","-1253.215942","HORDALAND GP.","Utsira Fm.","12.265600204","1.925999999","1.9258130789","1.2018339634","1.5881963968","61.37978363",,"0.5677820444",,"56.433540344","3.977606535",,,,,"-1.089594603",,,,,"65000","1.0"
"34/8-3","1276.4084343","475750.46875","6808447.0","-1253.36792","HORDALAND GP.","Utsira Fm.","12.265600204","1.9195830822","1.925216794","1.2068463564","1.6040469408","62.537433624",,"0.5987645984",,"56.206317902","3.3407888412",,,,,"-1.094930649",,,,,"65000","1.0"
"34/8-3","1276.5604343","475750.46875","6808447.0","-1253.519897","HORDALAND GP.","Utsira Fm.","12.26653862","1.9118715525","1.9133774042","1.2106984854","1.5653376579","61.682689667",,"0.6399359703",,"56.306003571","3.3950765133",,,,,"-1.109937429",,,,,"65000","1.0"
"34/8-3","1276.7124343","475750.46875","6808447.0","-1253.671875","HORDALAND GP.","Utsira Fm.","12.280755997","1.9126471281","1.9102123976","1.2134875059","1.5777415037","61.102302551",,"0.6196846962",,"56.405590057","4.0063624382",,,,,"-1.078807235",,,,,"65000","1.0"
"34/8-3","1276.8644343","475750.46875","6808447.0","-1253.82373","HORDALAND GP.","Utsira Fm.","12.273923874","1.9149999619","1.9153000116","1.207911849","1.6218711138","60.204845428",,"0.5633696914",,"56.488750458","4.3110384941",,,,,"-1.016614437",,,,,"65000","1.0"
"34/8-3","1277.0164343","475750.46875","6808447.0","-1253.97583","HORDALAND GP.","Utsira Fm.","12.281201363","1.9155241251","1.9153314829","1.1992897987","1.7011198997","60.326976776",,"0.5489282012",,"56.294754028","4.3669800758",,,,,"-0.949448049",,,,,"65000","1.0"
"34/8-3","1277.1684343","475750.46875","6808447.0","-1254.127808","HORDALAND GP.","Utsira Fm.","12.280815125","1.9165215492","1.9159544706","1.1954009533","1.7732115984","61.639404297",,"0.5381215215",,"56.205142975","4.3046679497",,,,,"-0.88137114",,,,,"65000","1.0"
"34/8-3","1277.3204343","475750.46875","6808447.0","-1254.279785","HORDALAND GP.","Utsira Fm.","12.273767471","1.9164812565","1.9169480801","1.1934764385","1.7976453304","62.783763885",,"0.5730391145",,"56.318893433","3.7235012054",,,,,"-0.838855028",,,,,"65000","1.0"
"34/8-3","1277.4724343","475750.46875","6808447.0","-1254.431763","HORDALAND GP.","Utsira Fm.","12.281895638","1.9092897177","1.915342927","1.192999959","1.7403283119","64.202468872",,"0.5619161725",,"56.682315826","3.0509545803",,,,,"-0.846069336",,,,,"65000","1.0"
