"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"34/8-7 R","4360.016","476274.375","6798590.0","-4333.147461","CROMER KNOLL GP.","Sola Fm.","10.761285782","1.5552203655","2.4247879982","2.3334069252","2.5016281605","97.790054321",,"0.3160219789",,"95.263061523","-82.67469788","8.5",,,,"-0.004825923",,,,,"65000",
"34/8-7 R","4360.168","476274.375","6798590.0","-4333.298828","CROMER KNOLL GP.","Sola Fm.","10.677027702","2.2582957745","2.4546225071","2.3428804874","2.5508613586","94.843162537",,"0.3212715387",,"93.64805603","-82.62453461","8.5",,,,"0.0028820769",,,,,"65000",
"34/8-7 R","4360.32","476274.375","6798590.0","-4333.450195","CROMER KNOLL GP.","Sola Fm.","10.711000443","2.9382858276","2.4437260628","2.3264520168","2.5743777752","91.582618713",,"0.3280809522",,"90.493789673","-82.56076813","8.5",,,,"-0.000194128",,,,,"65000",
"34/8-7 R","4360.472","476274.34375","6798590.0","-4333.602051","CROMER KNOLL GP.","Sola Fm.","10.716885567","2.6123323441","2.456594944","2.3439714909","2.5653474331","88.831871033",,"0.3368412852",,"86.242912292","-82.47045135","8.5",,,,"-0.004310231",,,,,"65000",
"34/8-7 R","4360.624","476274.34375","6798590.0","-4333.753418","CROMER KNOLL GP.","Sola Fm.","10.762868881","1.4977208376","2.5233066082","2.3952188492","2.5273633003","86.633499146",,"0.3473604023",,"81.747932434","-82.36928558","8.5",,,,"-0.012973316",,,,,"65000",
"34/8-7 R","4360.776","476274.34375","6798590.0","-4333.904785","CROMER KNOLL GP.","Sola Fm.","10.72621727","1.8454034328","2.5960938931","2.4601562023","2.4700942039","84.461608887",,"0.3585589826",,"78.026847839","-82.29834747","8.5",,,,"-0.037843529",,,,,"65000",
"34/8-7 R","4360.928","476274.34375","6798590.0","-4334.056641","CROMER KNOLL GP.","Sola Fm.","10.979243279","2.1485383511","2.5551917553","2.4396491051","2.4076938629","82.06212616",,"0.3688775301",,"75.972702026","-82.29959106","8.5",,,,"-0.071231015",,,,,"65000",
"34/8-7 R","4361.08","476274.34375","6798590.0","-4334.208496","CROMER KNOLL GP.","Sola Fm.","11.693757057","1.2332966328","2.4145262241","2.3036153316","2.3515200615","79.808906555",,"0.376883626",,"76.138542175","-82.38883209","8.5",,,,"-0.092381537",,,,,"65000",
"34/8-7 R","4361.232","476274.34375","6798590.0","-4334.359863","CROMER KNOLL GP.","Sola Fm.","12.181001663","0.7669152021","2.266824007","2.1593463421","2.3144345284","78.065757751",,"0.3820843995",,"78.50933075","-82.5459137","8.5",,,,"-0.103252344",,,,,"65000",
"34/8-7 R","4361.384","476274.34375","6798590.0","-4334.51123","CROMER KNOLL GP.","Sola Fm.","12.289643288","0.8731413484","2.1629652977","2.0824735165","2.2981696129","76.702003479",,"0.3849887848",,"82.53200531","-82.72697449","8.5",,,,"-0.112403326",,,,,"65000",
"34/8-7 R","4361.536","476274.34375","6798590.0","-4334.663086","CROMER KNOLL GP.","Sola Fm.","12.328753471","0.8468181491","2.2027513981","2.1272563934","2.3014018536","75.382736206",,"0.3864129782",,"87.327903748","-82.88806152","8.5",,,,"-0.113841355",,,,,"65000",
"34/8-7 R","4361.688","476274.34375","6798590.0","-4334.814453","CROMER KNOLL GP.","Sola Fm.","12.31733799","0.8056989908","2.2838668823","2.2022252083","2.3190050125","74.087677002",,"0.3866925836",,"91.941719055","-83.00673676","8.5",,,,"-0.104421504",,,,,"65000",
"34/8-7 R","4361.84","476274.34375","6798590.0","-4334.96582","CROMER KNOLL GP.","Sola Fm.","12.204515457","0.8642213345","2.2092542648","2.1183834076","2.3441824913","73.166854858",,"0.3854335546",,"95.522888184","-83.08937836","8.5",,,,"-0.092326976",,,,,"65000",
