"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"35/9-6 S","1725.152","537126.5","6804497.0","-1692.167358","SHETLAND GP.","Jorsalfare Fm.","12.247271538",,"1.4675029516","1.5423269272","2.3120472431","100.07809448",,"0.381611675",,"120.79344177",,,,,,,,"1.3009189367","10.961149216",,"65000",
"35/9-6 S","1725.304","537126.5625","6804497.0","-1692.313354","SHETLAND GP.","Jorsalfare Fm.","12.261030197",,"1.497699976","1.4768999815","2.3086056709","96.487739563",,"0.3670470119",,"117.57115936",,,,,,,,"1.3547999859","13.646897316",,"65000",
"35/9-6 S","1725.456","537126.625","6804497.0","-1692.459595","SHETLAND GP.","Jorsalfare Fm.","12.294913292",,"1.4915242195","1.4730608463","2.3291623592","92.812103271",,"0.3503553569",,"115.79203796",,,,,,,,"1.3503875732","16.332645416",,"65000",
"35/9-6 S","1725.608","537126.625","6804497.0","-1692.605591","SHETLAND GP.","Jorsalfare Fm.","12.284025192",,"1.3421205282","1.3805701733","2.374078989","105.04660797",,"0.35184443",,"115.92234802",,,,,,,,"1.2402100563","19.01839447",,"65000",
"35/9-6 S","1725.76","537126.6875","6804497.0","-1692.751831","SHETLAND GP.","Jorsalfare Fm.","12.301552773",,"1.3544063568","1.395486474","2.3680002689","105.91915131",,"0.3545333147",,"116.43206787",,,,,,,,"1.1886130571","21.704143524",,"65000","1.0"
"35/9-6 S","1725.912","537126.75","6804497.0","-1692.897827","SHETLAND GP.","Jorsalfare Fm.","12.31702137",,"1.3754001856","1.4160643816","2.3622162342","101.6710434",,"0.3580137789",,"117.51290894",,,,,,,,"1.2081983089","24.389892578",,"65000","1.0"
"35/9-6 S","1726.064","537126.75","6804497.0","-1693.044067","SHETLAND GP.","Jorsalfare Fm.","12.301724434",,"1.4089671373","1.4479826689","2.3580737114","96.229240417",,"0.3755587339",,"119.44985962",,,,,,,,"1.220001936","24.946750641",,"65000","1.0"
"35/9-6 S","1726.216","537126.8125","6804497.0","-1693.190063","SHETLAND GP.","Jorsalfare Fm.","12.226056099",,"1.4279112816","1.4648275375","2.3365957737","98.04058075",,"0.3638097942",,"119.59140778",,,,,,,,"1.1972340345","22.576387405",,"65000","1.0"
"35/9-6 S","1726.368","537126.875","6804497.0","-1693.336304","SHETLAND GP.","Jorsalfare Fm.","12.202009201",,"1.390956521","1.4169284105","2.3205318451","105.64601135",,"0.3516342938",,"119.17579651",,,,,,,,"1.17286551","20.20602417",,"65000","1.0"
"35/9-6 S","1726.52","537126.875","6804497.0","-1693.4823","SHETLAND GP.","Jorsalfare Fm.","12.241700172",,"1.4202531576","1.4444332123","2.3189265728","96.960525513",,"0.3652534187",,"119.2661972",,,,,,,,"1.2061400414","17.835659027",,"65000","1.0"
