DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,BS,FORCE_2020_LITHOFACIES_LITHOLOGY
1164.8522,HORDALAND GP.,,17.67091179,1.392891407,1.548572183,2.149211645,38.67681122,17.5,99000
1165.0042,HORDALAND GP.,,17.65765953,1.563364029,1.58240521,2.192555904,39.4918251,17.5,99000
1165.1562,HORDALAND GP.,,17.66500855,1.793628693,1.52689147,2.235167742,38.51543045,17.5,99000
1165.3082,HORDALAND GP.,,17.66319466,1.822000027,1.481716394,2.250089884,37.41086197,17.5,99000
1165.4602,HORDALAND GP.,,17.64745712,1.638974547,1.439526916,2.216196299,37.31950378,17.5,99000
1165.6122,HORDALAND GP.,,17.64129067,1.399396062,1.397352457,2.13513422,38.13147736,17.5,99000
1165.7642,HORDALAND GP.,,17.6482029,1.177038908,1.365355253,2.067282438,38.94306946,17.5,99000
1165.9162,HORDALAND GP.,,17.66213417,1.075296164,1.345944762,2.037978649,39.69610977,17.5,99000
1166.0682,HORDALAND GP.,,17.64761734,1.042320252,1.328189492,2.040869474,38.89779282,17.5,99000
1166.2202,HORDALAND GP.,,17.59840393,1.060350776,1.308438778,2.051992655,38.12033844,17.5,99000
1166.3722,HORDALAND GP.,,17.53821755,1.110748649,1.287372828,2.053169727,36.9436264,17.5,99000
1166.5242,HORDALAND GP.,,17.48601341,1.131619573,1.266221762,2.052504301,35.36227036,17.5,99000
1166.6762,HORDALAND GP.,,17.48335266,1.15491569,1.263033748,2.057876349,35.0961113,17.5,99000
1166.8282,HORDALAND GP.,,17.50901222,1.170781493,1.266326308,2.060503006,35.62856293,17.5,99000
1166.9802,HORDALAND GP.,,17.51771927,1.186663389,1.27012527,2.057489872,35.99216843,17.5,99000
1167.1322,HORDALAND GP.,,17.51832962,1.200628638,1.266291738,2.070042849,35.37808991,17.5,99000
1167.2842,HORDALAND GP.,,17.51813126,1.217128635,1.261027694,2.074166775,34.70636749,17.5,99000
1167.4362,HORDALAND GP.,,17.51784706,1.209895611,1.262140155,2.055029154,34.33418655,17.5,99000
1167.5882,HORDALAND GP.,,17.5176239,1.139626145,1.267299652,2.039146662,35.22468185,17.5,99000
1167.7402,HORDALAND GP.,,17.51265144,1.10117209,1.285111666,2.041236877,36.80991364,17.5,99000
1167.8922,HORDALAND GP.,,17.49824143,1.103071213,1.310340762,2.040428877,39.33749008,17.5,99000
1168.0442,HORDALAND GP.,,17.47926903,1.134188414,1.336570025,2.037772179,41.70452118,17.5,99000
1168.1962,HORDALAND GP.,,17.45962906,1.194569707,1.364065528,2.03920579,42.89221191,17.5,99000
1168.3482,HORDALAND GP.,,17.3469944,1.253863812,1.415317178,2.039185047,43.58573151,17.5,99000
1168.5002,HORDALAND GP.,,17.14824295,1.28260088,1.471415162,2.035718679,44.68625641,17.5,99000
1168.6522,HORDALAND GP.,,17.07533264,1.285450101,1.52743268,2.033028364,46.85573959,17.5,99000
1168.8042,HORDALAND GP.,,17.15612793,1.290601611,1.576714039,2.032191277,47.67585754,17.5,99000
1168.9562,HORDALAND GP.,,17.32887459,1.293522477,1.621935964,2.033168316,47.62763214,17.5,99000
1169.1082,HORDALAND GP.,,17.48891258,1.318472147,1.666541576,2.04895711,46.7849083,17.5,99000
1169.2602,HORDALAND GP.,,17.58609963,1.352391362,1.691411972,2.071563721,44.38431168,17.5,99000
1169.4122,HORDALAND GP.,,17.62762833,1.428172827,1.682526469,2.098163843,40.61333466,17.5,99000
1169.5642,HORDALAND GP.,,17.63418388,1.513635278,1.666768313,2.122746468,36.70200348,17.5,99000
1169.7162,HORDALAND GP.,,17.63413239,1.607819319,1.646193385,2.139849424,33.77125931,17.5,99000
1169.8682,HORDALAND GP.,,17.62855721,1.660555005,1.617735267,2.14351511,33.06007385,17.5,99000
1170.0202,HORDALAND GP.,,17.61345291,1.542432427,1.587616444,2.120713949,33.47776794,17.5,99000
1170.1722,HORDALAND GP.,,17.59933662,1.364550352,1.554636955,2.102976799,34.32884216,17.5,99000
1170.3242,HORDALAND GP.,,17.59382439,1.269616008,1.520691752,2.099825621,35.49380875,17.5,99000
1170.4762,HORDALAND GP.,,17.5961113,1.298860431,1.486743093,2.108506441,36.24398422,17.5,99000
1170.6282,HORDALAND GP.,,17.60691452,1.374722362,1.455052733,2.125607967,36.02425385,17.5,99000
1170.7802,HORDALAND GP.,,17.62154007,1.440648913,1.425440908,2.139252424,35.16742706,17.5,99000
1170.9322,HORDALAND GP.,,17.63051415,1.399508834,1.429506302,2.140329599,34.70320511,17.5,99000
1171.0842,HORDALAND GP.,,17.63725281,1.295737147,1.451341271,2.125228643,34.78177261,17.5,99000
1171.2362,HORDALAND GP.,,17.6511364,1.236805201,1.480916381,2.102458954,35.43542862,17.5,99000
1171.3882,HORDALAND GP.,,17.64221001,1.264639616,1.515139937,2.100894451,37.15288544,17.5,99000
1171.5402,HORDALAND GP.,,17.60740089,1.328270078,1.550314784,2.103391647,38.40608978,17.5,99000
1171.6922,HORDALAND GP.,,17.59459114,1.383014083,1.573837638,2.106639385,38.01163101,17.5,99000
1171.8442,HORDALAND GP.,,17.60194969,1.426158667,1.581559897,2.098516464,35.47027588,17.5,99000
1171.9962,HORDALAND GP.,,17.61742973,1.426322937,1.585476875,2.076931,33.45808792,17.5,99000
1172.1482,HORDALAND GP.,,17.62802696,1.413968086,1.589360237,2.064942122,33.42457962,17.5,99000
1172.3002,HORDALAND GP.,,17.62994766,1.400995255,1.586963415,2.067557573,34.53655624,17.5,99000
1172.4522,HORDALAND GP.,,17.62732124,1.387982965,1.582498789,2.08079648,35.39923096,17.5,99000
1172.6042,HORDALAND GP.,,17.6166172,1.384651542,1.578083396,2.08632946,36.02561188,17.5,99000
1172.7562,HORDALAND GP.,,17.6031189,1.383319855,1.564457417,2.081341267,36.74402237,17.5,99000
1172.9082,HORDALAND GP.,,17.60405159,1.37706387,1.539147019,2.07591176,37.67628861,17.5,99000
1173.0602,HORDALAND GP.,,17.62169647,1.357653618,1.510840535,2.080065489,38.03757477,17.5,99000
1173.2122,HORDALAND GP.,,17.64556694,1.32417047,1.48260355,2.080043316,37.59643555,17.5,99000
1173.3642,HORDALAND GP.,,17.65766907,1.291313052,1.458143473,2.078518629,36.75552368,17.5,99000
1173.5162,HORDALAND GP.,,17.64766502,1.275518537,1.438327074,2.086757898,34.90029144,17.5,99000
1173.6682,HORDALAND GP.,,17.61094284,1.265238285,1.421212792,2.103770971,33.78744125,17.5,99000
1173.8202,HORDALAND GP.,,17.5317173,1.257010341,1.407140732,2.124011517,33.93808746,17.5,99000
1173.9722,HORDALAND GP.,,17.47011757,1.24770391,1.393909216,2.115801334,34.30522919,17.5,99000
1174.1242,HORDALAND GP.,,17.49061966,1.230686665,1.391991496,2.098131418,33.66898727,17.5,99000
1174.2762,HORDALAND GP.,,17.53785324,1.211056233,1.411279202,2.097244024,33.6676712,17.5,99000
1174.4282,HORDALAND GP.,,17.55596542,1.216932535,1.437055826,2.10793376,33.93561554,17.5,99000
1174.5802,HORDALAND GP.,,17.56279564,1.235102654,1.441632509,2.111496449,33.26898575,17.5,99000
1174.7322,HORDALAND GP.,,17.56965256,1.273251653,1.435644031,2.103620768,32.08606339,17.5,99000
1174.8842,HORDALAND GP.,,17.57653809,1.332283497,1.414578915,2.10464859,31.25434303,17.5,99000
1175.0362,HORDALAND GP.,,17.58662796,1.404919505,1.386711597,2.123456001,30.61736298,17.5,99000
1175.1882,HORDALAND GP.,,17.60458756,1.413855314,1.359954476,2.146839619,31.52808571,17.5,99000
1175.3402,HORDALAND GP.,,17.62077141,1.338039756,1.333815217,2.153850555,32.33216476,17.5,99000
1175.4922,HORDALAND GP.,,17.62485886,1.2090832,1.307693958,2.11130476,33.25044251,17.5,99000
1175.6442,HORDALAND GP.,,17.62465859,1.108132124,1.280995846,2.070382834,33.97803116,17.5,99000
1175.7962,HORDALAND GP.,,17.62698746,1.064593315,1.253852844,2.051515579,34.6415596,17.5,99000
1175.9482,HORDALAND GP.,,17.63913345,1.063291907,1.226635456,2.036602736,35.20517349,17.5,99000
