DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,FORCE_2020_LITHOFACIES_LITHOLOGY
1725.152,SHETLAND GP.,Jorsalfare Fm.,12.24727154,1.467502952,1.542326927,2.312047243,100.0780945,65000
1725.304,SHETLAND GP.,Jorsalfare Fm.,12.2610302,1.497699976,1.476899982,2.308605671,96.48773956,65000
1725.456,SHETLAND GP.,Jorsalfare Fm.,12.29491329,1.49152422,1.473060846,2.329162359,92.81210327,65000
1725.608,SHETLAND GP.,Jorsalfare Fm.,12.28402519,1.342120528,1.380570173,2.374078989,105.046608,65000
1725.76,SHETLAND GP.,Jorsalfare Fm.,12.30155277,1.354406357,1.395486474,2.368000269,105.9191513,65000
1725.912,SHETLAND GP.,Jorsalfare Fm.,12.31702137,1.375400186,1.416064382,2.362216234,101.6710434,65000
1726.064,SHETLAND GP.,Jorsalfare Fm.,12.30172443,1.408967137,1.447982669,2.358073711,96.22924042,65000
1726.216,SHETLAND GP.,Jorsalfare Fm.,12.2260561,1.427911282,1.464827538,2.336595774,98.04058075,65000
1726.368,SHETLAND GP.,Jorsalfare Fm.,12.2020092,1.390956521,1.416928411,2.320531845,105.6460114,65000
1726.52,SHETLAND GP.,Jorsalfare Fm.,12.24170017,1.420253158,1.444433212,2.318926573,96.96052551,65000
1726.672,SHETLAND GP.,Jorsalfare Fm.,12.27684879,1.42692399,1.451511502,2.317496777,97.11587524,65000
1726.824,SHETLAND GP.,Jorsalfare Fm.,12.27807331,1.422803044,1.45481658,2.324070215,97.73569489,65000
1726.976,SHETLAND GP.,Jorsalfare Fm.,12.25277615,1.40128696,1.436473131,2.32664156,107.8255234,65000
1727.128,SHETLAND GP.,Jorsalfare Fm.,12.31236267,1.368005037,1.405953288,2.322315216,113.4510651,65000
1727.28,SHETLAND GP.,Jorsalfare Fm.,12.36978054,1.338159204,1.374979734,2.335439682,113.9800186,65000
1727.432,SHETLAND GP.,Jorsalfare Fm.,12.3453579,1.360514998,1.382500053,2.338947296,106.2917938,65000
1727.584,SHETLAND GP.,Jorsalfare Fm.,12.37218666,1.364006639,1.381096959,2.325113773,100.0990448,65000
1727.736,SHETLAND GP.,Jorsalfare Fm.,12.37392235,1.338975191,1.375005841,2.321543694,99.72280884,65000
1727.888,SHETLAND GP.,Jorsalfare Fm.,12.3335886,1.335006952,1.382898212,2.322556734,97.12402344,65000
