DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,GR,NPHI,BS,ROP,FORCE_2020_LITHOFACIES_LITHOLOGY
2484.1692,SHETLAND GP.,Kyrre Fm.,12.32718658,1.425778151,1.425389171,73.87059021,,17.5,21.79576874,65000
2484.3212,SHETLAND GP.,Kyrre Fm.,12.33652878,1.422519207,1.42359972,76.23173523,,17.5,20.55615807,65000
2484.4732,SHETLAND GP.,Kyrre Fm.,12.38625145,1.44016552,1.431447387,75.29074097,0.358347893,17.5,21.41207504,65000
2484.6252,SHETLAND GP.,Kyrre Fm.,12.4520731,1.479320049,1.446668387,70.63868713,0.347173512,17.5,22.74973869,65000
2484.7772,SHETLAND GP.,Kyrre Fm.,12.50518894,1.518869281,1.459311605,64.37233734,0.343636185,17.5,25.38622093,65000
2484.9292,SHETLAND GP.,Kyrre Fm.,12.54130459,1.496709466,1.448555946,65.61168671,0.347229034,17.5,25.33120918,65000
2485.0812,SHETLAND GP.,Kyrre Fm.,12.56624889,1.432780266,1.419622541,73.00938416,0.354758024,17.5,22.24803162,65000
2485.2332,SHETLAND GP.,Kyrre Fm.,12.58358765,1.404263496,1.399827957,72.2891922,0.356369913,17.5,21.36996651,65000
2485.3852,SHETLAND GP.,Kyrre Fm.,12.5943594,1.361486077,1.367486119,70.99790192,0.349212945,17.5,22.45334244,65000
2485.5372,SHETLAND GP.,Kyrre Fm.,12.60553551,1.351597309,1.352221251,71.19220734,0.342317045,17.5,22.82232475,65000
2485.6892,SHETLAND GP.,Kyrre Fm.,12.63520527,1.349443078,1.337442994,71.59395599,0.338273943,17.5,22.60144234,65000
2485.8412,SHETLAND GP.,Kyrre Fm.,12.69329166,1.335713625,1.32518208,71.04760742,0.339085937,17.5,22.3570385,65000
2485.9932,SHETLAND GP.,Kyrre Fm.,12.74806404,1.321258187,1.315419436,70.12369537,0.345077246,17.5,21.91418076,65000
2486.1452,SHETLAND GP.,Kyrre Fm.,12.7647562,1.323913097,1.313712001,69.51087189,0.34988153,17.5,21.2979126,65000
2486.2972,SHETLAND GP.,Kyrre Fm.,12.7607336,1.339856863,1.311285257,69.42088318,0.344999075,17.5,20.01864052,65000
2486.4492,SHETLAND GP.,Kyrre Fm.,12.76983929,1.326509357,1.301612973,68.4970932,0.334100336,17.5,19.69422913,65000
2486.6012,SHETLAND GP.,Kyrre Fm.,12.79615402,1.296910882,1.285753369,67.8020401,0.330282867,17.5,20.31415367,65000
2486.7532,SHETLAND GP.,Kyrre Fm.,12.84638691,1.284283996,1.275838733,69.02852631,0.334769636,17.5,20.51594353,65000
