DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,GR,NPHI,BS,ROP,FORCE_2020_LITHOFACIES_LITHOLOGY
1825.0788,ROGALAND GP.,Sele Fm.,12.27408123,0.765114546,0.770242214,64.42636871,0.397890657,17.5,8.390030861,65000
1825.2308,ROGALAND GP.,Sele Fm.,12.28395939,0.765159786,0.788992405,67.9686203,0.377953708,17.5,6.839074612,65000
1825.3828,ROGALAND GP.,Sele Fm.,12.39826298,0.788835347,0.82776922,64.04215241,0.375064224,17.5,6.585097313,65000
1825.5348,ROGALAND GP.,Sele Fm.,12.408494,0.858336151,0.897304356,59.2849617,0.373503685,17.5,7.220514298,65000
1825.6868,ROGALAND GP.,Sele Fm.,12.33035088,0.936992466,0.951874495,47.63470078,0.371934295,17.5,8.034608841,65000
1825.8388,ROGALAND GP.,Sele Fm.,12.29213429,0.955199242,0.948577285,43.36181259,0.394365579,17.5,9.320155144,65000
1825.9908,ROGALAND GP.,Sele Fm.,12.25589085,0.913769543,0.906878769,50.90968323,0.3819426,17.5,10.08584118,65000
1826.1428,ROGALAND GP.,Sele Fm.,12.23528099,0.876769662,0.885840714,62.16049957,0.368098348,17.5,10.13959312,65000
1826.2948,ROGALAND GP.,Sele Fm.,12.32402992,0.862985492,0.885060132,66.17292023,0.371158361,17.5,10.05755329,65000
1826.4468,ROGALAND GP.,Sele Fm.,12.35095024,0.858573735,0.886381447,62.93556213,0.375645489,17.5,10.22629166,65000
1826.5988,ROGALAND GP.,Sele Fm.,12.31551361,0.854108393,0.885664702,56.74923325,0.377626568,17.5,10.81791115,65000
1826.7508,ROGALAND GP.,Sele Fm.,12.3727665,0.840486765,0.869732797,50.03587341,0.372828066,17.5,10.86304951,65000
1826.9028,ROGALAND GP.,Sele Fm.,12.35807896,0.825612664,0.846035481,47.41440964,0.39752382,17.5,10.10077953,65000
1827.0548,ROGALAND GP.,Sele Fm.,12.27267456,0.812782586,0.835645199,49.51821137,0.401318371,14.62292671,10.1200428,65000
1827.2068,ROGALAND GP.,Sele Fm.,12.28705406,0.883226633,0.929449678,52.33263397,0.374019831,12.25000095,12.1360426,65000
1827.3588,ROGALAND GP.,Sele Fm.,12.2774353,0.951433063,1.003955364,56.85184479,0.360236794,12.25000095,14.14654636,65000
1827.5108,ROGALAND GP.,Sele Fm.,12.23797512,0.948735893,1.001664043,55.18769836,0.373520851,12.25000095,14.6819973,65000
1827.6628,ROGALAND GP.,Sele Fm.,12.30911255,0.96570152,1.008687377,50.818676,0.382953137,12.25000095,12.23697281,65000
1827.8148,ROGALAND GP.,Sele Fm.,12.60053635,0.960196793,0.983942866,53.41271591,0.370825112,12.25000095,6.447617531,65000
1827.9668,ROGALAND GP.,Sele Fm.,12.66402912,0.897251606,0.931522071,56.84312058,0.361693621,12.25000095,1.794881702,65000
1828.1188,ROGALAND GP.,Sele Fm.,12.37954807,0.847766578,0.910990179,58.79561997,0.368106186,12.25000095,0.532321394,65000
1828.2708,ROGALAND GP.,Sele Fm.,12.20026207,0.8453722,0.933547497,64.70201111,0.377792478,12.25000095,1.750050664,65000
1828.4228,ROGALAND GP.,Sele Fm.,12.18823624,0.953255236,1.044741631,63.00891876,0.375734925,12.25000095,5.867978573,65000
1828.5748,ROGALAND GP.,Sele Fm.,12.23154736,1.043599963,1.128999949,54.76829529,0.365585268,12.25000095,10.3248415,65000
1828.7268,ROGALAND GP.,Sele Fm.,12.33355045,1.043599963,1.128999949,55.60729599,0.361767978,12.25000095,11.37869835,65000
1828.8788,ROGALAND GP.,Sele Fm.,12.66078281,1.153824687,1.192583203,61.22105408,0.353312314,12.25000095,10.27535248,65000
1829.0308,ROGALAND GP.,Sele Fm.,12.939991,1.213115215,1.192696214,62.31195831,0.340709031,12.25000095,9.298135757,65000
1829.1828,ROGALAND GP.,Sele Fm.,12.77754974,1.040628791,1.02234745,65.36179352,0.339647204,12.25000095,9.381644249,65000
1829.3348,ROGALAND GP.,Sele Fm.,12.4070034,0.906347632,0.911216617,67.12519074,0.354498714,12.25000095,10.9137373,65000
1829.4868,ROGALAND GP.,Sele Fm.,12.20088863,0.918088853,0.926298142,70.47861481,0.387081325,12.25000095,11.6590662,65000
1829.6388,ROGALAND GP.,Sele Fm.,12.1781311,0.938351631,0.946875632,71.71824646,0.400899798,12.25000095,10.40167427,65000
