"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"16/11-1 ST3","682.91320068","474566.5","6436486.0","-655.904541","NORDLAND GP.",,"12.790101051",,"1.2536494732","1.169860363",,"68.209266663",,,,"176.08535767","47.955638885","12.250000954","4.4765272141",,,,,,,,"65000",
"16/11-1 ST3","683.06520068","474566.5","6436486.0","-656.0565186","NORDLAND GP.",,"12.854608536",,"1.2509095669","1.1710674763",,"66.263900757",,,,"176.47108459","47.770606995","12.250000954","4.4750356674",,,,,,,,"65000",
"16/11-1 ST3","683.21720068","474566.5","6436486.0","-656.2085571","NORDLAND GP.",,"13.016324997",,"1.2532292604","1.1645357609",,"64.680984497",,,,"176.69717407","48.140018463","12.250000954","4.4736351967",,,,,,,,"65000","1.0"
"16/11-1 ST3","683.36920068","474566.5","6436486.0","-656.3605347","NORDLAND GP.",,"12.934176445",,"1.2571468353","1.152464509",,"63.954753876",,,,"176.77438354","48.505973816","12.250000954","4.4721388817",,,,,,,,"65000","1.0"
"16/11-1 ST3","683.52120068","474566.5","6436486.0","-656.5125122","NORDLAND GP.",,"12.910250664",,"1.2612551451","1.1400983334",,"63.16147995",,,,"176.8633728","48.791023254","12.250000954","4.4706468582",,,,,,,,"65000","1.0"
"16/11-1 ST3","683.67320068","474566.5","6436486.0","-656.6645508","NORDLAND GP.",,"12.922064781",,"1.2655165195","1.1289001703",,"61.948295593",,,,"176.9778595","48.720424652","12.250000954","4.4692468643",,,,,,,,"65000","1.0"
"16/11-1 ST3","683.82520068","474566.5","6436486.0","-656.8165283","NORDLAND GP.",,"12.93823719",,"1.2636672258","1.1220006943",,"61.046783447",,,,"177.01092529","48.486747742","12.250000954","4.4677510262",,,,,,,,"65000","1.0"
"16/11-1 ST3","683.97720068","474566.5","6436486.0","-656.9685059","NORDLAND GP.",,"13.03208828",,"1.2509888411","1.1197805405",,"60.222206116",,,,"176.95414734","48.401073456","12.250000954","4.4662547112",,,,,,,,"65000","1.0"
"16/11-1 ST3","684.12920068","474566.5","6436486.0","-657.1205444","NORDLAND GP.",,"13.050917625",,"1.2349597216","1.1164895296",,"58.922042847",,,,"176.95870972","48.332683563","12.250000954","4.4647612572",,,,,,,,"65000","1.0"
"16/11-1 ST3","684.28120068","474566.5","6436486.0","-657.272522","NORDLAND GP.",,"13.00330925",,"1.2295430899","1.1067303419",,"57.569015503",,,,"177.02528381","48.713871002","12.250000954","4.4633612633",,,,,,,,"65000","1.0"
