"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"25/6-3","626.32372888","495697.25","6618248.0","-601.2870483","NORDLAND GP.",,"12.456299782",,"1.5544508696","1.6337764263",,"44.13243866",,,,"126.78348541","0.0","17.5","100.16838837","276.85629272",,,,,,,"65000",
"25/6-3","626.47572888","495697.25","6618248.0","-601.4390259","NORDLAND GP.",,"12.456299782",,"1.5298696756","1.6142827272",,"44.813510895",,,,"129.37745667","0.0","17.5","100.16838837","276.05941772",,,,,,,"65000",
"25/6-3","626.62772888","495697.25","6618248.0","-601.5910034","NORDLAND GP.",,"12.456299782",,"1.5001981258","1.6085896492",,"45.330627441",,,,"130.38598633","0.0","17.5","100.16838837","276.82818604",,,,,,,"65000","1.0"
"25/6-3","626.77972888","495697.25","6618248.0","-601.742981","NORDLAND GP.",,"12.456299782",,"1.4566223621","1.6075923443",,"45.171447754",,,,"129.43347168","0.0","17.5","100.16838837","277.94039917",,,,,,,"65000","1.0"
"25/6-3","626.93172888","495697.25","6618248.0","-601.8949585","NORDLAND GP.",,"12.456299782",,"1.4150505066","1.5944429636",,"45.00094986",,,,"126.80639648","0.0","17.5","100.77776337","277.66299438",,,,,,,"65000","1.0"
"25/6-3","627.08372888","495697.21875","6618248.0","-602.0469971","NORDLAND GP.",,"12.456299782",,"1.367159009","1.5518554449",,"45.37978363",,,,"123.49177551","0.0","17.5","106.3704834","278.07229614",,,,,,,"65000","1.0"
"25/6-3","627.23572888","495697.21875","6618248.0","-602.1989746","NORDLAND GP.",,"12.456299782",,"1.3538019657","1.5036077499",,"46.235668182",,,,"120.54698944","0.0","17.5","108.75822449","279.021698",,,,,,,"65000","1.0"
"25/6-3","627.38772888","495697.21875","6618248.0","-602.3510132","NORDLAND GP.",,"12.456299782",,"1.3478087187","1.4794406891",,"46.846687317",,,,"118.75860596","0.0","17.5","108.75822449","278.9151001",,,,,,,"65000","1.0"
"25/6-3","627.53972888","495697.21875","6618248.0","-602.5029907","NORDLAND GP.",,"12.456299782",,"1.3400833607","1.4769165516",,"47.39938736",,,,"118.38679504","0.0","17.5","108.75822449","277.70889282",,,,,,,"65000","1.0"
"25/6-3","627.69172888","495697.21875","6618248.0","-602.6549683","NORDLAND GP.",,"12.456299782",,"1.3278657198","1.4891341925",,"48.419689178",,,,"119.09328461","0.0","17.5","108.75822449","278.71569824",,,,,,,"65000","1.0"
"25/6-3","627.84372888","495697.21875","6618248.0","-602.8070068","NORDLAND GP.",,"12.456299782",,"1.3101587296","1.5048955679",,"49.799877167",,,,"120.00363159","0.0","17.5","108.75822449","280.12838745",,,,,,,"65000","1.0"
"25/6-3","627.99572888","495697.21875","6618247.5","-602.9589844","NORDLAND GP.",,"12.456299782",,"1.276473403","1.533207655",,"54.788761139",,,,"120.65917969","0.0","17.5","108.75822449","279.97091675",,,,,,,"65000","1.0"
"25/6-3","628.14772888","495697.21875","6618247.5","-603.1109619","NORDLAND GP.",,"12.456299782",,"1.3049161434","1.5686626434",,"62.955142975",,,,"121.38690948","0.0","17.5","110.26589203","279.52230835",,,,,,,"65000","1.0"
"25/6-3","628.29972888","495697.21875","6618247.5","-603.2630005","NORDLAND GP.",,"12.456299782",,"1.444141984","1.6179858446",,"62.647296906",,,,"121.97686005","0.0","17.5","110.02638245","279.06710815",,,,,,,"65000","1.0"
"25/6-3","628.45172888","495697.21875","6618247.5","-603.414978","NORDLAND GP.",,"12.456299782",,"1.5597029924","1.669808507",,"58.405635834",,,,"122.54434204","0.0","17.5","110.54589081","279.01809692",,,,,,,"65000","1.0"
"25/6-3","628.60372888","495697.21875","6618247.5","-603.5669556","NORDLAND GP.",,"12.456299782",,"1.6311298609","1.7336149216",,"54.099655151",,,,"123.34329224","0.0","17.5","110.97494507","279.16690063",,,,,,,"65000","1.0"
"25/6-3","628.75572888","495697.21875","6618247.5","-603.7189941","NORDLAND GP.",,"12.456299782",,"1.7057133913","1.7995926142",,"54.261802673",,,,"124.9156189","0.0","17.5","110.97494507","278.04901123",,,,,,,"65000","1.0"
"25/6-3","628.90772888","495697.21875","6618247.5","-603.8709717","NORDLAND GP.",,"12.45882225",,"1.720516324","1.8214187622",,"54.557937622",,,,"127.22646332","0.0","17.5","109.80732727","277.3230896",,,,,,,"65000","1.0"
