"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"34/3-1 A","3771.4007146","488188.90625","6853055.5","-3649.881592","SHETLAND GP.","Tryggvason Fm.","8.6525115967",,,"1.4864777327",,"70.31338501",,,,"90.690498352",,"12.250000954","12.292156219",,,,,,"11.588762283",,"80000","1.0"
"34/3-1 A","3771.5527146","488188.84375","6853055.5","-3650.015625","SHETLAND GP.","Tryggvason Fm.","8.6545305252",,,"1.4917746782",,"68.516448975",,,,"90.71396637",,"12.250000954","11.970957756",,,,,,"11.96999836",,"80000","1.0"
"34/3-1 A","3771.7047146","488188.8125","6853055.5","-3650.149658","SHETLAND GP.","Tryggvason Fm.","8.6876316071",,,"1.497071743",,"67.890670776",,,,"90.737434387",,"12.250000954","13.024897575","172.10299683",,,,,"12.351203918",,"80000","1.0"
"34/3-1 A","3771.8567146","488188.78125","6853055.5","-3650.283936","SHETLAND GP.","Tryggvason Fm.","8.7214021683",,,"1.5023686886",,"67.830848694",,,,"90.760902405",,"12.250000954","13.599744797","176.18855286",,,,,"12.732639313",,"80000","1.0"
"34/3-1 A","3772.0087146","488188.75","6853055.5","-3650.417969","SHETLAND GP.","Tryggvason Fm.","8.6978244781",,,"1.5076657534",,"75.784606934",,,,"90.784362793",,"12.250000954","12.832544327","177.91409302",,,,,"12.849163055",,"80000","1.0"
"34/3-1 A","3772.1607146","488188.6875","6853055.0","-3650.552002","SHETLAND GP.","Tryggvason Fm.","8.7260046005",,,"1.5129626989",,"90.762916565",,,,"90.807830811",,"12.250000954","11.499913216","178.98362732",,,,,"12.426377296",,"80000","1.0"
"34/3-1 A","3772.3127146","488188.65625","6853055.0","-3650.686035","SHETLAND GP.","Tryggvason Fm.","8.5425386429",,,"1.5182596445",,"108.25650024",,,,"90.831298828",,"12.250000954","10.692222595","176.39971924",,,,,"11.797079086",,"65000","1.0"
"34/3-1 A","3772.4647146","488188.625","6853055.0","-3650.820068","SHETLAND GP.","Tryggvason Fm.","8.1139001846",,,"1.5235567093",,"121.0002594",,,,"90.854766846",,"12.250000954","10.694966316","174.13529968",,,,,"11.167021751",,"65000","1.0"
"34/3-1 A","3772.6167146","488188.59375","6853055.0","-3650.954102","SHETLAND GP.","Tryggvason Fm.","8.062661171",,,"1.5288536549",,"116.57891083",,,,"90.878234863",,"12.250000954","10.357808113","172.87988281",,,,,"10.537162781",,"65000","1.0"
"34/3-1 A","3772.7687146","488188.5625","6853055.0","-3651.088135","SHETLAND GP.","Tryggvason Fm.","8.1361951828",,,"1.5341506004",,"111.17876434",,,,"90.901702881",,"12.250000954","8.9420833588","172.99975586",,,,,"9.9078960419",,"65000","1.0"
