"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"35/11-15 S","2818.0884","528168.75","6775733.0","-2777.695068","VIKING GP.","Draupne Fm.","8.5654859543",,,"7.8347182274",,"140.5640564","0.0084360689","0.5134112239",,"82.410606384",,"12.250000954","28.72079277","149.28250122",,,,,"24.290973663","0.0074882037","65030","2.0"
"35/11-15 S","2818.2404","528168.6875","6775733.0","-2777.840332","VIKING GP.","Draupne Fm.","8.5602998734",,,"7.731212616",,"147.21704102","0.0088863205","0.5283569098",,"83.025985718",,"12.250000954","25.67388916","150.61688232",,,,,"23.419050217","0.0073572453","65030","2.0"
"35/11-15 S","2818.3924","528168.6875","6775733.0","-2777.985596","VIKING GP.","Draupne Fm.","8.5601100922",,,"7.6277065277",,"154.68655396","0.0086867725","0.5255251527",,"83.406715393",,"12.250000954","27.015060425","151.57618713",,,,,"22.548065186","0.0074796774","65000","2.0"
"35/11-15 S","2818.5444","528168.625","6775733.0","-2778.130859","VIKING GP.","Draupne Fm.","8.5582332611",,,"7.5242009163",,"149.98583984","0.008461671","0.5294761062",,"84.011901855",,"12.250000954","29.662202835","152.0",,,,,"21.675430298","0.0075410642","65000","2.0"
"35/11-15 S","2818.6964","528168.625","6775733.0","-2778.276367","VIKING GP.","Draupne Fm.","8.5688829422",,,"7.420694828",,"154.70973206","0.0078938473","0.5208998322",,"84.11857605",,"12.250000954","31.105340958","151.98851013",,,,,"20.803388596","0.0064811222","65000","2.0"
"35/11-15 S","2818.8484","528168.625","6775733.0","-2778.421387","VIKING GP.","Draupne Fm.","8.5714235306",,,"7.3171892166",,"161.25640869","0.0077884463","0.5042104125",,"83.198402405",,"12.250000954","29.172334671","151.81820679",,,,,"19.93091011","0.0057453881","65000","2.0"
"35/11-15 S","2819.0004","528168.5625","6775733.0","-2778.566895","VIKING GP.","Draupne Fm.","8.569185257",,,"7.2136836052",,"159.1399231","0.007577796","0.4979372919",,"83.449302673",,"12.250000954","28.057531357","151.77146912",,,,,"19.180936813","0.0050800629","65000","2.0"
"35/11-15 S","2819.1524","528168.5625","6775733.0","-2778.712158","VIKING GP.","Draupne Fm.","8.5790596008",,,"7.1101779938",,"146.02468872","0.0071414206","0.4941211343",,"83.353630066",,"12.250000954","27.266965866","150.92518616",,,,,"20.430545807","0.0031000001","65000","2.0"
"35/11-15 S","2819.3044","528168.5625","6775733.0","-2778.857422","VIKING GP.","Draupne Fm.","8.613325119",,,"7.0066719055",,"140.63186646","0.0060083512","0.5048199892",,"83.191360474",,"12.250000954","27.742624283","149.62683105",,,,,"21.795799255","0.0026842956","65000","2.0"
"35/11-15 S","2819.4564","528168.5","6775733.0","-2779.002686","VIKING GP.","Draupne Fm.","8.6538276672",,,"6.9031658173",,"145.89099121","0.0041821538","0.5361166596",,"83.33618927",,"12.250000954","28.139696121","149.46363831",,,,,"23.161771774","0.002339877","65000","2.0"
"35/11-15 S","2819.6084","528168.5","6775733.0","-2779.148193","VIKING GP.","Draupne Fm.","8.6617698669",,,"6.7996606827",,"140.82531738","0.0016294481","0.5415561199",,"82.813972473",,"12.250000954","25.585548401","149.64485168",,,,,"24.525369644","0.0022976177","65000","2.0"
"35/11-15 S","2819.7604","528168.5","6775733.0","-2779.293213","VIKING GP.","Draupne Fm.","8.6592235565",,,"6.6961545944",,"141.56938171","-0.002191816","0.5294092894",,"82.695137024",,"12.250000954","23.273580551","149.81417847",,,,,"25.890617371","0.0030132686","65000","2.0"
"35/11-15 S","2819.9124","528168.4375","6775733.5","-2779.438477","VIKING GP.","Draupne Fm.","8.6615428925",,,"6.592648983",,"157.12203979","-0.0067624","0.508310616",,"81.992370605",,"12.250000954","22.085224152","149.6738739",,,,,"27.223648071","0.0032874085","65000","2.0"
"35/11-15 S","2820.0644","528168.4375","6775733.5","-2779.583984","VIKING GP.","Draupne Fm.","8.6530628204",,,"6.4891433716",,"150.06660461","-0.013159818","0.5153483748",,"81.83442688",,"12.250000954","22.427593231","148.31018066",,,,,"27.75358963","0.0033762848","65000","2.0"
"35/11-15 S","2820.2164","528168.375","6775733.5","-2779.729004","VIKING GP.","Draupne Fm.","8.6450090408",,,"6.3856368065",,"142.67567444","-0.01731989","0.5131912231",,"82.242279053",,"12.250000954","24.141368866","144.65501404",,,,,"27.070617676","0.003288816","65000","2.0"
"35/11-15 S","2820.3684","528168.375","6775733.5","-2779.874268","VIKING GP.","Draupne Fm.","8.6478948593",,,"6.2821311951",,"140.63072205","-0.020763995","0.4893665612",,"82.471450806",,"12.250000954","25.638925552","140.33842468",,,,,"26.388368607","0.0034899202","65000","2.0"
"35/11-15 S","2820.5204","528168.375","6775733.5","-2780.019531","VIKING GP.","Draupne Fm.","8.6490077972",,,"6.1786255836",,"138.75001526","-0.022747586","0.4758625329",,"77.610473633",,"12.250000954","26.153762817","136.74639893",,,,,"25.704931259","0.003490597","65000","2.0"
"35/11-15 S","2820.6724","528168.3125","6775733.5","-2780.164551","VIKING GP.","Draupne Fm.","8.6012773514",,,"6.0751199722",,"133.33905029","-0.024267072","0.4434887767",,"73.941825867",,"12.250000954","27.249586105","128.6869812",,,,,"25.021913528","0.0031000001","65000","2.0"
"35/11-15 S","2820.8244","528168.3125","6775733.5","-2780.309814","VIKING GP.","Draupne Fm.","8.6507501602",,,"5.9716143608",,"127.31108856","-0.023069287","0.4320766926",,"72.026786804",,"12.250000954","27.792409897","121.45777893",,,,,"24.338401794","0.0029080107","65000","2.0"
"35/11-15 S","2820.9764","528168.3125","6775733.5","-2780.455078","VIKING GP.","Draupne Fm.","8.6674175262",,,"5.8681082726",,"99.40776825","-0.021725208","0.3944635391",,"73.100242615",,"12.250000954","25.217121124","128.43865967",,,,,"23.676450729","0.0035964816","65000","2.0"
"35/11-15 S","2821.1284","528168.25","6775733.5","-2780.600098","VIKING GP.","Draupne Fm.","9.1599931717",,,"5.7646021843",,"84.873130798","-0.018275155","0.3750983179",,"77.529327393",,"12.250000954","20.880466461","139.52555847",,,,,"23.873674393","0.0800699145","65000","2.0"
"35/11-15 S","2821.2804","528168.25","6775733.5","-2780.745117","VIKING GP.","Draupne Fm.","9.9200639725",,,"5.6610965729",,"79.834205627","-0.016968025","0.3371279836",,"85.422332764",,"12.250000954","16.641075134","147.34793091",,,,,"24.257165909","1.0484492779","65000","2.0"
"35/11-15 S","2821.4324","528168.1875","6775733.5","-2780.890381","VIKING GP.","Draupne Fm.","11.396745682",,,"5.5575909615",,"68.495910645","-0.01505321","0.333363086",,"88.591087341",,"12.250000954","14.440786362","156.30532837",,,,,"24.640798569","0.6746627092","65030","2.0"
"35/11-15 S","2821.5844","528168.1875","6775733.5","-2781.0354","VIKING GP.","Draupne Fm.","11.743073463",,,"5.45408535",,"53.793457031","-0.011430183","0.3371592462",,"91.402877808",,"12.250000954","15.22795105","163.87431335",,,,,"25.023693085","3.2068624496","65030","2.0"
"35/11-15 S","2821.7364","528168.1875","6775733.5","-2781.180664","VIKING GP.","Draupne Fm.","11.98121357",,,"5.3505792618",,"50.218215942","-0.004966062","0.333652854",,"94.538162231",,"12.250000954","21.95280838","168.37094116",,,,,"25.407186508","5.3557496071","65030","2.0"
"35/11-15 S","2821.8884","528168.125","6775734.0","-2781.325928","VIKING GP.","Draupne Fm.","12.012088776",,,"5.2470731735",,"62.965522766","-0.000985052","0.3093388975",,"93.811790466",,"12.250000954","34.010131836","169.07594299",,,,,"25.790220261","5.306930542","65030","2.0"
"35/11-15 S","2822.0404","528168.125","6775734.0","-2781.470947","VIKING GP.","Draupne Fm.","12.023693085",,,"5.1435675621",,"127.35224915","0.0014166548","0.3017293215",,"92.984283447",,"12.250000954","41.641960144","167.16204834",,,,,"26.095663071","2.9922015667","65030","2.0"
"35/11-15 S","2822.1924","528168.125","6775734.0","-2781.615967","VIKING GP.","Draupne Fm.","12.094163895",,,"5.0400619507",,"126.32752228","0.0056005977","0.3249984384",,"90.174575806",,"12.250000954","39.555561066","163.62252808",,,,,"26.183588028","2.1085884571","65030","2.0"
"35/11-15 S","2822.3444","528168.0625","6775734.0","-2781.76123","VIKING GP.","Draupne Fm.","12.203842163",,,"4.9365563393",,"126.63583374","0.0108886389","0.384667635","2.757600069","88.001167297",,"12.250000954","35.328662872","159.45675659",,,,,"26.271242142","9.3199625015","65000","2.0"
"35/11-15 S","2822.4964","528168.0625","6775734.0","-2781.90625","VIKING GP.","Draupne Fm.","12.41779995",,"12.953335762","8.4009809494","2.5121257305","130.920578","0.0161766801","0.4347595572","2.7961983681","86.186889648",,"12.250000954","31.180082321","157.18814087",,"-0.005567829",,"10.518127441","26.359169006","11.414748192","65000","2.0"
"35/11-15 S","2822.6484","528168.0625","6775734.0","-2782.05127","VIKING GP.","Draupne Fm.","12.454915047",,"14.282417297","10.086686134","2.5114035606","128.41259766","0.0183853563","0.4595746398","2.8741889","85.367736816",,"12.250000954","27.948198318","158.71948242",,"-0.0056",,"10.041250229","26.446937561","10.172561646","65000","2.0"
"35/11-15 S","2822.8004","528168.0","6775734.0","-2782.196533","VIKING GP.","Draupne Fm.","12.460658073",,"14.503917694","10.769434929","2.4791374207","126.7216568","0.0185979009","0.448879689","2.7871937752","85.589057922",,"12.250000954","27.719472885","164.05168152",,"-0.004309503",,"10.042274475","26.534765244","10.10838604","65000","2.0"
"35/11-15 S","2822.9524","528168.0","6775734.0","-2782.341553","VIKING GP.","Draupne Fm.","12.510933876",,"15.130253792","11.821294785","2.4992702007","123.07557678","0.0176127721","0.4493933022","2.846562624","85.815666199",,"12.250000954","27.473535538","168.49572754",,"-0.00390446",,"10.666362762","26.622518539","10.703050613","65000","2.0"
"35/11-15 S","2823.1044","528167.9375","6775734.0","-2782.486572","VIKING GP.","Draupne Fm.","12.522649765",,"15.476286888","12.645247459","2.5046300888","121.28461456","0.0172060113","0.4504852295","2.9311833382","85.3697052",,"12.250000954","29.626775742","168.63516235",,"-0.006859723",,"9.932975769","27.425428391","9.918592453","65000","2.0"
"35/11-15 S","2823.2564","528167.9375","6775734.0","-2782.631592","VIKING GP.","Draupne Fm.","12.525556564",,"13.741905212","11.849946976","2.4824545383","124.88545227","0.0173965432","0.4542403817","3.0388946533","85.184654236",,"12.250000954","30.244729996","166.66775513",,"-0.003848614",,"9.3690242767","28.544269562","9.3201179504","65000","2.0"
"35/11-15 S","2823.4084","528167.9375","6775734.0","-2782.776611","VIKING GP.","Draupne Fm.","12.572738647",,"11.541584969","10.814184189","2.6548445225","125.93841553","0.0168126654","0.486708045","3.6274168491","85.985321045",,"12.250000954","30.883342743","165.38642883",,"0.0006192769",,"11.090200424","29.66794014","11.285636902","65000","2.0"
"35/11-15 S","2823.5604","528167.875","6775734.0","-2782.921631","VIKING GP.","Draupne Fm.","12.584653854",,"16.132385254","16.242424011","2.7031946182","124.97737885","0.0166046806","0.4719416797","3.9134018421","86.800384521",,"12.250000954","31.186145782","165.09683228",,"0.0026564749",,"12.91314888","30.789354324","12.847847939","65000","2.0"
"35/11-15 S","2823.7124","528167.875","6775734.0","-2783.06665","VIKING GP.","Draupne Fm.","12.612421989",,"16.983072281","16.871677399","2.5135977268","123.5057373","0.0163076967","0.4607670009","3.2389600277","88.149002075",,"12.250000954","26.952186584","165.35704041",,"0.0006505131",,"8.8036670685","31.912265778","8.467549324","65000","2.0"
"35/11-15 S","2823.8644","528167.875","6775734.5","-2783.211426","VIKING GP.","Draupne Fm.","12.607646942",,"11.025771141","10.776731491","2.4826104641","128.74438477","0.0161055829","0.4476472735","2.9466357231","88.801452637",,"12.250000954","23.082553864","167.48799133",,"-0.003586866",,"7.3941240311","33.035831451","7.18983078","65000","2.0"
"35/11-15 S","2824.0164","528167.8125","6775734.5","-2783.356689","VIKING GP.","Draupne Fm.","12.629357338",,"8.8269128799","8.3896436691","2.4712142944","135.39889526","0.0169728491","0.4629400969","2.8401448727","89.789634705",,"12.250000954","22.519514084","168.51683044",,"-0.005642867",,"6.6481962204","33.783256531","6.1366701126","65000","2.0"
"35/11-15 S","2824.1684","528167.8125","6775734.5","-2783.501709","VIKING GP.","Draupne Fm.","12.638237",,"10.439314842","10.0820961","2.4897019863","137.34295654","0.0168067943","0.4486685097","2.7987504005","90.787376404",,"12.250000954","24.032003403","170.74815369",,"-0.007153765",,"6.310573101","32.150276184","5.915075779","65000","2.0"
"35/11-15 S","2824.3204","528167.75","6775734.5","-2783.646484","VIKING GP.","Draupne Fm.","12.720266342",,"10.582666397","10.85855484","2.5045876503","136.63760376","0.0171854869","0.4657697976","2.8614411354","91.256958008",,"12.250000954","26.039316177","175.82055664",,"-0.007393075",,"6.3514719009","30.449886322","5.4640908241","65000","2.0"
"35/11-15 S","2824.4724","528167.75","6775734.5","-2783.791504","VIKING GP.","Draupne Fm.","12.742173195",,"10.363336563","11.035311699","2.4946026802","135.65936279","0.0172961466","0.4786308706","2.8976066113","91.622962952",,"12.250000954","27.084249496","178.88919067",,"-0.007111081",,"7.8080043793","28.746461868","7.0431747437","65000","2.0"
"35/11-15 S","2824.6244","528167.75","6775734.5","-2783.936523","VIKING GP.","Draupne Fm.","12.791708946",,"10.149188042","10.882566452","2.5089962482","135.0718689","0.0177796017","0.5158027411","2.9363646507","91.811065674",,"12.250000954","27.639383316","178.82533264",,"-0.006907839",,"6.4662132263","27.043905258","5.8523197174","65000","2.0"
"35/11-15 S","2824.7764","528167.6875","6775734.5","-2784.081299","VIKING GP.","Draupne Fm.","12.788331985",,"8.661567688","9.0590753555","2.4662735462","134.72253418","0.0176089164","0.4935280085","2.9325351715","92.951004028",,"12.250000954","26.794937134","175.50680542",,"-0.006133161",,"5.3985066414","25.34031105","4.755194664","65000","2.0"
"35/11-15 S","2824.9284","528167.6875","6775734.5","-2784.226318","VIKING GP.","Draupne Fm.","12.735014915",,"7.660882473","7.7999362946","2.4396715164","134.9389801","0.0181718525","0.4850528538","3.0400669575","93.95476532",,"12.250000954","25.849714279","171.11061096",,"-0.005049761",,"5.6188874245","23.639978409","5.4016318321","65000","2.0"
"35/11-15 S","2825.0804","528167.6875","6775734.5","-2784.371338","VIKING GP.","Draupne Fm.","12.72897625",,"9.2333507538","9.3708515167","2.4622154236","134.65332031","0.0186754148","0.4673657119","3.0085141659","93.047561646",,"12.250000954","25.474115372","168.65782166",,"-0.005380974",,"8.0967741013","22.823200226","8.0528240204","65000","2.0"
"35/11-15 S","2825.2324","528167.625","6775734.5","-2784.516113","VIKING GP.","Draupne Fm.","12.735641479",,"11.319542885","11.673898697","2.4836387634","131.0695343","0.0181308556","0.4775220454","2.9209032059","92.568145752",,"12.250000954","25.213235855","168.0271759",,"-0.0054",,"10.087852478","22.702888489","10.274934769","65000","2.0"
"35/11-15 S","2825.3844","528167.625","6775734.5","-2784.660889","VIKING GP.","Draupne Fm.","12.689078331",,"11.714763641","11.898747444","2.5010991096","127.22068024","0.0187613629","0.4805645943","2.9771351814","92.028411865",,"12.250000954","26.309591293","168.0",,"-0.004167703",,"10.688576698","22.615158081","10.745876312","65000","2.0"
"35/11-15 S","2825.5364","528167.5625","6775734.5","-2784.805908","VIKING GP.","Draupne Fm.","12.68385601",,"11.766577721","11.843708038","2.4854772091","125.48893738","0.0187057536","0.4761680663","2.9380748272","89.940048218",,"12.250000954","27.656171799","167.48497009",,"-0.003344679",,"10.284533501","22.52750206","10.352576256","65000","2.0"
"35/11-15 S","2825.6884","528167.5625","6775735.0","-2784.950684","VIKING GP.","Draupne Fm.","12.667689323",,"11.313242912","11.414121628","2.476588726","126.29076385","0.0193581432","0.4781603515","2.8787817955","90.075057983",,"12.250000954","27.700685501","166.94085693",,"-0.004806888",,"10.575352669","22.439832687","10.624979973","65000","2.0"
