,CALI,RSHA,RMED,RDEP,RHOB,GR,SP,ROP,DRHO,FORCE_2020_LITHOFACIES_LITHOLOGY
0,8.25,2.1935997009,2.1799361706,2.1841747761000003,2.2723169327,105.49899292,,43.723293303999995,0.1626835167,65000
1,8.25,2.2289297581,2.2236945629,2.2329382896000003,2.2723169327,102.01259613,,36.700737,0.1626835167,65000
2,8.25,2.3387675285,2.3183660507,2.3165237904,2.2723169327,100.82012177,,37.32516861,0.1626835167,65000
3,8.25,2.4365229607,2.4119758606,2.4035847187,2.2723169327,100.97740173,,39.191303253,0.1626835167,65000
4,8.25,2.4918355942,2.4638175963999998,2.4438979626,2.2723169327,103.61277771,,39.416309356999996,0.1626835167,65000
5,8.25,2.5392467975999997,2.506778717,2.4879543781,2.2723169327,103.58617401,,38.920059204,0.1626835167,65000
6,8.25,2.5626676083,2.5224745274,2.5118846893,2.2723169327,104.45035553,,33.109870911,0.1626835167,65000
7,8.25,2.5783865452000003,2.5207223892,2.5151073933,2.2723169327,103.94849396,,30.373527526999997,0.1626835167,65000
8,8.25,2.5653510094,2.5149652958,2.4998819828,2.2723169327,107.64382935,,30.535301208000003,0.1626835167,65000
9,8.25,2.5203042030000002,2.4798629284,2.4673039913,2.2723169327,114.37303925,,30.892938614000002,0.1626835167,65000
10,8.25,2.4673979282,2.4574348927000003,2.4368565083,2.2723169327,119.78680420000002,,28.844070435,0.1626835167,65000
11,8.25,2.4036588669,2.4037506580000003,2.3927741051,2.2723169327,119.27725983,,29.252607345999998,0.1626835167,65000
12,8.25,2.3546936512,2.3525714874,2.3482391834,2.2723169327,113.30084991,,28.740825653,0.1626835167,65000
13,8.25,2.2795598507,2.2803137302,2.2751603127,2.2723169327,112.71193695,,28.756713867,0.1626835167,65000
14,8.25,2.1264529228,2.1588904858,2.157248497,2.2723169327,113.94826508,,32.082611084,0.1626835167,65000
15,8.25,2.0989534855,2.1322805882,2.1437242031,2.2723169327,116.78910065,,31.56962204,0.1626835167,65000
16,8.25,2.1000244617,2.1248545647,2.1440780163,2.2723169327,117.08952332,,29.251373291,0.1626835167,65000
17,8.25,2.079523325,2.0990991591999997,2.1131112576,2.2723169327,116.02796936,,29.220994949,0.1626835167,65000
18,8.25,2.0417838097,2.0462646484,2.0626809597,2.2723169327,113.37600708,,29.744335175,0.1626835167,65000
19,8.25,1.9845999478999998,2.0002999306,2.0132000446,2.2723169327,111.34351349,,32.506938934000004,0.1626835167,65000
20,8.25,2.0075192450999997,2.0262498856,2.0444536209,2.2723169327,110.7735672,,33.888954163,0.1626835167,65000
21,8.25,2.1312744617,2.1592218876,2.2024316788,2.2723169327,110.85471344,,35.09292984,0.1626835167,65000
22,8.25,2.1339309215999998,2.1303458213999997,2.1550354958,2.2723169327,110.07453156,,39.084980011,0.1626835167,65000
23,8.25,2.1085963249,2.1333518028,2.1564803123,2.2723169327,111.40151215,,35.643310547,0.1626835167,65000
24,8.25,2.1161978245,2.103110075,2.132958889,2.2723169327,116.26629639,,35.5182724,0.1626835167,65000
25,8.25,2.1161978245,2.103110075,2.0107002258,2.2723169327,118.8239975,,34.837543488,0.1626835167,65000
26,8.25,2.1161978245,2.103110075,2.0120813847,2.2723169327,114.85436249,,34.858551025,0.1626835167,65000
27,8.25,2.1161978245,2.103110075,2.0134627819,2.2723169327,110.88474274,,35.315753937,0.1626835167,65000
28,8.25,2.1161978245,2.103110075,2.0148441792,2.2723169327,107.47970581,,35.129802704,0.1626835167,65000
29,8.25,2.1161978245,2.103110075,2.016225338,2.2723169327,107.63234711,,36.754722595,0.1626835167,65000
30,8.25,2.1161978245,2.103110075,2.0176067352000002,2.2723169327,107.80509949,,35.27816391,0.1626835167,65000
31,8.25,2.1161978245,2.103110075,2.0189878941,2.2723169327,108.11048126,,37.655231476,0.1626835167,65000
32,8.25,2.1161978245,2.103110075,2.0203692912999998,2.2723169327,108.41587067,,37.838512421,0.1626835167,65000
33,8.25,2.1161978245,2.103110075,2.0217506886,2.2723169327,108.72128296,,37.442295074,0.181886673,65000
34,8.25,2.1161978245,2.103110075,2.0231318474,2.2723169327,109.02667236,,34.612304688,0.1880944818,65000
35,8.25,2.1161978245,2.103110075,2.0245130062,2.2723169327,109.20516205,,32.59859848,0.1655080616,65000
36,8.25,2.1161978245,2.103110075,2.025894165,2.2723169327,108.44174957,,31.350906371999997,0.1547241062,65000
37,8.25,2.1161978245,2.103110075,2.0272755623,2.2723169327,107.59177399,,30.528602600000003,0.15719999369999998,65000
38,8.25,2.1161978245,2.103110075,2.0286569594999997,2.2723169327,106.52150726,,24.600503921999998,0.15598516169999999,65000
39,8.25,2.1161978245,2.103110075,2.0300381184000003,2.2723169327,109.21600342,,23.869821548,0.1466311365,65000
40,8.25,2.1161978245,2.103110075,2.0314195156,2.2723169327,112.72765349999999,,24.487686157,0.1511881948,65000
41,8.25,2.1161978245,2.103110075,2.0328006744,2.2723169327,115.90987396,,24.549699783,0.16047100720000002,65000
42,8.25,2.1161978245,2.103110075,2.0341820716999996,2.2723169327,116.21520233,,24.03559494,0.16777060929999998,65000
43,8.25,2.1161978245,2.103110075,2.0355632305,2.2723169327,116.55029297,,23.176939010999998,0.1610593796,65000
44,8.25,2.1161978245,2.103110075,2.0369446278,2.2723169327,117.16098022,,22.911434174,0.1224348247,65000
45,8.25,2.1161978245,2.103110075,2.038326025,2.2723169327,117.77173615,,24.631065369,0.0820016563,65000
46,8.25,2.1161978245,2.103110075,2.0397071838,2.2723169327,118.31413269,,27.365947723,0.047677259900000005,65000
47,8.25,2.1161978245,2.103110075,2.0410885811000004,2.2723169327,118.10815430000001,,29.826873779,0.0400739685,65000
48,8.25,2.1161978245,2.103110075,2.0424699783,2.2723169327,117.36699677,,37.658973694000004,0.0377168581,65000
49,8.25,2.1161978245,2.103110075,2.0438511372,2.2723169327,116.86632538,,31.027395248,0.035859409700000004,65000
50,8.25,2.1161978245,2.103110075,2.0452325344,2.2723169327,116.36565399,,163.99925232,0.0115575492,65000
51,8.3376951218,2.1161978245,2.103110075,2.0466136932,2.2723169327,115.86499786,,1500.0610352,-0.005359143,65000
52,9.4838094711,2.1161978245,2.103110075,2.0479950905,2.2723169327,115.36442566,,1498.1601563,-0.020865161,65000
53,10.629924774,2.1161978245,2.103110075,2.0493762493000003,2.2723169327,114.86375427,,1474.4962158,-0.024412998999999998,65000
54,11.697501183,2.1161978245,2.103110075,2.0507576466,2.2723169327,114.36309052,,1440.072998,-0.026332034,65000
55,11.697501183,2.1161978245,2.103110075,2.0521390438,2.2723169327,113.87528992,,1440.3503418,-0.013140262,65000
56,11.697501183,2.1161978245,2.103110075,2.0535202026,2.2723169327,113.45410919,,1445.0322265999998,0.0049204547,65000
57,11.697501183,2.1161978245,2.103110075,2.0549015999,2.2723169327,111.51069641,,1462.3077392999999,-0.015035826,65000
58,11.697501183,2.1161978245,2.103110075,2.0562827587,2.2723169327,112.51318359,,1469.0300293,-0.02965772,65000
59,11.697501183,2.1161978245,2.103110075,2.057664156,2.2723169327,112.52539063,,1469.0655517999999,-0.030644052,65000
60,11.697501183,2.1161978245,2.103110075,2.0590453148,2.2723169327,113.98795319,,1469.7788085999998,-0.031305626,65000
61,11.697501183,2.1161978245,2.103110075,2.0604264736,2.2723169327,114.39710236,,1473.755249,-0.029640121000000002,65000
62,11.697501183,2.1161978245,2.103110075,2.0618078709,2.2723169327,116.69506073,,1487.8969727,-0.030461745,65000
63,11.697501183,2.1161978245,2.103110075,2.0631890297,2.2723169327,117.57134247,,1505.1879883,-0.031749322999999996,65000
64,11.704478264,2.1161978245,2.103110075,2.0645704269,2.2723169327,117.35333252,,1519.5924072,-0.03274516,65000
65,11.862033844,2.1161978245,2.103110075,2.0659518242,2.2723169327,116.85968018,,1405.342041,-0.031302359,65000
66,11.820166588,2.1161978245,2.103110075,2.067332983,2.2723169327,115.08146667,,1279.2144775,-0.026374633999999997,65000
67,11.245342255,2.1161978245,2.103110075,2.0687143803,2.2723169327,112.80728149,,826.93005371,-0.022816003999999997,65000
68,10.34560585,2.1161978245,2.103110075,2.0700955391,2.2723169327,110.76140594,,677.45574951,-0.014541203999999999,65000
69,9.2935848236,2.1161978245,2.103110075,2.0714769363,2.2723169327,112.12377167,,661.96270752,-0.006232914,65000
70,9.402509689299999,2.1161978245,2.103110075,2.0728580952,2.2723169327,115.97530365,,639.86901855,0.0068559553,65000
71,9.2286930084,2.1161978245,2.103110075,2.0742394924000003,2.2723169327,113.75749207,,619.22833252,0.0356337242,65000
72,9.3793735504,2.1161978245,2.103110075,2.0756208897,2.2723169327,111.18900299,,580.25750732,0.0664920062,65000
73,8.9013223648,2.1161978245,2.103110075,2.0770020485,2.2723169327,104.73980713,,575.75311279,0.08915436269999999,65000
74,9.4172086716,2.1161978245,2.103110075,2.0783834457,2.2723169327,106.6654892,,570.28204346,0.0706208348,65000
75,9.7115592957,2.1161978245,2.103110075,2.079764843,2.2723169327,104.30755615,,566.57165527,0.0718131065,65000
76,10.106690407,2.1161978245,2.103110075,2.0811460018,2.2723169327,107.9936142,,739.80767822,0.066047065,65000
77,10.770007133,2.1161978245,2.103110075,2.0825273991,2.2723169327,110.00869751,,909.6192627,0.1261819005,65000
78,12.958821297,2.1161978245,2.103110075,2.0839085579,2.2723169327,118.07820892,,901.80511475,0.1736601591,65000
79,12.318673134,2.1161978245,2.103110075,2.0852899551,2.2723169327,121.42545319,,882.24182129,0.25841042399999997,65000
80,12.49038887,2.1161978245,2.103110075,2.0866713524000002,2.2723169327,125.95011139,,880.58026123,0.26220041510000003,65000
81,12.353054047,2.1161978245,2.103110075,2.0880525112,2.2723169327,126.01103973,,730.93151855,0.2669876814,65000
82,12.594231606,2.1161978245,2.103110075,2.0894339084999998,2.2723169327,124.53903198,,684.05395508,0.243523255,65000
83,11.757950783,2.1161978245,2.103110075,2.0908150673,2.2723169327,122.24961853,,699.25708008,0.2379433364,65000
84,12.092565535999999,2.1161978245,2.103110075,2.0921964644999997,2.2723169327,118.68575287,,716.4675292999999,0.2394831479,65000
85,11.449841499000001,2.1161978245,2.103110075,2.0935776234,2.2723169327,117.29162598,,642.1428833,0.2587427795,65000
86,11.768527985,2.1161978245,2.103110075,2.0949590206,2.2723169327,116.93239594,,405.81970215,0.2590000033,65000
87,12.072469710999998,2.1161978245,2.103110075,2.0963404179,2.2723169327,116.66621399,,400.36700439,0.2697964907,65000
88,11.790596962,2.1161978245,2.103110075,2.0977213383,2.2723169327,119.36859131,,400.83825684,0.27254599329999996,65000
89,11.73898983,2.1161978245,2.103110075,2.0991027355000003,2.2723169327,119.8735733,,400.12576294,0.2781665325,65000
90,12.01342392,2.1161978245,2.103110075,2.1004841328,2.2723169327,122.23975372,,416.95986938,0.2661258876,65000
91,11.612573624000001,2.1161978245,2.103110075,2.1018652916,2.2723169327,120.21456146,,417.2204895,0.27366730570000003,65000
92,11.548970222000001,2.1161978245,2.103110075,2.1032466888,2.2723169327,117.74385071,,389.2394104,0.2863951623,65000
93,12.006324767999999,2.1161978245,2.103110075,2.1046278477,2.2723169327,113.43672179999999,,360.74804688,0.3213814497,65000
94,12.141082764,2.1161978245,2.103110075,2.1060092449,2.2723169327,114.01788329999998,,366.03585815,0.3173981607,65000
95,12.207849503,2.1161978245,2.103110075,2.1073904037,2.2723169327,113.27804565,,377.77194214,0.2880923152,65000
96,11.972817420999998,2.1161978245,2.103110075,2.108771801,2.2723169327,114.86800385,,378.1098938,0.1605406255,65000
97,8.7496938705,2.1161978245,2.103110075,2.1101531982,2.2723169327,110.36092377,,317.19543457,0.0822988003,65000
98,8.4380207062,2.1161978245,2.103110075,2.1115343571,2.2723169327,109.49565125,,278.90328979,0.0380299501,65000
99,8.4629659653,1.966709733,1.9575507641,1.9735612868999999,2.2723169327,111.89128113,,235.64157104,0.0416051522,65000
100,8.4607210159,1.8813736439,1.8894262313999999,1.9151420593000001,2.2867107391,118.80899048,,194.2585144,0.050331592599999996,65000
101,8.3933038712,1.8814529181,1.865686059,1.8665574789,2.2945773602,125.07289886,,187.729599,0.0590223037,65000
102,8.4312448502,1.9640709162,1.9341477156,1.9281756878,2.2834079266,130.40927124,,176.98312378,0.0575208366,65000
103,8.4505281448,1.9752087593,1.9449785947999998,1.9477006197,2.273113966,134.3760376,,160.1391449,0.0511033274,65000
104,8.4665002823,1.9963109493,1.9625498056,1.9671617746,2.2702510357,134.54144287,,159.29139709,0.0486382805,65000
105,8.4037675858,2.0269496441,2.0044436455000003,2.020637989,2.2815008163,133.03684998,,143.06532288,0.0502755307,65000
106,8.4588441849,2.0025360584,1.9830722809,1.9896358252000002,2.2977683544,133.30955505,,136.00801086,0.0560841896,65000
107,8.4602270126,1.9153014421,1.8944218159000001,1.8927884102,2.3003866672999997,131.11070251,,131.64163208,0.052039943600000006,65000
