"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"16/1-6 A","1175.979735","459499.6875","6539423.0","-1144.954956","HORDALAND GP.","Skade Fm.","12.177447319",,"1.1674333811","1.2253508568",,"66.382019043",,"0.5769000053",,,,"17.0","26.144432068",,,,"0.1449899524",,,,"65000",
"16/1-6 A","1176.131735","459499.6875","6539423.0","-1145.106934","HORDALAND GP.","Skade Fm.","12.163499832",,"1.1477749348","1.2060464621",,"74.328086853",,"0.5769000053",,,,"17.0","27.331739426",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1176.283735","459499.6875","6539423.0","-1145.258911","HORDALAND GP.","Skade Fm.","12.162628174",,"1.1192997694","1.1943057775",,"77.308799744",,"0.5738680959",,,,"17.0","27.644296646",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1176.435735","459499.6875","6539423.0","-1145.411011","HORDALAND GP.","Skade Fm.","12.152481079",,"1.0913749933","1.1827373505",,"73.323722839",,"0.5382006168",,,,"17.0","27.619180679",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1176.587735","459499.6875","6539423.0","-1145.562988","HORDALAND GP.","Skade Fm.","12.155454636",,"1.1452816725","1.1392700672",,"60.946289063",,"0.5457646847",,,,"17.0","27.571912766",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1176.739735","459499.6875","6539423.0","-1145.714966","HORDALAND GP.","Skade Fm.","12.148661613",,"1.1320762634","1.0987683535",,"57.44487381",,"0.5465173721",,,,"17.0","27.523410797",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1176.891735","459499.6875","6539423.0","-1145.866943","HORDALAND GP.","Skade Fm.","12.151947021",,"1.0819295645","1.0281331539",,"60.752304077",,"0.5455331802",,,,"17.0","27.474788666",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.043735","459499.6875","6539423.0","-1146.018921","HORDALAND GP.","Skade Fm.","12.147917747",,"1.1233856678","1.0337278843",,"67.019607544",,"0.5452982783",,,,"17.0","23.524089813",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.195735","459499.6875","6539423.0","-1146.170898","HORDALAND GP.","Skade Fm.","12.140899658",,"1.1204837561","1.0869585276",,"79.417404175",,"0.5161703825",,,,"17.0","13.003129005",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.347735","459499.6875","6539423.0","-1146.322998","HORDALAND GP.","Skade Fm.","12.141342163",,"0.9907665253","1.072709918",,"82.348022461",,"0.5384936333",,,,"17.0","12.671607971",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.499735","459499.6875","6539423.0","-1146.474976","HORDALAND GP.","Skade Fm.","12.149245262",,"1.0009297132","1.0979297161",,"79.127983093",,"0.5364589691",,,,"17.0","12.671607971",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.651735","459499.6875","6539423.0","-1146.626953","HORDALAND GP.","Skade Fm.","12.162893295",,"0.9693801999","1.0654680729",,"74.602958679",,"0.5592452288",,,,"17.0","12.671607971",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.803735","459499.6875","6539423.0","-1146.778931","HORDALAND GP.","Skade Fm.","12.151627541",,"1.0307724476","1.1095570326",,"69.762138367",,"0.5907840729",,,,"17.0","12.671607971",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1177.955735","459499.6875","6539423.0","-1146.930908","HORDALAND GP.","Skade Fm.","12.141992569",,"1.065305233","1.1211118698",,"69.390029907",,"0.6711435318",,,,"17.0","12.456665039",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.107735","459499.6875","6539423.0","-1147.083008","HORDALAND GP.","Skade Fm.","12.164016724",,"1.0914531946","1.1435439587",,"71.420890808",,"0.670717299",,,,"17.0","11.75248909",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.259735","459499.6875","6539423.0","-1147.234985","HORDALAND GP.","Skade Fm.","12.174736977",,"1.1024200916","1.1566352844",,"75.427711487",,"0.640067935",,,,"17.0","11.079433441",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.411735","459499.6875","6539423.0","-1147.386963","HORDALAND GP.","Skade Fm.","12.171403885",,"1.1339199543","1.1927999258",,"80.254837036",,"0.5579676628",,,,"17.0","10.722180367",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.563735","459499.6875","6539423.0","-1147.53894","HORDALAND GP.","Skade Fm.","12.178557396",,"1.1326789856","1.1879622936",,"79.843963623",,"0.5261886716",,,,"17.0","10.722180367",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.715735","459499.6875","6539423.0","-1147.690918","HORDALAND GP.","Skade Fm.","12.174768448",,"1.1510756016","1.187867403",,"78.026275635",,"0.530826509",,,,"17.0","10.722180367",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1178.867735","459499.6875","6539423.0","-1147.842896","HORDALAND GP.","Skade Fm.","12.170852661",,"1.1824598312","1.2138166428",,"77.848800659",,"0.5265839696",,,,"17.0","10.722180367",,,,"0.1449899524",,,,"65000","1.0"
"16/1-6 A","1179.019735","459499.6875","6539423.0","-1147.994995","HORDALAND GP.","Skade Fm.","12.163728714",,"1.2278095484","1.2687238455",,"77.25479126",,"0.5434782505",,,,"17.0","13.754738808",,,,"0.1449899524",,,,"65000","1.0"
