"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"25/11-19 S","984.41170504","465848.8125","6564135.5","-959.4002075","HORDALAND GP.","Skade Mb.","11.982548714","1.3012751341","1.3275152445","1.3451161385","1.6622653008","75.569511414",,,"68.523574829",,,,"38.296333313",,,,,,,,"65000",
"25/11-19 S","984.56370504","465848.8125","6564135.5","-959.5522461","HORDALAND GP.","Skade Mb.","11.987565994","1.3264116049","1.3460549116","1.358214736","1.6606328487","69.806007385",,,"79.753890991",,,,"38.315402985",,,,,,,,"65000","1.0"
"25/11-19 S","984.71570504","465848.8125","6564135.5","-959.7041626","HORDALAND GP.","Skade Mb.","11.984384537","1.3317762613","1.3443508148","1.3537300825","1.6629285812","64.476272583",,,"149.52903748",,,,"38.336261749",,,,,,,,"65000","1.0"
"25/11-19 S","984.86770504","465848.8125","6564135.5","-959.8561401","HORDALAND GP.","Skade Mb.","11.979450226","1.3259880543","1.337772131","1.3438186646","1.6625657082","62.275596619",,,"133.09518433",,,,"36.539855957",,,,,,,,"65000","1.0"
"25/11-19 S","985.01970504","465848.8125","6564135.5","-960.0081787","HORDALAND GP.","Skade Mb.","11.983215332","1.3166823387","1.331900835","1.3405920267","1.6634819508","63.651165009",,,"182.44519043",,,,"22.652193069",,,,,,,,"65000","1.0"
"25/11-19 S","985.17170504","465848.8125","6564135.5","-960.1601563","HORDALAND GP.","Skade Mb.","11.982340813","1.308568716","1.3271211386","1.3431608677","1.67329216","67.98361969",,,"199.61457825",,,,"22.570631027",,,,,,,,"65000","1.0"
"25/11-19 S","985.32370504","465848.8125","6564135.5","-960.3121948","HORDALAND GP.","Skade Mb.","11.982543945","1.3070275784","1.3285574913","1.3509364128","1.6799331903","71.97996521",,"0.4854195416","97.901275635",,,,"22.555955887",,,,,,,,"65000","1.0"
"25/11-19 S","985.47570504","465848.8125","6564135.5","-960.4641724","HORDALAND GP.","Skade Mb.","11.985172272","1.3198190928","1.345841527","1.3696756363","1.6850161552","74.083076477",,"0.604064703","62.454917908",,,,"22.408758163",,,,,,,,"65000","1.0"
"25/11-19 S","985.62770504","465848.8125","6564135.5","-960.6161499","HORDALAND GP.","Skade Mb.","11.982851982","1.3407765627","1.3666912317","1.3887923956","1.7003675699","69.708137512",,"0.5352221727","47.086315155",,,,"22.397163391",,,,,,,,"65000","1.0"
"25/11-19 S","985.77970504","465848.8125","6564135.5","-960.7681885","HORDALAND GP.","Skade Mb.","11.978785515","1.3585152626","1.3777303696","1.3996837139","1.7069920301","66.1457901",,"0.55112499","39.413825989",,,,"22.409173965",,,,,,,,"65000","1.0"
"25/11-19 S","985.93170504","465848.8125","6564135.5","-960.920166","HORDALAND GP.","Skade Mb.","11.983857155","1.3713687658","1.3870702982","1.4076266289","1.7141859531","73.083374023",,"0.4874700904","55.956344604",,,,"22.422019958",,,,,,,,"65000","1.0"
"25/11-19 S","986.08370504","465848.8125","6564135.5","-961.0721436","HORDALAND GP.","Skade Mb.","11.985425949","1.3782632351","1.3949743509","1.4095199108","1.7130037546","72.01663208",,"0.737160027","56.409164429",,,,"22.369354248",,,,,,,,"65000","1.0"
"25/11-19 S","986.23570504","465848.8125","6564135.5","-961.2241211","HORDALAND GP.","Skade Mb.","11.98589325","1.3785121441","1.3976551294","1.4082099199","1.6975725889","71.447341919",,"0.6113085151","57.762397766",,,,"22.237400055",,,,,,,,"65000","1.0"
"25/11-19 S","986.38770504","465848.8125","6564135.5","-961.3760986","HORDALAND GP.","Skade Mb.","11.98133564","1.3647665977","1.3829195499","1.395565629","1.6869972944","74.612731934",,"0.5939332247","61.747478485",,,,"22.220136642",,,,,,,,"65000","1.0"
"25/11-19 S","986.53970504","465848.8125","6564135.5","-961.5281372","HORDALAND GP.","Skade Mb.","11.980323792","1.3414524794","1.3598767519","1.3796011209","1.6845362186","71.594200134",,"0.5508359075","49.108360291",,,,"22.054616928",,,,,,,,"65000","1.0"
"25/11-19 S","986.69170504","465848.8125","6564135.5","-961.6801147","HORDALAND GP.","Skade Mb.","11.98456192","1.3339031935","1.3581022024","1.3765566349","1.6892956495","72.032577515",,"0.5953547955","51.160697937",,,,"22.066766739",,,,,,,,"65000","1.0"
"25/11-19 S","986.84370504","465848.8125","6564135.5","-961.8320923","HORDALAND GP.","Skade Mb.","11.982646942","1.3326027393","1.3586302996","1.3714773655","1.7108091116","73.528572083",,"0.6656896472","34.273017883",,,,"22.078351974",,,,,,,,"65000","1.0"
"25/11-19 S","986.99570504","465848.8125","6564135.5","-961.9841309","HORDALAND GP.","Skade Mb.","11.979990959","1.3123425245","1.3329194784","1.3504472971","1.7601262331","68.234771729",,"0.7360246181","66.398025513",,,,"22.703184128",,,,,,,,"65000","1.0"
"25/11-19 S","987.14770504","465848.8125","6564135.5","-962.1361084","HORDALAND GP.","Skade Mb.","11.983053207","1.2991138697","1.316388607","1.342674017","1.8642247915","71.889060974",,"0.8063595295",,,,,"146.65492249",,,,,,,,"65000","1.0"
"25/11-19 S","987.29970504","465848.8125","6564135.5","-962.2880859","HORDALAND GP.","Skade Mb.","11.986666679","1.3043355942","1.3285603523","1.3555618525","1.9752569199","81.714515686",,"0.8766944408",,,,,"146.73857117",,,,,,,,"65000","1.0"
"25/11-19 S","987.45170504","465848.8125","6564135.5","-962.4401245","HORDALAND GP.","Skade Mb.","11.968284607","1.3222299814","1.350309968","1.3740413189","1.9922302961","87.539726257",,"0.9387482405","289.57260132",,,,"146.81288147",,,,,,,,"65000","1.0"
"25/11-19 S","987.60370504","465848.8125","6564135.5","-962.5921021","HORDALAND GP.","Skade Mb.","11.950976372","1.3381400108","1.3658583164","1.389832139","1.8287750483","83.059120178",,"0.6342977881","115.78263855",,,,"146.89207458",,,,,,,,"65000","1.0"
"25/11-19 S","987.75570504","465848.8125","6564135.5","-962.7440186","HORDALAND GP.","Skade Mb.","11.950303078","1.3523039818","1.3759539127","1.4005351067","1.6914756298","76.183326721",,"0.6411575079","65.936988831",,,,"142.52919006",,,,,,,,"65000","1.0"
"25/11-19 S","987.90770504","465848.8125","6564135.5","-962.8960571","HORDALAND GP.","Skade Mb.","11.953801155","1.3692457676","1.3882204294","1.4100414515","1.6515541077","71.119567871",,"0.6480172276","51.397647858",,,,"89.543876648",,,,,,,,"65000","1.0"
"25/11-19 S","988.05970504","465848.8125","6564135.5","-963.0480347","HORDALAND GP.","Skade Mb.","11.954490662","1.3791252375","1.3982539177","1.4103325605","1.685636282","68.959793091",,"0.6565067768","58.945793152",,,,"35.555103302",,,,,,,,"65000","1.0"
"25/11-19 S","988.21170504","465848.8125","6564135.5","-963.2000732","HORDALAND GP.","Skade Mb.","11.952176094","1.376642108","1.3956124783","1.395288825","1.6925235987","72.033050537",,"0.8075382113","72.067733765",,,,"27.491203308",,,,,,,,"65000","1.0"
"25/11-19 S","988.36370504","465848.8125","6564135.5","-963.3520508","HORDALAND GP.","Skade Mb.","11.948947906","1.3427721262","1.3550995588","1.3416949511","1.6797664165","74.131324768",,"0.8272292614","77.981269836",,,,"27.50566864",,,,,,,,"65000","1.0"
"25/11-19 S","988.51570504","465848.8125","6564135.5","-963.5040283","HORDALAND GP.","Skade Mb.","11.953904152","1.2485430241","1.2505364418","1.2363654375","1.6719554663","74.48348999",,"0.5645090938","78.761749268",,,,"27.520511627",,,,,,,,"65000","1.0"
"25/11-19 S","988.66770504","465848.8125","6564135.5","-963.6560669","HORDALAND GP.","Skade Mb.","11.954434395","1.1256854534","1.1280190945","1.1492789984","1.6686499119","74.768974304",,"0.62737149","58.23141098",,,,"27.584684372",,,,,,,,"65000","1.0"
"25/11-19 S","988.81970504","465848.8125","6564135.5","-963.8080444","HORDALAND GP.","Skade Mb.","11.955604553","1.1159335375","1.141623497","1.1856102943","1.6704672575","75.871299744",,"0.5861799121","55.206771851",,,,"27.92152977",,,,,,,,"65000","1.0"
"25/11-19 S","988.97170504","465848.8125","6564135.5","-963.960022","HORDALAND GP.","Skade Mb.","11.956132889","1.2097133398","1.2623386383","1.2978227139","1.686190486","75.641662598",,"0.5149260163","56.340480804",,,,"28.542568207",,,,,,,,"65000","1.0"
"25/11-19 S","989.12370504","465848.8125","6564135.5","-964.1120605","HORDALAND GP.","Skade Mb.","11.954264641","1.2602791786","1.3138978481","1.348405838","1.6975034475","68.461853027",,"0.5620565414","93.622138977",,,,"28.627656937",,,,,,,,"65000","1.0"
"25/11-19 S","989.27570504","465848.8125","6564135.5","-964.2639771","HORDALAND GP.","Skade Mb.","11.951980591","1.3104376793","1.3349399567","1.367038846","1.7058255672","65.853523254",,"0.7422186136","80.153404236",,,,"28.643850327",,,,,,,,"65000","1.0"
"25/11-19 S","989.42770504","465848.8125","6564135.5","-964.4160156","HORDALAND GP.","Skade Mb.","11.957983017","1.3689966202","1.3639286757","1.3840924501","1.717022419","64.634231567",,"0.6710188389","94.072738647",,,,"28.65848732",,,,,,,,"65000","1.0"
"25/11-19 S","989.57970504","465848.8125","6564135.5","-964.5679932","HORDALAND GP.","Skade Mb.","11.954515457","1.3792616129","1.3784083128","1.3788309097","1.7060523033","69.305236816",,"0.7408187985","77.045539856",,,,"28.673906326",,,,,,,,"65000","1.0"
"25/11-19 S","989.73170504","465848.8125","6564135.5","-964.7199707","HORDALAND GP.","Skade Mb.","11.953837395","1.3654022217","1.3795347214","1.3680025339","1.6793107986","73.127471924",,"0.7014776468","135.53956604",,,,"28.582550049",,,,,,,,"65000","1.0"
"25/11-19 S","989.88370504","465848.8125","6564135.5","-964.8720093","HORDALAND GP.","Skade Mb.","11.955281258","1.3570104837","1.377620697","1.3742328882","1.6557877064","73.231460571",,"0.6604356766","96.62097168",,,,"26.918148041",,,,,,,,"65000","1.0"
"25/11-19 S","990.03570504","465848.8125","6564135.5","-965.0239868","HORDALAND GP.","Skade Mb.","11.951834679","1.3538117409","1.3796310425","1.3913023472","1.6472700834","75.594200134",,"0.4495305419","72.067443848",,,,"25.06032753",,,,,,,,"65000","1.0"
"25/11-19 S","990.18770504","465848.8125","6564135.5","-965.1759644","HORDALAND GP.","Skade Mb.","11.951625824","1.3511482477","1.3813894987","1.4047421217","1.6695458889","75.814102173",,"0.5217757821","54.174388885",,,,"25.010263443",,,,,,,,"65000","1.0"
"25/11-19 S","990.33970504","465848.78125","6564135.5","-965.3280029","HORDALAND GP.","Skade Mb.","11.948312759","1.3723602295","1.3996833563","1.4178812504","1.6867053509","76.394538879",,"0.6007679701","75.176368713",,,,"24.999889374",,,,,,,,"65000","1.0"
"25/11-19 S","990.49170504","465848.78125","6564135.5","-965.4799805","HORDALAND GP.","Skade Mb.","11.954606056","1.3614627123","1.3830248117","1.3994436264","1.690099597","69.026634216",,"0.6614423394","77.702774048",,,,"25.012893677",,,,,,,,"65000","1.0"
"25/11-19 S","990.64370504","465848.78125","6564135.5","-965.631958","HORDALAND GP.","Skade Mb.","11.948910713","1.3365074396","1.3548656702","1.3783866167","1.6828118563","70.505104065",,"0.589454174","80.545280457",,,,"25.026205063",,,,,,,,"65000","1.0"
"25/11-19 S","990.79570504","465848.78125","6564135.5","-965.7839355","HORDALAND GP.","Skade Mb.","11.955804825","1.3252940178","1.3459242582","1.3721297979","1.6783840656","72.471351624",,"0.5238580704","64.638778687",,,,"25.040679932",,,,,,,,"65000","1.0"
"25/11-19 S","990.94770504","465848.78125","6564135.5","-965.9359131","HORDALAND GP.","Skade Mb.","11.953412056","1.329370141","1.3522759676","1.3753364086","1.6698731184","72.074752808",,"0.5995591283","54.571491241",,,,"21.873622894",,,,,,,,"65000","1.0"
"25/11-19 S","991.09970504","465848.78125","6564135.5","-966.0879517","HORDALAND GP.","Skade Mb.","11.948142052","1.3300356865","1.3538446426","1.3744671345","1.6690346003","75.339157104",,"0.5326194763","57.116916656",,,,"21.795619965",,,,,,,,"65000","1.0"
"25/11-19 S","991.25170504","465848.78125","6564135.5","-966.2399292","HORDALAND GP.","Skade Mb.","11.956357002","1.3233184814","1.3448847532","1.3599014282","1.6816718578","75.793327332",,"0.4597112834","52.078884125",,,,"21.786733627",,,,,,,,"65000","1.0"
"25/11-19 S","991.40370504","465848.78125","6564135.5","-966.3919067","HORDALAND GP.","Skade Mb.","11.9519701","1.3013380766","1.3157576323","1.3187510967","1.687882781","70.069099426",,"0.5704367161","87.150917053","130.16983032",,,"21.616624832",,,,,,,,"65000","1.0"
"25/11-19 S","991.55570504","465848.78125","6564135.5","-966.5439453","HORDALAND GP.","Skade Mb.","11.947396278","1.221775651","1.2205411196","1.2300826311","1.6909818649","65.887542725",,"0.5675376654","116.45687866","131.81497192",,,"21.62830162",,,,,,,,"65000","1.0"
"25/11-19 S","991.70770504","465848.78125","6564135.5","-966.6959229","HORDALAND GP.","Skade Mb.","11.956795692","1.1382013559","1.1452411413","1.1767662764","1.6873853207","71.927192688",,"0.5586610436","138.46466064","132.99295044",,,"21.639865875",,,,,,,,"65000","1.0"
"25/11-19 S","991.85970504","465848.78125","6564135.5","-966.8479004","HORDALAND GP.","Skade Mb.","11.955141068","1.1560698748","1.1930547953","1.2240554094","1.6842166185","73.835273743",,"0.5497844219","127.96463013","134.6632843",,,"21.164110184",,,,,,,,"65000","1.0"
"25/11-19 S","992.01170504","465848.78125","6564135.5","-966.999939","HORDALAND GP.","Skade Mb.","11.950880051","1.2090194225","1.25466609","1.2694022655","1.6846237183","74.541358948",,"0.5409078002","108.7651825","136.86647034",,,"11.180018425",,,,,,,,"65000","1.0"
"25/11-19 S","992.16370504","465848.78125","6564135.5","-967.1519165","HORDALAND GP.","Skade Mb.","11.948124886","1.2005841732","1.2286032438","1.2468914986","1.6899844408","72.467597961",,"0.9095807672","65.851585388","140.7096405",,,"11.261881828",,,,,,,,"65000","1.0"
"25/11-19 S","992.31570504","465848.78125","6564135.5","-967.303894","HORDALAND GP.","Skade Mb.","11.956813812","1.1885547638","1.1968342066","1.2245473862","1.6936676502","76.286300659",,"0.9717276096","51.283695221","141.62277222",,,"11.3114748",,,,,,,,"65000","1.0"
"25/11-19 S","992.46770504","465848.78125","6564135.5","-967.4558716","HORDALAND GP.","Skade Mb.","11.952595711","1.19237113","1.2049329281","1.2294629812","1.7111512423","81.226387024",,"0.6032632589","39.688266754","139.16577148",,,"11.404442787",,,,,,,,"65000","1.0"
"25/11-19 S","992.61970504","465848.78125","6564135.5","-967.6078491","HORDALAND GP.","Skade Mb.","11.948155403","1.2141582966","1.2397036552","1.2527984381","1.7243603468","89.59790802",,"0.5794581175","47.891742706","138.21263123",,,"11.410573959",,,,,,,,"65000","1.0"
"25/11-19 S","992.77170504","465848.78125","6564135.5","-967.7598877","HORDALAND GP.","Skade Mb.","11.95553875","1.2293497324","1.2537363768","1.2623226643","1.7307391167","83.177597046",,"0.5395246148","59.294734955","137.73916626",,,"11.416761398",,,,,,,,"65000","1.0"
