"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"25/6-1","1907.0","488713.125","6598750.0","-1880.933594","HORDALAND GP.","Grid Fm.","17.416000366","0.7620000243","0.648999989","0.7879999876","2.1429789066","34.044998169",,,,"125.24359894","103.87799835","17.5","3.6458001137",,"-0.083999619","0.0719642937","0.1497830003",,,,"65030",
"25/6-1","1907.152","488713.125","6598750.0","-1881.085571","HORDALAND GP.","Grid Fm.","17.451877594","0.7606463432","0.6442764997","0.776121974","2.1418213844","35.793464661",,,,"126.8682251","103.93936157","17.5","3.7500002384",,"-0.048122127","0.0667850152","0.1497830003",,,,"65030",
"25/6-1","1907.304","488713.125","6598750.0","-1881.237549","HORDALAND GP.","Grid Fm.","17.467729568","0.7642976642","0.632809341","0.7520512938","2.1497437954","38.129447937",,,,"128.03912354","104.01308441","17.5","3.7500002384",,"-0.032270309","0.067761749","0.1497830003",,,,"65030",
"25/6-1","1907.456","488713.125","6598750.0","-1881.389648","HORDALAND GP.","Grid Fm.","17.468704224","0.7653520107","0.6162800193","0.7234479785","2.1678464413","42.354976654",,,,"128.48144531","104.06738281","17.5","3.7500002384",,"-0.031295978","0.0745815262","0.1497830003",,,,"65030",
"25/6-1","1907.608","488713.125","6598750.0","-1881.541626","HORDALAND GP.","Grid Fm.","17.465408325","0.7606799603","0.5980399847","0.695127964","2.1873021126","48.633277893",,,,"128.41212463","104.06604004","17.5","3.7500002384",,"-0.034591816","0.0839493349","0.1497830003",,,,"65030","2.0"
"25/6-1","1907.76","488713.125","6598750.0","-1881.693481","HORDALAND GP.","Grid Fm.","17.461400986","0.7501199841","0.5807999969","0.6672400236","2.1987016201","54.549758911",,,,"128.4487915","103.97983551","17.5","3.7500002384",,"-0.038599625","0.0912554786","0.1497830003",,,,"65030","2.0"
"25/6-1","1907.912","488713.125","6598750.0","-1881.845459","HORDALAND GP.","Grid Fm.","17.477247238","0.7367439866","0.5631520152","0.6404880285","2.1972513199","56.955135345",,,,"129.09072876","103.81327057","17.5","3.6312482357",,"-0.022752367","0.0933855027","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.064","488713.125","6598750.0","-1881.997437","HORDALAND GP.","Grid Fm.","17.556735992","0.7228559852","0.5473440289","0.6147599816","2.184076786","55.344768524",,,,"130.48603821","103.6013031","17.5","2.4270880222",,"0.0567360669","0.0878331885","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.216","488713.09375","6598750.0","-1882.149414","HORDALAND GP.","Grid Fm.","17.73658371","0.7089920044","0.5329920053","0.5918959975","2.1651508808","51.4008255",,,,"132.42823792","103.40206909","17.5","2.1875",,"0.236583963","0.0744587407","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.368","488713.09375","6598750.0","-1882.301514","HORDALAND GP.","Grid Fm.","17.968900681","0.6975123286","0.5215123296","0.5728538632","2.1491425037","47.316158295",,,,"134.47883606","103.27423096","17.5","2.2229280472",,"0.4688999355","0.0596396886","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.52","488713.09375","6598750.0","-1882.453491","HORDALAND GP.","Grid Fm.","18.118572235","0.689678371","0.5143567324","0.5585526228","2.142524004","44.840465546",,,,"136.23138428","103.24276733","17.5","2.197920084",,"0.6185724139","0.0523392931","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.672","488713.09375","6598750.0","-1882.605469","HORDALAND GP.","Grid Fm.","18.088384628","0.6891279817","0.5098720193","0.5487440228","2.1467382908","44.563461304",,,,"137.44810486","103.24899292","17.5","2.2396001816",,"0.5883842707","0.0570600964","0.1497830003",,,,"65030","2.0"
"25/6-1","1908.824","488713.09375","6598750.0","-1882.757446","HORDALAND GP.","Grid Fm.","17.914768219","0.6933680177","0.5074080229","0.5438159704","2.1588141918","45.909431458",,,,"138.03616333","103.20966339","17.5","2.2396001816",,"0.4147678614","0.0679654256","0.1497830003",,,,"65030","2.0"
