DEPTH_MD,CALI,RSHA,CALI,RSHA,CALI,RSHA,CALI
997.9963926,17.66024208,0.165948302,-17.32834548,-34.82263925,-52.31693303,-69.81122681,-87.30552059
998.1483926,17.77178001,0.191684678,-17.38841065,-34.96850599,-52.54860132,-70.12869665,-87.70879198
998.3003926,17.53444862,0.222648472,-17.08915168,-34.40095182,-51.71275197,-69.02455212,-86.33635227
998.4523926,18.7447567,0.18547973,-18.37379724,-36.93307421,-55.49235118,-74.05162815,-92.61090512
998.6043926,19.23848534,0.208112374,-18.82226059,-37.85263356,-56.88300652,-75.91337949,-94.94375246
998.7563926,18.46224022,0.14784354,-18.16655314,-36.48094982,-54.7953465,-73.10974318,-91.42413986
998.9083926,18.81761742,0.206399173,-18.40481907,-37.01603732,-55.62725557,-74.23847382,-92.84969206
999.0603926,19.16048431,0.451336324,-18.25781166,-36.96695965,-55.67610763,-74.38525562,-93.09440361
999.2123926,19.51525116,0.391530991,-18.73218918,-37.85590935,-56.97962952,-76.10334969,-95.22706985
999.3643926,19.89983177,0.415275216,-19.06928134,-38.55383789,-58.03839445,-77.522951,-97.00750755
999.5163926,20.18430519,0.660166085,-18.86397302,-38.38811213,-57.91225123,-77.43639034,-96.96052944
999.6683926,20.35775948,0.361227274,-19.63530493,-39.63183714,-59.62836934,-79.62490155,-99.62143376
999.8203926,20.21611595,0.442211062,-19.33169383,-39.10559871,-58.8795036,-78.65340849,-98.42731338
999.9723926,19.90237427,0.548616231,-18.80514181,-38.15889985,-57.51265789,-76.86641593,-96.22017396
1000.124393,19.78503609,0.285231739,-19.21457261,-38.71437696,-58.21418131,-77.71398567,-97.21379002
1000.276393,19.69417381,0.309371829,-19.07543015,-38.46023213,-57.84503411,-77.2298361,-96.61463808
1000.428393,20.08548737,0.504123509,-19.07724035,-38.65860421,-58.23996807,-77.82133194,-97.4026958
1000.580393,21.11463738,0.496507615,-20.12162215,-40.73975192,-61.35788168,-81.97601145,-102.5941412
1000.732393,21.21805,0.592608571,-20.03283286,-40.65827429,-61.28371572,-81.90915715,-102.5345986
1000.884393,21.58145523,0.415997863,-20.7494595,-41.91491687,-63.08037424,-84.24583161,-105.411289
1001.036393,21.4749794,0.436254293,-20.60247081,-41.64119592,-62.67992103,-83.71864614,-104.7573712
1001.188393,21.66452599,0.285622448,-21.09328109,-42.47218464,-63.85108818,-85.22999172,-106.6088953
1001.340393,21.62741089,0.281641364,-21.06412816,-42.40989769,-63.75566721,-85.10143674,-106.4472063
1001.492393,21.57886314,0.444584101,-20.68969494,-41.82397398,-62.95825302,-84.09253206,-105.2268111
1001.644393,21.24141693,0.651467383,-19.93848216,-40.52843171,-61.11838126,-81.70833081,-102.2982804
1001.796393,21.29507446,0.915095329,-19.4648838,-39.84486293,-60.22484206,-80.6048212,-100.9848003
1001.948393,21.25320435,0.643413603,-19.96637714,-40.57616789,-61.18595864,-81.79574939,-102.4055401
1002.100393,20.58442307,0.841898858,-18.90062535,-38.64314957,-58.38567378,-78.12819799,-97.8707222
1002.252393,20.88665009,0.673752844,-19.5391444,-39.75204165,-59.96493889,-80.17783614,-100.3907334
1002.404393,20.77412605,0.461454421,-19.85121721,-40.16388884,-60.47656047,-80.7892321,-101.1019037
1002.556393,20.93675804,0.756023109,-19.42471182,-39.60544675,-59.78618168,-79.96691662,-100.1476515
1002.708393,21.64674759,0.81492573,-20.01689613,-40.84871799,-61.68053985,-82.51236171,-103.3441836
1002.860393,21.61928177,0.780866742,-20.05754829,-40.89596331,-61.73437834,-82.57279337,-103.4112084
1003.012393,21.19166565,0.762699366,-19.66626692,-40.0952332,-60.52419949,-80.95316577,-101.3821321
1003.164393,21.38749313,0.547886729,-20.29171967,-41.13132607,-61.97093247,-82.81053888,-103.6501453
1003.316393,21.01812172,0.424045384,-20.17003095,-40.76410729,-61.35818362,-81.95225996,-102.5463363
1003.468393,20.93846893,0.28836742,-20.36173409,-41.0118356,-61.66193711,-82.31203862,-102.9621401
