"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"34/4-10 R","3632.002467","450947.25","6832993.0","-3606.446289","SHETLAND GP.","Kyrre Fm.",,,"1.5304946899","1.4136937857",,"88.634933472",,,,"96.198547363",,"12.250000954","10.739134789","204.89115906",,,,,"0.1124602482",,"65030","3.0"
"34/4-10 R","3632.154467","450947.21875","6832993.0","-3606.598145","SHETLAND GP.","Kyrre Fm.",,,"1.154496789","1.3045779467",,"95.844612122",,,,"95.838699341",,"12.250000954","11.128127098","204.95907593",,,,,"0.1131139025",,"65030","3.0"
"34/4-10 R","3632.306467","450947.21875","6832993.0","-3606.75","SHETLAND GP.","Kyrre Fm.",,,"1.0463927984","1.2517648935",,"95.25957489",,,,"95.795814514",,"12.250000954","11.294211388","205.44549561",,,,,"0.1161365807",,"65030","3.0"
"34/4-10 R","3632.458467","450947.21875","6832993.0","-3606.901855","SHETLAND GP.","Kyrre Fm.",,,"1.0823315382","1.2485665083",,"94.274635315",,,,"95.831619263",,"12.250000954","9.6814928055","205.56396484",,,,,"0.1191973612",,"65030","3.0"
"34/4-10 R","3632.610467","450947.21875","6832993.0","-3607.053711","SHETLAND GP.","Kyrre Fm.",,,"1.1022471189","1.2567765713",,"92.018417358",,,,"95.859954834",,"12.250000954","9.049284935","205.5388031",,,,,"0.1222174615",,"65030","3.0"
"34/4-10 R","3632.762467","450947.21875","6832993.0","-3607.205566","SHETLAND GP.","Kyrre Fm.",,,"1.0947417021","1.2540488243",,"91.226951599",,,,"95.888290405",,"12.250000954","9.1250782013","205.5388031",,,,,"0.1252813339",,"65030","3.0"
"34/4-10 R","3632.914467","450947.21875","6832993.0","-3607.357666","SHETLAND GP.","Kyrre Fm.",,,"1.1769307852","1.3279674053",,"90.147491455",,,,"95.916625977",,"12.250000954","9.5882015228","205.5388031",,,,,"0.1283036768",,"65030","3.0"
"34/4-10 R","3633.066467","450947.1875","6832993.0","-3607.509521","SHETLAND GP.","Kyrre Fm.",,,"1.2047322989","1.3238712549",,"90.014289856",,,,"95.944961548",,"12.250000954","9.7310142517","205.0851593",,,,,"0.1305282116",,"65030","3.0"
"34/4-10 R","3633.218467","450947.1875","6832993.0","-3607.661377","SHETLAND GP.","Kyrre Fm.",,,"1.2194328308","1.3346674442",,"90.148773193",,,,"95.973297119",,"12.250000954","10.388716698","203.22119141",,,,,"0.132143572",,"65030","3.0"
"34/4-10 R","3633.370467","450947.1875","6832993.0","-3607.813232","SHETLAND GP.","Kyrre Fm.",,,"1.2661309242","1.3440438509",,"91.047065735",,,,"96.00163269",,"12.250000954","15.497772217","202.44889832",,,,,"0.1337090433",,"65030","3.0"
"34/4-10 R","3633.522467","450947.1875","6832993.0","-3607.965088","SHETLAND GP.","Kyrre Fm.",,,"1.2870620489","1.3344484568",,"90.960083008",,,,"96.029968262",,"12.250000954","17.615409851","201.85284424",,,,,"0.1352360994",,"65030","3.0"
"34/4-10 R","3633.674467","450947.1875","6832993.0","-3608.116943","SHETLAND GP.","Kyrre Fm.",,,"1.2838543653","1.3492145538",,"90.082336426",,,,"96.058303833",,"12.250000954","17.76115799","201.10919189",,,,,"0.1367328316",,"65030","3.0"
"34/4-10 R","3633.826467","450947.15625","6832993.0","-3608.268799","SHETLAND GP.","Kyrre Fm.",,,"1.2733160257","1.3766642809",,"87.585731506",,,,"95.882003784",,"12.250000954","19.696117401","200.65936279",,,,,"0.1382278502",,"65030","3.0"
"34/4-10 R","3633.978467","450947.15625","6832993.0","-3608.420654","SHETLAND GP.","Kyrre Fm.",,,"1.2890158892","1.3728443384",,"85.865226746",,,,"96.120422363",,"12.250000954","19.921844482","202.76383972",,,,,"0.1399279535",,"65030","3.0"
"34/4-10 R","3634.130467","450947.15625","6832993.0","-3608.57251","SHETLAND GP.","Kyrre Fm.",,,"1.2923961878","1.3602776527",,"86.19921875",,,,"97.029586792",,"12.250000954","20.033210754","205.17713928",,,,,"0.1426080614",,"65030","3.0"
"34/4-10 R","3634.282467","450947.15625","6832993.0","-3608.724365","SHETLAND GP.","Kyrre Fm.",,,"1.3001143932","1.3756971359",,"87.481872559",,,,"96.81917572",,"12.250000954","18.944524765","207.07302856",,,,,"0.1456341445",,"65030","3.0"
"34/4-10 R","3634.434467","450947.15625","6832993.0","-3608.876465","SHETLAND GP.","Kyrre Fm.",,,"1.2843407393","1.3569660187",,"89.67276001",,,,"96.393997192",,"12.250000954","18.491210938","208.19816589",,,,,"0.1486917287",,"65030","3.0"
"34/4-10 R","3634.586467","450947.15625","6832993.0","-3609.028076","SHETLAND GP.","Kyrre Fm.",,,"1.2742999792","1.3436000347",,"91.25440979",,,,"95.671386719",,"12.250000954","16.374067307","208.83973694",,,,,"0.1517150998",,"65030","3.0"
"34/4-10 R","3634.738467","450947.125","6832993.0","-3609.180176","SHETLAND GP.","Kyrre Fm.",,,"1.2478306293","1.3484795094",,"93.698616028",,,,"94.937309265",,"12.250000954","15.038311958","208.42108154",,,,,"0.1547755003",,"65030","3.0"
"34/4-10 R","3634.890467","450947.125","6832993.0","-3609.332031","SHETLAND GP.","Kyrre Fm.",,,"1.2237170935","1.3214792013",,"94.258872986",,,,"94.754974365",,"12.250000954","14.836597443","205.81062317",,,,,"0.1578013152",,"65030","3.0"
"34/4-10 R","3635.042467","450947.125","6832993.0","-3609.483887","SHETLAND GP.","Kyrre Fm.",,,"1.2308040857","1.3586421013",,"92.546958923",,,,"94.970687866",,"12.250000954","14.345763206","203.69134521",,,,,"0.1552094519",,"65030","3.0"
"34/4-10 R","3635.194467","450947.125","6832993.0","-3609.635742","SHETLAND GP.","Kyrre Fm.",,,"1.2539262772","1.3846694231",,"90.039230347",,,,"95.064834595",,"12.250000954","14.121744156","203.24653625",,,,,"0.1463865638",,"65030","3.0"
