wellname,Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,lith
gu461,1533.4,97.048,8.64,28.246,0.025,2.335,82.862,371.625,8.237,8.349,8.152,8.663,9.453,7.163,-47.683,5
gu461,1533.45,94.084,8.592,26.747,0.026,2.362,78.157,345.541,9.324,9.493,8.418,9.122,9.854,8.03,-48.349,5
gu461,1533.5,91.113,8.559,25.244,0.028,2.389,73.72,323.919,11.123,10.64,8.684,9.582,10.317,9.357,-49.079,5
gu461,1533.55,88.152,8.526,23.788,0.031,2.404,69.283,308.485,12.924,12.731,8.957,10.007,10.78,10.685,-49.809,5
gu461,1533.6,85.198,8.512,22.336,0.034,2.419,65.332,302.9,16.02,14.816,9.23,10.431,11.192,12.847,-50.517,5
gu461,1533.65,82.826,8.498,21.528,0.029,2.421,61.372,302.141,19.125,18.382,9.482,10.686,11.605,15.015,-51.227,5
gu461,1533.7,80.459,8.503,20.722,0.024,2.422,58.402,302.051,23.832,21.94,9.734,10.94,11.775,18.444,-51.826,5
gu461,1533.75,78.901,8.507,20.175,0.017,2.414,55.424,295.165,28.551,25.66,9.933,10.935,11.945,21.882,-52.426,5
gu461,1533.8,77.344,8.534,19.628,0.01,2.405,54.695,282.949,31.952,29.376,10.133,10.93,11.843,25.306,-52.844,5
gu461,1533.85,76.692,8.561,19.496,0.009,2.391,53.967,270.927,35.345,28.047,10.274,10.706,11.741,28.721,-53.261,5
gu461,1533.9,76.037,8.615,19.364,0.008,2.377,56.304,262.576,32.193,26.713,10.416,10.481,11.758,27.617,-53.446,5
gu461,1533.95,76.259,8.669,19.453,0.014,2.362,58.636,255.997,29.046,22.137,10.533,10.172,11.775,26.513,-53.63,5
gu461,1534,76.481,8.737,19.542,0.02,2.348,63.469,250.222,23.774,17.55,10.65,9.863,11.599,22.263,-53.564,5
gu461,1534.05,77.385,8.805,20.004,0.027,2.337,68.304,244.633,18.502,14.375,10.765,9.585,11.422,18.011,-53.498,5
gu461,1534.1,78.287,8.86,20.464,0.033,2.326,74.178,240.221,15.173,11.207,10.88,9.306,10.656,14.9,-53.21,5
gu461,1534.15,79.546,8.915,21.238,0.033,2.32,80.066,236.62,11.838,9.569,10.976,9.121,9.888,11.781,-52.922,5
gu461,1534.2,80.801,8.943,22.01,0.033,2.313,85.262,233.54,10.14,7.936,11.072,8.935,8.926,10.112,-52.488,5
gu461,1534.25,82.107,8.97,22.857,0.03,2.311,90.47,233.888,8.438,7.157,11.104,8.85,7.961,8.44,-52.053,5
gu461,1534.3,83.412,8.971,23.704,0.028,2.309,93.944,239.464,7.637,6.381,11.135,8.765,7.345,7.601,-51.582,5
gu461,1534.35,84.542,8.972,24.292,0.031,2.312,97.41,250.317,6.837,6.094,11.064,8.763,6.73,6.764,-51.112,5
gu461,1534.4,85.675,8.948,24.881,0.034,2.314,98.665,262.149,6.553,5.807,10.992,8.762,6.64,6.393,-50.733,5
gu461,1534.45,86.382,8.925,25.044,0.049,2.32,99.917,272.699,6.269,5.863,10.818,8.811,6.551,6.024,-50.356,5
gu461,1534.5,87.091,8.881,25.206,0.063,2.326,99.163,281.025,6.359,5.919,10.644,8.86,6.913,5.974,-50.186,5
gu461,1534.55,87.225,8.837,25.017,0.077,2.334,98.406,286.751,6.449,6.283,10.401,8.918,7.276,5.924,-50.017,5
gu461,1534.6,87.358,8.783,24.828,0.09,2.341,96.178,290.343,6.91,6.645,10.159,8.976,7.845,6.169,-50.126,5
gu461,1534.65,87.044,8.729,24.458,0.086,2.348,93.944,292.685,7.373,7.329,9.886,9.004,8.415,6.415,-50.235,5
gu461,1534.7,86.73,8.687,24.09,0.081,2.355,90.79,294.815,8.29,8.011,9.613,9.031,8.742,7.02,-50.616,5
gu461,1534.75,86.291,8.644,23.699,0.064,2.36,87.628,296.704,9.209,8.991,9.361,9.007,9.071,7.627,-50.998,5
gu461,1534.8,85.851,8.623,23.308,0.046,2.364,84.591,297.028,10.592,9.972,9.108,8.982,9.083,8.683,-51.576,5
gu461,1534.85,85.504,8.602,23.007,0.037,2.367,81.561,295.491,11.972,11.03,8.922,8.905,9.096,9.737,-52.152,5
gu461,1534.9,85.157,8.606,22.705,0.027,2.371,79.825,292.452,13.219,12.091,8.734,8.828,9.218,10.96,-52.794,5
gu461,1534.95,84.994,8.609,22.556,0.025,2.372,78.094,289.17,14.462,12.59,8.641,8.724,9.34,12.179,-53.433,5
gu461,1535,84.83,8.638,22.407,0.023,2.373,78.471,286.566,14.523,13.09,8.548,8.62,9.392,12.61,-53.989,5
gu461,1535.05,84.905,8.668,22.42,0.027,2.372,78.852,284.303,14.581,12.469,8.55,8.527,9.443,13.039,-54.544,5
gu461,1535.1,84.98,8.712,22.433,0.032,2.371,81.046,282.143,13.662,11.849,8.552,8.435,8.638,12.452,-54.891,5
gu461,1535.15,85.303,8.756,22.589,0.05,2.369,83.245,279.059,12.74,10.691,8.626,8.386,7.831,11.864,-55.24,5
gu461,1535.2,85.625,8.786,22.745,0.069,2.367,86.521,277.024,11.757,9.537,8.699,8.337,6.826,11.049,-55.329,5
gu461,1535.25,86.03,8.816,22.959,0.093,2.365,89.804,276.24,10.771,8.658,8.798,8.34,5.818,10.232,-55.418,5
gu461,1535.3,86.436,8.805,23.173,0.116,2.363,92.338,275.718,10.076,7.78,8.897,8.344,5.326,9.575,-55.283,5
gu461,1535.35,86.671,8.795,23.293,0.123,2.362,94.867,275.238,9.382,7.424,8.969,8.377,4.835,8.919,-55.149,5
gu461,1535.4,86.906,8.749,23.414,0.13,2.362,95.319,275.723,9.036,7.066,9.04,8.411,4.874,8.491,-54.892,5
gu461,1535.45,86.866,8.703,23.322,0.114,2.364,95.77,277.273,8.691,7.189,9.051,8.43,4.913,8.064,-54.635,5
gu461,1535.5,86.826,8.658,23.23,0.098,2.366,94.165,278.35,8.686,7.311,9.063,8.449,5.468,7.887,-54.367,5
gu461,1535.55,86.631,8.612,22.972,0.071,2.37,92.558,278.637,8.681,7.803,9.019,8.417,6.024,7.711,-54.099,5
gu461,1535.6,86.437,8.598,22.714,0.046,2.373,90.093,279.253,8.939,8.293,8.975,8.386,7.058,7.792,-53.894,5
gu461,1535.65,86.27,8.584,22.49,0.033,2.377,87.622,284.359,9.198,8.832,8.914,8.31,8.093,7.873,-53.689,5
gu461,1535.7,86.103,8.603,22.266,0.021,2.381,85.811,293.097,9.429,9.369,8.852,8.235,8.924,8.108,-53.557,5
gu461,1535.75,86.048,8.621,22.261,0.019,2.384,83.995,301.307,9.661,9.413,8.824,8.162,9.757,8.343,-53.424,5
gu461,1535.8,85.993,8.656,22.255,0.017,2.387,83.36,305.015,9.47,9.456,8.795,8.09,9.754,8.365,-53.321,5
gu461,1535.85,86.099,8.691,22.469,0.025,2.389,82.727,302.771,9.28,8.962,8.844,8.086,9.75,8.387,-53.217,5
