wellname,Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,lith
gu471,1841.225,218.9768,8.8274,3.7424,0.0948,91.3231,124.7603,219.5259,3.2331,3.4477,3.9891,4.0949,3.6053,0.2528,128.5112,3.571,2.3275,-8.1666,11
gu471,1841.25625,224.6676,8.8268,3.5708,0.2301,91.43,126.7006,214.4617,3.2015,3.4065,3.8893,3.9358,3.5298,0.2647,111.9611,3.9177,2.3998,-8.1096,11
gu471,1841.2875,230.7381,8.8285,3.4842,0.2745,91.5126,127.1507,211.0427,3.1895,3.3888,3.7664,3.8254,3.545,0.2773,106.9991,4.1822,2.3805,-8.1811,11
gu471,1841.31875,237.6943,8.8285,3.4577,0.2713,91.199,126.4274,210.7869,3.1984,3.3968,3.6671,3.6898,3.8048,0.2791,103.5551,4.2605,2.3089,-8.2095,11
gu471,1841.35,243.3852,8.8318,3.501,0.2899,91.1351,125.1801,215.9718,3.2227,3.4202,3.6555,3.6784,4.125,0.2788,101.2248,4.6621,2.282,-8.2286,11
gu471,1841.38125,248.0639,8.8187,3.5297,0.3042,91.5719,123.7045,222.8012,3.2577,3.4542,3.6998,3.7334,4.339,0.2858,99.4505,4.9148,2.2866,-8.2905,11
gu471,1841.4125,247.5549,8.7924,3.5434,0.3038,91.5969,121.5772,228.2396,3.3054,3.5008,3.7197,3.8948,3.91,0.2846,99.5995,4.8195,2.2711,-8.319,11
gu471,1841.44375,246.4133,8.7574,3.5512,0.2898,90.7453,118.7586,236.4613,3.375,3.5729,3.7336,3.8358,3.7708,0.2665,101.1147,4.6072,2.2373,-8.2903,11
gu471,1841.475,244.5111,8.7155,3.662,0.2812,89.4391,116.4612,245.5687,3.4831,3.6879,3.8487,3.8633,4.4419,0.2495,103.1865,4.6147,2.2154,-8.2287,11
gu471,1841.50625,243.3699,8.6783,3.9153,0.2832,87.9792,115.8618,251.1332,3.6514,3.8684,4.2171,4.169,4.621,0.2378,106.3718,4.693,2.2108,-8.2762,11
gu471,1841.5375,242.4814,8.6456,4.4275,0.289,86.5,116.5431,255.5591,3.8901,4.1242,4.8698,4.6715,4.7788,0.2335,111.6313,4.6638,2.2291,-8.2951,11
gu471,1841.56875,241.9729,8.6161,5.248,0.2818,85.2203,116.8132,259.4788,4.1761,4.4296,5.5244,5.4431,6.4218,0.2235,117.3466,4.4259,2.2981,-8.2522,11
gu471,1841.6,242.7287,8.6041,5.9879,0.2679,83.7611,116.0596,261.7536,4.4251,4.694,5.7924,5.7696,9.2395,0.2189,121.0885,4.1393,2.4222,-8.1094,11
gu471,1841.63125,244.1167,8.6085,6.2291,0.2582,82.5781,115.2242,263.5223,4.5228,4.7952,5.7136,5.5932,10.4844,0.2235,127.1069,4.0343,2.5233,-8.0713,11
gu471,1841.6625,244.8735,8.6161,5.7151,0.2355,82.5802,115.2424,262.1265,4.4372,4.7013,5.5773,5.3693,7.6356,0.2141,129.8875,3.8796,2.5414,-8.0095,11
gu471,1841.69375,246.261,8.6238,4.8753,0.2017,83.4359,116.3198,261.4916,4.2622,4.5159,5.3704,5.1374,4.5352,0.21,133.8313,3.5695,2.5128,-7.8474,11
gu471,1841.725,246.7657,8.6281,4.366,0.2095,84.6859,118.8533,260.0971,4.1162,4.3651,4.9492,4.7051,3.8207,0.2264,137.5733,3.5101,2.5128,-7.7095,11
gu471,1841.75625,247.5216,8.6413,4.2446,0.2395,85.7921,122.4875,259.2091,4.0562,4.3077,4.4945,4.3905,4.6073,0.2373,143.8441,3.6257,2.5214,-7.6952,11
gu471,1841.7875,248.4044,8.6636,4.2821,0.2549,85.6969,126.1347,258.1938,4.079,4.3378,4.2791,4.3625,6.0034,0.2331,146.7769,3.649,2.5164,-7.7096,11
gu471,1841.81875,248.9081,8.6811,4.4046,0.2419,84.6996,128.5712,257.3049,4.167,4.4312,4.3724,4.4189,6.7036,0.2263,152.2898,3.5009,2.4876,-7.7714,11
