wellname,Depth,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long121,1663.225,77.0625,-10,10.6172,258.3581,22.13,2.3168,10.9854,11.4004,21.9531,4
long121,1663.25625,66.6244,-9.4998,10.6415,256.319,21.74,2.3377,8.8111,8.9243,21.6562,4
long121,1663.2875,65.875,-9.25,11.7969,254.1521,21.61,2.3586,5.8274,6.1357,17.681,4
long121,1663.31875,77.3846,-8.4998,12.4221,252.8767,21.69,2.3669,4.5863,4.9575,14.9792,4
long121,1663.35,89.3125,-8.25,12.6172,251.2184,22.03,2.364,3.5481,3.9056,12.8125,4
long121,1663.38125,97.3736,-8.5004,12.5923,249.9424,22.49,2.3601,3.6921,3.9251,9.125,4
long121,1663.4125,95.625,-9,10.6875,248.5384,23.04,2.3591,4.4952,4.5351,6.8672,4
long121,1663.44375,94.5607,-9.0002,10.6326,247.1345,23.75,2.3638,5.6311,5.5725,5.4023,4
long121,1663.475,92.3125,-9.25,10.4375,246.3678,24.41,2.3727,5.7763,5.7189,4.2561,4
long121,1663.50625,94.9375,-9.25,10.3672,245.6012,24.99,2.3937,5.2505,5.4183,3.5476,4
long121,1663.5375,95.3798,-9.5,10.4765,244.5788,24.01,2.4147,5.271,5.6675,3.0622,4
long121,1663.56875,101.375,-9.5,10.3984,244.0657,22.45,2.4804,7.2522,8.0807,2.9199,4
long121,1663.6,94.6785,-10,10.546,243.4255,19.98,2.5461,9.2672,10.0823,2.8008,4
long121,1663.63125,83.5,-10,9.4766,244.0563,18.16,2.5817,12.2056,13.0841,2.7031,4
long121,1663.6625,72.6871,-10.5006,8.9922,244.9421,15.35,2.6172,18.9854,19.9707,2.7031,4
long121,1663.69375,72.25,-11.25,9.0312,245.8264,12.53,2.6356,21.2255,22.1525,2.709,4
long121,1663.725,80.0657,-11.2498,9.0783,246.2058,9.95,2.654,12.0082,12.7331,2.7256,4
long121,1663.75625,84,-11,9.3438,246.963,6.6,2.6543,7.417,7.7757,3.152,4
long121,1663.7875,90.1884,-10.4994,10.3687,247.2144,4.72,2.6546,6.1747,6.2568,3.8262,4
long121,1663.81875,91.25,-9.75,12.2266,247.4637,4.64,2.6539,4.2701,4.3212,5.0234,4
long121,1663.85,90.3078,-9,12.656,247.8408,4.76,2.6532,3.9392,3.9205,7.3633,4
long121,1663.88125,84.4375,-9,12.4375,247.9636,5.62,2.6471,5.6149,5.2078,12.6596,4
