wellname,Depth,X,Y,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long261,2082.82125,5140032.1,21610313.7,99.0844,20.6963,9.75,-99999,15.67,2.5886,9.772,10.2749,26.9844,5
long261,2082.8525,5140032.1,21610313.7,91.4472,20.3126,9.75,-99999,14.47,2.5952,10.9594,11.323,31.0625,5
long261,2082.88375,5140032.1,21610313.7,84.7626,19.9178,9.75,-99999,13.98,2.5953,10.4674,11.0453,35.9453,5
long261,2082.915,5140032.1,21610313.7,88.5485,19.887,9.75,-99999,15.01,2.5893,9.3622,9.9318,38.8921,5
long261,2082.94625,5140032.1,21610313.7,98.7764,20.4929,9.75,-99999,17.05,2.592,8.1733,8.7974,37.8438,5
long261,2082.9775,5140032.1,21610313.7,110.3684,21.3332,9.75,-99999,20.34,2.5969,7.1495,7.7513,36.1875,5
long261,2083.00875,5140032.1,21610313.7,115.9162,21.8882,9.75,-99999,23.71,2.5935,7.2313,7.7601,36.0625,5
long261,2083.04,5140032.1,21610313.7,111.1843,21.9765,9.75,-99999,24.32,2.5776,8.8144,9.233,39.2812,5
long261,2083.07125,5140032.1,21610313.7,102.9219,21.7889,9.75,-99999,20.08,2.5538,10.3911,10.833,42.6562,5
long261,2083.1025,5140032.1,21610313.7,94.4468,21.2264,9.75,-99999,14.41,2.5344,12.3049,12.6801,45.4375,5
long261,2083.13375,5140032.1,21610313.7,93.3489,20.7074,9.75,-99999,11.2,2.5376,15.1588,15.5558,41,5
long261,2083.165,5140032.1,21610313.7,90.3696,20.483,9.75,-99999,11.72,2.5523,14.7367,15.5798,42.125,5
long261,2083.19625,5140032.1,21610313.7,86.7746,20.4104,9.75,-99999,12.39,2.5611,13.6388,14.4249,46.8125,5
long261,2083.2275,5140032.1,21610313.7,85.9926,20.329,9.7266,-99999,12.12,2.5648,13.4437,14.2764,62.25,5
long261,2083.25875,5140032.1,21610313.7,89.6917,20.5872,9.6172,-99999,11.74,2.5633,13.0689,14.0177,70.0625,5
long261,2083.29,5140032.1,21610313.7,91.6654,21.2191,9.6328,-99999,12.79,2.551,14.2678,15.015,74.3544,5
long261,2083.32125,5140032.1,21610313.7,86.5296,21.4933,9.9609,-99999,12.8,2.5049,17.9573,18.2113,89.7383,5
long261,2083.3525,5140032.1,21610313.7,78.5108,21.5538,10.0938,-99999,11.17,2.4691,21.623,21.3677,119,5
long261,2083.38375,5140032.1,21610313.7,78.0004,21.6285,9.6484,-99999,9.86,2.4866,20.3525,20.1705,111.3125,5
long261,2083.415,5140032.1,21610313.7,85.1677,21.8645,9.6016,-99999,10.54,2.5371,15.4614,15.8849,46.8125,5
long261,2083.44625,5140032.1,21610313.7,98.8828,22.5353,9.6016,-99999,12.82,2.5865,11.2937,11.7433,23.8594,5
long261,2083.4775,5140032.1,21610313.7,108.7037,23.0538,9.6016,-99999,13.92,2.6074,9.0315,9.431,16.4531,5
long261,2083.50875,5140032.1,21610313.7,109.1675,23.26,9.6016,-99999,14.38,2.6079,8.5011,8.8645,13.6406,5
long261,2083.54,5140032.1,21610313.7,106.9453,23.1793,9.6016,-99999,13.94,2.6025,8.8772,9.1418,11.4531,5
long261,2083.57125,5140032.1,21610313.7,105.9978,23.024,9.6016,-99999,15.12,2.6051,9.0668,9.3299,8.8438,5
long261,2087.75875,5140032.1,21610313.7,124.2566,26.2136,9.4688,-99999,17.58,2.5953,8.3424,8.9249,3.9844,4
long261,2087.79,5140032.1,21610313.7,115.369,26.3386,9.4531,-99999,16.92,2.6079,9.9937,10.4602,3.9124,4
long261,2087.82125,5140032.1,21610313.7,105.0648,26.3873,9.5548,-99999,14.84,2.6099,12.6506,12.9432,3.9199,4
long261,2087.8525,5140032.1,21610313.7,93.4512,26.0902,9.6016,-99999,12.44,2.5994,14.5337,14.6749,3.9375,4
long261,2087.88375,5140032.1,21610313.7,89.9304,25.5416,9.6016,-99999,10.41,2.5968,13.8175,13.9731,4.0352,4
long261,2087.915,5140032.1,21610313.7,91.972,25.4113,9.6016,-99999,10.24,2.5932,10.6429,11.0693,4.0391,4
long261,2087.94625,5140032.1,21610313.7,103.0657,25.8792,9.578,-99999,13.03,2.5886,8.652,9.1933,4.0273,4
long261,2087.9775,5140032.1,21610313.7,112.0056,26.3802,9.5078,-99999,15.33,2.5901,7.88,8.3223,3.9824,4
