Wellname,Depth,X,Y,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1890.0175,5143500.3,21613750.3,120.5625,-14.3828,9.0234,274.8714,26.86,2.5847,7.5866,7.3935,4.2266,7
long291,1890.04875,5143500.3,21613750.3,112.8125,-14.4062,9.0234,265.5436,23.61,2.6091,7.9938,7.7904,5.2461,7
long291,1890.08,5143500.3,21613750.3,111.375,-14.4688,9.0469,253.5344,24.72,2.589,7.9802,7.7944,7.6523,7
long291,1890.11125,5143500.3,21613750.3,116.0625,-14.5625,9.1562,248.549,24.7,2.5536,8.1673,7.9574,9.6016,7
long291,1890.1425,5143500.3,21613750.3,133.75,-14.625,9.0312,245.4807,25.78,2.54,6.7843,6.7519,8.1052,7
long291,1890.17375,5143500.3,21613750.3,143.625,-14.4922,9.375,241.7732,24.38,2.4806,6.4359,6.3617,6.4648,7
long291,1890.205,5143500.3,21613750.3,139.875,-14.5234,10.0781,238.0638,25.74,2.3687,6.1145,6.1232,6.6016,7
long291,1890.23625,5143500.3,21613750.3,128.7394,-14.4922,10.3751,236.9119,27.6,2.302,5.9707,6.0068,6.5078,7
long291,1890.2675,5143500.3,21613750.3,115.5,-14.4297,10.5625,234.6099,28.4,2.2595,6.3638,6.3394,6.3281,7
long291,1890.29875,5143500.3,21613750.3,114.0588,-14.4921,10.195,232.3067,28.83,2.2114,6.4274,6.5027,6.1094,7
long291,1890.33,5143500.3,21613750.3,109.4375,-14.3359,9.8047,231.0252,29.81,2.1643,6.4925,6.5665,5.8327,7
long291,1890.36125,5143500.3,21613750.3,116.5,-14.1719,9.6328,231.9162,30.95,2.2078,6.4499,6.4814,5.6875,7
long291,1890.3925,5143500.3,21613750.3,120.625,-14.0547,9.8984,233.4451,31.28,2.268,6.0476,6.1529,5.4336,7
long291,1890.42375,5143500.3,21613750.3,123.875,-14.0547,9.9922,235.2288,32.07,2.3224,6.0003,6.1059,5.4688,7
long291,1890.455,5143500.3,21613750.3,122.6875,-13.8047,10.2188,237.3957,34.4,2.3397,6.4272,6.4654,5.5586,7
long291,1890.48625,5143500.3,21613750.3,127.1875,-13.7812,9.875,239.0536,34.31,2.3242,6.5492,6.5567,6.0898,7
long291,1890.5175,5143500.3,21613750.3,125.5625,-13.7812,9.5391,241.2204,32.07,2.3723,6.5686,6.5858,6.4141,7
long291,1890.54875,5143500.3,21613750.3,129.125,-13.7891,10.0859,243.3873,29.49,2.3746,6.2137,6.4481,6.6012,7
long291,1890.58,5143500.3,21613750.3,120.6875,-13.8203,10.3594,246.0644,30.15,2.4481,5.8142,6.1032,6.8125,7
long291,1890.61125,5143500.3,21613750.3,118.8125,-13.8906,10.2109,248.9951,29.39,2.4762,5.7716,6.0587,6.5703,7
long291,1890.6425,5143500.3,21613750.3,112.9981,-14.0549,9.9373,248.9951,28.45,2.4773,5.9724,6.2698,7.4453,7
long291,1890.67375,5143500.3,21613750.3,110.6875,-14.25,9.6406,250.5253,27.07,2.4654,6.1281,6.4778,7.2148,7
