"WELL","DEPTH_MD","X_LOC","Y_LOC","Z_LOC","GROUP","FORMATION","CALI","RSHA","RMED","RDEP","RHOB","GR","SGR","NPHI","PEF","DTC","SP","BS","ROP","DTS","DCAL","DRHO","MUDWEIGHT","RMIC","ROPA","RXO","FORCE_2020_LITHOFACIES_LITHOLOGY","FORCE_2020_LITHOFACIES_CONFIDENCE"
"25/6-2","1924.616","489824.125","6602677.5","-1897.092529","HORDALAND GP.","Grid Fm.","18.166385651",,"0.6282836199","0.9005130529","2.3415942192","70.584815979",,,,"124.58864594","1.3976334333","17.5","14328.124023",,,"0.0102107795","0.1617656499",,,,"65000","2.0"
"25/6-2","1924.768","489824.125","6602677.5","-1897.244507","HORDALAND GP.","Grid Fm.","18.357004166",,"0.6652796865","0.955863297","2.3395745754","72.493751526",,,,"125.7462616","1.4416285753","17.5","14328.745117",,,"0.0090264389","0.1617656499",,,,"65000","2.0"
"25/6-2","1924.92","489824.125","6602677.5","-1897.396362","HORDALAND GP.","Grid Fm.","18.076641083",,"0.7078190446","1.0238844156","2.3351929188","74.856613159",,,,"127.30722809","1.4825611115","17.5","14274.759766",,,"0.0094839064","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.072","489824.125","6602677.5","-1897.54834","HORDALAND GP.","Grid Fm.","17.915887833",,"0.7193286419","1.0709854364","2.3272123337","76.872253418",,,,"129.2147522","1.5569685698","17.5","14181.139648",,,"0.0097394474","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.224","489824.15625","6602677.5","-1897.700195","HORDALAND GP.","Grid Fm.","17.891752243",,"0.7015892863","1.0652505159","2.3160555363","79.108047485",,,,"131.16912842","1.6928054094","17.5","15029.841797",,,"0.0102126338","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.376","489824.15625","6602677.5","-1897.852051","HORDALAND GP.","Grid Fm.","17.929050446",,"0.664627254","1.0161215067","2.3041424751","82.494880676",,,,"133.22991943","1.8882448673","17.5","17691.708984",,,"0.0097021768","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.528","489824.15625","6602677.5","-1898.003906","HORDALAND GP.","Grid Fm.","17.955165863",,"0.6127963066","0.9470301867","2.2925555706","86.700737",,,,"135.2611084","2.1151359081","17.5","18873.958984",,,"0.0092446851","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.68","489824.15625","6602677.5","-1898.155884","HORDALAND GP.","Grid Fm.","17.977825165",,"0.5853745937","0.8768696785","2.2829544544","90.273017883",,,,"137.02961731","2.3239064217","17.5","19004.052734",,,"0.0088837752","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.832","489824.15625","6602677.5","-1898.307739","HORDALAND GP.","Grid Fm.","17.963270187",,"0.5804566145","0.8394408226","2.2769207954","92.332015991",,,,"137.88597107","2.4594292641","17.5","19011.431641",,,"0.0088198287","0.1617656499",,,,"65000","2.0"
"25/6-2","1925.984","489824.15625","6602677.5","-1898.459717","HORDALAND GP.","Grid Fm.","17.901836395",,"0.5793409348","0.8332176208","2.2748389244","93.288398743",,,,"137.79774475","2.4891986847","17.5","18960.621094",,,"0.0095868958","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.136","489824.15625","6602677.5","-1898.611572","HORDALAND GP.","Grid Fm.","17.918617249",,"0.5646511912","0.8306010365","2.2763724327","94.144638062",,,,"137.79957581","2.4096529484","17.5","17036.548828",,,"0.0116112959","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.288","489824.1875","6602677.5","-1898.763428","HORDALAND GP.","Grid Fm.","17.978359222",,"0.5496382713","0.8191209435","2.2804634571","95.127159119",,,,"138.16288757","2.2341248989","17.5","10744.526367",,,"0.0122252489","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.44","489824.1875","6602677.5","-1898.915283","HORDALAND GP.","Grid Fm.","17.99706459",,"0.5464010239","0.8064126372","2.2870116234","95.684738159",,,,"138.6007843","1.9824978113","17.5","7978.2734375",,,"0.0154872835","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.592","489824.1875","6602677.5","-1899.067261","HORDALAND GP.","Grid Fm.","18.023748398",,"0.5564932227","0.7980381846","2.2949314117","95.055725098",,,,"139.28297424","1.6819782257","17.5","7697.0888672",,,"0.0199574102","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.744","489824.1875","6602677.5","-1899.219238","HORDALAND GP.","Grid Fm.","17.971099854",,"0.556945622","0.7949133515","2.3042223454","92.878578186",,,,"139.63627625","1.3684049845","17.5","7704.5327148",,,"0.0204529092","0.1617656499",,,,"65000","2.0"
"25/6-2","1926.896","489824.1875","6602677.5","-1899.371094","HORDALAND GP.","Grid Fm.","17.851009369",,"0.5452262759","0.7974743843","2.3157613277","89.517326355",,,,"138.4733429","1.0904223919","17.5","7711.7680664",,,"0.0205933619","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.048","489824.1875","6602677.5","-1899.522949","ROGALAND GP.","Balder Fm.","17.748260498",,"0.5369101167","0.7934760451","2.3286571503","85.758270264",,,,"135.19329834","0.8951901793","17.5","7719.1098633",,,"0.0211227164","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.2","489824.1875","6602677.5","-1899.674805","ROGALAND GP.","Balder Fm.","17.732769012",,"0.5427088141","0.7955074906","2.3417315483","82.293403625",,,,"128.57223511","0.8052636385","17.5","8750.3554688",,,"0.0166988522","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.352","489824.1875","6602677.5","-1899.82666","ROGALAND GP.","Balder Fm.","17.73645401",,"0.557685256","0.8069124222","2.3513138294","78.91783905",,,,"120.81903076","0.8218301535","17.5","13442.023438",,,"0.0104384832","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.504","489824.21875","6602677.5","-1899.978638","ROGALAND GP.","Balder Fm.","17.741691589",,"0.5940595269","0.8472467661","2.3539366722","75.207359314",,,,"115.74276733","0.922175169","17.5","17676.470703",,,"0.0071869376","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.656","489824.21875","6602677.5","-1900.130615","ROGALAND GP.","Balder Fm.","17.702068329",,"0.6796193719","0.9654946923","2.3471126556","71.722587585",,,,"112.66840363","1.0701687336","17.5","18154.617188",,,"0.0075635551","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.808","489824.21875","6602677.5","-1900.282471","ROGALAND GP.","Balder Fm.","17.61935997",,"0.7660009265","1.1231319904","2.3332254887","70.159957886",,,,"113.58648682","1.2330306768","17.5","18049.726563",,,"0.0057940274","0.1617656499",,,,"65000","2.0"
"25/6-2","1927.96","489824.21875","6602677.5","-1900.434326","ROGALAND GP.","Balder Fm.","17.701780319",,"0.7635781169","1.178065896","2.3164544106","71.695381165",,,,"121.35568237","1.3890479803","17.5","17952.636719",,,"0.0030773995","0.1617656499",,,,"65000","2.0"
"25/6-2","1928.112","489824.21875","6602677.5","-1900.586182","ROGALAND GP.","Balder Fm.","17.910037994",,"0.7129892111","1.1031109095","2.3021833897","75.213790894",,,,"130.84204102","1.5390846729","17.5","17286.785156",,,"0.0038600825","0.1617656499",,,,"65000","2.0"
"25/6-2","1928.264","489824.21875","6602677.5","-1900.738037","ROGALAND GP.","Balder Fm.","17.796867371",,"0.6198944449","0.9593632221","2.2946333885","78.445571899",,,,"135.49687195","1.6943360567","17.5","14470.007813",,,"0.0057149557","0.1617656499",,,,"65000","2.0"
