Depth,CAL,CGR,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,POTA,RHOB,SFLU,SGR,SP,THOR,TT1,TT2,TT3,TT4,URAN,result
999.40625,8.3506,36.0739,-0.0077,96.8377,65.0255,9.6316,9.1522,10.8116,10.8316,1.2127,7.1,48.6161,0.3106,2.1457,0.0165,2.2072,11.6841,57.9792,-70.4161,2.7569,657.4574,451.2758,655.0121,450.8736,3.0124,水层
999.4375,8.3506,36.1359,-0.0068,97.5392,65.3749,9.5602,9.1175,10.6145,10.6337,1.2133,7.1907,48.6615,0.3113,2.1242,0.0174,2.2018,11.9627,59.0371,-70.5761,2.5034,657.4574,452.1229,656.2762,452.5294,3.1456,水层
999.46875,8.3505,38.3246,-0.006,98.4007,65.784,9.4719,9.0662,10.3262,10.4594,1.2133,7.256,48.6615,0.3121,2.1038,0.0194,2.1966,12.27,60.5272,-70.8163,2.3298,658.7133,452.5594,657.1135,453.7615,3.0927,水层
999.5,8.3465,40.5133,-0.0052,99.2625,66.1344,9.3845,8.9985,10.1756,10.2314,1.2139,7.2955,48.6615,0.313,2.0835,0.0214,2.1914,12.4478,60.6431,-70.8965,2.2095,660.3462,455.0365,658.3735,455.413,3.0398,水层
999.53125,8.3424,38.8361,-0.0054,99.7433,66.3673,9.2808,8.9485,9.9537,9.9538,1.2139,7.443,48.6656,0.3144,2.08,0.0201,2.189,11.9568,59.52,-71.0957,2.1342,661.1917,455.4601,659.6376,457.8558,3.0188,水层
999.5625,8.3384,37.159,-0.0051,100.525,66.6583,9.1616,8.8822,9.6837,9.6483,1.2139,7.677,48.6706,0.3159,2.0766,0.0189,2.1866,11.5482,58.7541,-71.4541,2.0455,662.4599,458.7243,660.454,459.0965,2.9977,水层
999.59375,8.3383,36.7014,-0.0042,101.2664,67.0678,8.9773,8.8163,9.4207,9.3524,1.2145,8.1678,48.6706,0.3171,2.0843,0.0191,2.1846,11.1534,57.6124,-71.6535,1.9366,663.2805,459.1478,661.6891,460.3457,2.9048,水层
999.625,8.3383,37.057,-0.0029,101.8877,67.3,8.9277,8.7186,9.1651,8.983,1.2145,8.69,48.6706,0.3183,2.0995,0.0202,2.1826,10.7718,56.859,-71.8933,1.8291,664.5487,460.3884,663.7447,462.4162,2.7638,水层
999.65625,8.3461,37.5374,-0.0016,102.6492,67.4727,8.8619,8.6702,8.9162,8.7074,1.2152,9.2121,48.6747,0.3191,2.1196,0.0211,2.1814,10.4416,56.3211,-72.0531,1.7785,665.7754,462.4461,665.3817,463.2376,2.6326,水层
999.6875,8.35,38.5177,-5.0E-4,103.4707,66.8188,8.764,8.59,8.8022,8.5958,1.2152,9.5713,48.6783,0.32,2.1594,0.0211,2.1801,10.1399,56.6445,-72.1749,1.9544,667.8185,464.0846,667.0228,464.8846,2.5405,水层
