Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
804.0,314.7958,8.804,8.804,92.4642,329.9192,5.183,4.9686,2.2396,2.2795,4.2659,0.3009,249.7863,2.3535,4.6795,4.7664,4.9083,62.0087,水层
804.03125,310.2542,8.875,8.875,91.6391,325.2506,5.4461,5.2496,2.2993,2.2795,4.6331,0.2955,247.9514,2.3579,4.5189,4.5355,5.3818,62.5908,水层
804.0625,308.6143,8.9376,8.9376,91.2578,321.3395,5.818,5.516,2.2993,2.3193,4.8863,0.2883,245.8617,2.3615,4.3638,4.3079,5.9555,62.9233,水层
804.09375,305.9655,8.9794,8.9794,90.8128,318.1859,6.2839,5.6802,2.3391,2.359,5.2103,0.2841,244.0267,2.3635,4.1448,4.1144,6.3288,63.2965,水层
804.125,303.9476,9.0212,9.0212,90.2428,319.8295,6.676,5.9684,2.3789,2.3989,6.2146,0.2792,242.2936,2.3589,4.0322,3.9732,6.9521,63.4213,水层
804.15625,302.3096,9.0505,9.0505,88.8487,323.6206,7.0537,6.2485,2.4587,2.5384,8.0366,0.2751,240.2038,2.3527,3.9153,3.8581,7.4561,63.8772,水层
804.1875,301.3016,9.0672,9.0672,88.0246,325.5167,7.3441,6.5898,2.5384,2.5384,9.6564,0.2736,237.2473,2.3493,3.7464,3.7395,8.0115,64.1259,水层
804.21875,300.9249,9.0715,9.0715,87.3273,325.1396,7.9034,6.9882,2.6581,2.5983,11.4755,0.2707,235.0554,2.3399,3.6918,3.685,8.5451,64.3334,水层
804.25,301.306,9.0549,9.0549,86.5668,316.4316,8.3812,7.3025,2.698,2.698,13.1213,0.2701,231.6403,2.3318,3.5981,3.5915,8.7846,64.5811,水层
804.28125,302.9516,9.0175,9.0175,85.1727,310.2477,9.0693,7.7438,2.8776,2.8177,14.5679,0.2685,228.4289,2.3196,3.4875,3.5587,8.9976,64.8274,水层
804.3125,303.2048,8.9759,8.9759,85.1727,302.2976,9.7956,8.1668,3.197,3.0572,14.8092,0.2683,223.6374,2.3076,3.4557,3.4875,9.2669,64.9496,水层
804.34375,303.586,8.9426,8.9426,84.4123,296.8707,10.1242,8.4563,3.5365,3.2369,14.918,0.2673,219.3045,2.2974,3.3928,3.3929,9.4395,65.1121,水层
804.375,300.6859,8.9135,8.9135,83.7155,291.4446,10.3301,8.7721,3.816,3.5763,14.2993,0.2672,215.736,2.286,3.3557,3.3619,9.4745,65.152,水层
804.40625,299.2988,8.8552,8.8552,83.0813,286.1448,10.5401,9.1496,4.2553,4.0756,13.3097,0.2672,212.8808,2.2736,3.2947,3.3008,9.4053,65.2732,水层
804.4375,297.9121,8.8177,8.8177,81.9406,278.573,10.7341,9.2845,4.6148,4.455,12.3204,0.2674,210.1275,2.259,3.2348,3.2527,9.0488,65.3526,水层
804.46875,293.7516,8.7678,8.7678,81.4326,274.7872,10.8319,9.5081,5.2139,4.9941,11.3,0.2683,206.864,2.249,3.1701,3.2112,8.6898,65.431,水层
804.5,293.7516,8.7303,8.7303,80.9887,276.6842,10.8517,9.6302,5.5932,5.3535,10.6738,0.2702,204.6713,2.2334,3.1182,3.1587,8.1778,65.4702,水层
