Depth,AC,CAL,CNL,DEN,GR,HAC,ILD,ILM,LLD,LLS,MINV,MNOR,MSFL,SFLU,SP,result
1035.8491,95.8224,8.537,27.2261,2.3169,87.4794,96.4373,5.2183,5.5249,8.7832,7.7621,7.5931,6.3134,10.5351,6.4475,65.3746,非油层
1035.8991,93.7906,8.4368,27.0927,2.3179,86.3362,96.3729,5.2681,5.6246,9.2868,8.2463,7.344,5.9724,10.7827,7.0675,64.6246,非油层
1035.9491,92.2616,8.3615,27.0395,2.3157,85.5741,96.409,5.3976,5.7612,9.6287,8.6288,7.5243,5.6717,10.7417,7.5983,63.9145,非油层
1035.9991,90.5947,8.3164,27.005,2.3102,85.6285,96.4399,5.5206,5.8819,9.786,8.8845,7.653,5.7467,10.318,8.1291,63.2536,非油层
1036.0491,90.2505,8.3024,26.9841,2.3048,85.6285,96.3625,5.6383,6.0509,9.8794,9.0674,7.8214,5.936,10.0954,8.4607,62.6478,非油层
1036.0991,90.8963,8.299,27.011,2.2963,86.1729,95.6664,5.7916,6.1968,10.0154,9.2387,7.7814,5.9209,10.5346,8.7652,62.0998,非油层
1036.1491,91.8491,8.307,27.052,2.2889,86.6628,94.9289,5.9615,6.359,10.1389,9.4071,7.7255,5.9532,10.7945,8.9863,61.6104,非油层
1036.1991,93.3432,8.3172,27.1589,2.2853,86.935,93.7352,6.1176,6.5742,10.359,9.5829,7.5099,5.9283,10.3425,9.1429,61.179,非油层
1036.2491,94.2844,8.3227,27.3103,2.2847,86.8806,93.3484,6.2734,6.7512,10.6921,9.8436,7.6012,5.7669,11.7568,9.406,60.8042,非油层
1036.2991,95.3827,8.3247,27.5057,2.2861,87.2616,93.4876,6.4314,6.9206,11.0227,10.0998,8.1254,5.7852,13.3186,9.6407,60.4844,非油层
1036.3491,95.8881,8.3237,27.7334,2.2872,87.9693,93.9285,6.6238,7.137,11.2893,10.2952,9.0741,5.9988,13.5074,9.8874,60.2178,非油层
1036.3991,95.8597,8.3208,28.009,2.2902,89.1125,94.4597,6.7414,7.3165,11.4067,10.3058,9.4388,6.896,13.7386,10.2168,60.0025,非油层
1036.4491,95.3518,8.3145,28.323,2.2928,90.5823,94.6763,6.8298,7.4398,11.292,10.1635,9.2923,7.06,13.8834,10.5532,59.8362,非油层
1036.4991,93.886,8.3135,28.6081,2.2943,92.1609,95.1043,6.9412,7.5414,10.9345,9.8507,8.5965,7.2681,12.6091,10.8896,59.7158,非油层
1036.5491,92.7747,8.314,28.889,2.2975,93.9029,95.6896,6.987,7.6202,10.3971,9.374,8.3015,6.6034,13.1876,11.246,59.6374,非油层
1036.5991,91.5087,8.3174,29.1612,2.3027,95.4271,96.8112,7.0341,7.6278,9.7487,8.8249,8.6916,6.3865,13.4616,11.2637,59.5962,非油层
1036.6491,91.3862,8.3169,29.4257,2.3082,97.2779,97.0639,7.0977,7.5807,9.215,8.384,9.0926,6.5566,14.0931,11.2813,59.586,非油层
1036.6991,92.611,8.3193,29.652,2.3139,98.6388,96.213,7.1165,7.5336,8.7979,8.0409,9.1988,6.959,14.6199,11.0704,59.6003,非油层
1036.7491,94.2225,8.3167,29.8603,2.3206,99.5643,95.2719,7.0749,7.4407,8.4953,7.7312,8.8451,6.9473,15.4373,10.7651,59.6322,非油层
1036.7991,96.8331,8.314,29.9885,2.3253,99.8909,95.2074,7.0125,7.294,8.1971,7.4618,8.4496,6.6919,13.2533,10.3115,59.6753,非油层
1036.8491,98.219,8.3133,30.0467,2.3302,99.6187,96.4915,6.9802,7.1473,7.9231,7.2131,7.7271,6.673,11.9572,9.659,59.7245,非油层
1036.8991,99.2645,8.3203,30.0627,2.3291,98.7477,99.3019,6.925,7.0515,7.6557,6.9784,6.5702,6.4618,10.3166,8.9996,59.7765,非油层
1036.9491,99.476,8.3295,30.0225,2.3246,98.2578,100.7252,6.8526,6.929,7.3888,6.7522,5.6553,5.4775,9.1248,8.3192,59.8301,非油层
1036.9991,99.512,8.345,29.9832,2.3222,97.9312,101.54,6.8157,6.7897,7.1867,6.5446,5.4578,4.524,7.8172,7.6931,59.8865,非油层
1037.0491,99.5159,8.3615,29.8711,2.3218,97.2235,101.5632,6.727,6.7368,7.0814,6.4106,5.9509,4.1799,7.7864,7.3331,59.9492,非油层
1037.0991,99.3573,8.3731,29.7363,2.3202,96.4069,101.4446,6.634,6.6857,7.0868,6.3549,6.5289,4.5598,8.2554,6.986,60.0233,非油层
1037.1491,99.1459,8.376,29.566,2.3242,95.2638,101.344,6.5372,6.603,7.1496,6.3626,6.8061,5.0042,8.6518,6.7843,60.1146,非油层
1037.1991,98.8185,8.3745,29.3266,2.3315,94.0117,100.6917,6.501,6.5751,7.2931,6.4225,6.7851,5.3543,8.999,6.5826,60.2294,非油层
1037.2491,98.7875,8.3653,29.0528,2.3416,92.7053,99.9207,6.4525,6.5383,7.4649,6.5491,6.5448,5.4578,8.9942,6.571,60.3731,非油层
1037.2991,98.9023,8.3566,28.8514,2.3513,91.6165,98.5464,6.3607,6.4846,7.6924,6.7219,6.511,5.2626,9.1957,6.6755,60.5499,非油层
1037.3491,98.9332,8.3508,28.6767,2.3593,90.7456,97.9147,6.3248,6.4641,7.9016,6.9085,6.7068,5.126,9.7533,6.7727,60.7624,非油层
