Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
888.8036,9.8672,0.0289,97.4206,82.5625,3.6635,3.7954,4.6788,4.4916,0.8965,3.6113,40.75,0.2886,4.6512,2.3125,4.5889,-32.75,712.5996,500.8884,711.7711,498.0227,水层
888.8544,9.7812,0.0312,97.5362,84.8125,3.9391,4.009,4.507,4.3778,0.8965,3.959,40.75,0.2837,4.6212,2.3229,4.2859,-33.3438,706.8423,502.5349,707.6738,498.4378,水层
888.9052,9.7734,0.0287,97.0608,84.9375,4.1313,4.1709,4.4163,4.3064,0.897,4.5391,40.7812,0.2805,4.6545,2.3183,4.2951,-34.8438,702.3217,503.7675,704.39,499.6721,水层
888.956,9.75,0.0161,96.8731,79.625,4.2056,4.2558,4.6755,4.5439,0.8975,5.1595,40.7812,0.2736,4.7087,2.301,4.5359,-34.9688,699.0408,504.1848,700.6979,500.908,水层
889.0068,9.7266,0.0141,96.707,77.0625,4.2085,4.2816,4.5178,4.4427,0.896,5.3516,40.8125,0.2721,4.6636,2.2954,4.6451,-35.3125,697.0058,503.7814,698.6658,500.9146,水层
889.0576,9.7344,0.0181,97.1416,78.125,4.1738,4.2189,4.2366,4.2026,0.895,5.4336,40.8125,0.268,4.8333,2.3019,4.411,-34.9062,696.2166,500.9236,697.8736,500.5146,水层
889.1084,9.75,0.023,98.6644,85.0,4.1904,4.1614,4.2549,4.1956,0.8975,5.5116,40.8125,0.2718,4.7553,2.3104,4.103,-34.9688,696.2528,499.291,697.0814,499.2921,水层
889.1592,9.5859,0.0187,98.8883,83.75,4.1593,4.2135,4.6392,4.4145,0.8979,5.6758,40.875,0.2797,4.3462,2.3049,4.0305,-35.5312,697.9551,496.4315,697.1237,498.4792,水层
889.21,9.5234,0.0138,97.245,82.75,4.0884,4.2666,4.6982,4.4569,0.8975,6.8633,40.875,0.2774,3.8702,2.2975,4.4209,-35.8125,698.8109,494.7995,697.1539,496.4404,水层
889.2608,9.5078,0.0142,96.9783,78.4375,4.0545,4.1992,4.6773,4.4288,0.8965,8.6385,40.875,0.2727,3.6853,2.3082,4.8204,-35.5312,700.0929,492.759,698.0216,495.2157,水层
889.3116,9.5078,0.0136,96.6547,81.375,4.0075,4.0834,4.5837,4.3858,0.896,10.3203,40.875,0.276,3.5909,2.3233,4.5858,-35.0312,700.9606,491.9467,701.6326,493.5843,水层
889.3624,9.4609,0.0145,96.8436,82.75,3.9857,4.0232,4.1784,4.1003,0.896,8.5,40.875,0.2906,3.4615,2.3309,3.9542,-34.375,696.7219,490.7264,701.2274,491.9528,水层
889.4132,9.3828,0.016,98.3621,86.375,3.9367,3.965,3.8851,3.8041,0.8965,7.3242,40.875,0.3021,3.2955,2.3263,3.8232,-34.5625,696.7289,490.3214,700.0046,489.5034,水层
889.464,9.4297,0.0153,98.7313,89.625,3.8913,3.8842,4.0125,3.8626,0.8989,6.2852,40.875,0.3044,3.2878,2.3276,3.8491,-33.9062,696.3252,489.9208,697.9634,487.0557,水层
889.5148,9.4141,0.0089,98.9439,91.1875,3.8549,3.7841,3.8672,3.7892,0.8979,6.0703,40.875,0.3087,3.3432,2.3288,3.768,-33.3438,693.8755,489.5174,693.8771,485.8316,水层
889.5656,9.3359,0.0071,99.1436,93.4375,3.8323,3.7528,3.7647,3.699,0.8975,5.9805,40.875,0.3135,3.4765,2.3245,3.5861,-33.3438,690.6051,488.7045,692.2432,484.1996,水层
889.6164,9.2969,0.0073,99.1284,92.5625,3.8399,3.8345,3.9477,3.8594,0.895,6.4136,40.875,0.3114,3.594,2.305,3.509,-33.9375,686.9263,488.3039,689.3829,483.3873,水层
889.6672,9.2656,0.0075,99.3822,88.25,3.859,3.9261,4.1499,4.0556,0.895,6.4844,40.875,0.3095,3.7639,2.2759,3.7324,-34.5,682.0193,488.3084,686.1147,482.5766,水层
889.718,9.375,0.0099,99.4265,81.25,3.9084,4.0157,4.4845,4.3179,0.895,6.0469,40.875,0.3055,4.038,2.2547,4.1068,-34.7188,678.7501,487.4961,683.665,481.7654,水层
889.7688,9.4062,0.0225,98.9962,80.875,3.9524,4.0634,4.8097,4.5821,0.8955,5.6762,40.875,0.3116,4.4386,2.2542,4.4527,-34.7812,676.7072,487.5039,682.0312,481.3604,水层
889.8196,9.625,0.0472,98.6758,81.625,3.9905,4.1293,4.857,4.6576,0.896,5.6211,40.875,0.3077,4.768,2.2719,4.6372,-34.875,674.2576,486.6921,679.582,481.3676,水层
889.8704,9.7266,0.0607,97.7797,86.2502,4.0258,4.2024,5.0,4.7725,0.8975,5.9648,40.875,0.3017,4.7739,2.2893,4.7246,-34.3749,673.0349,485.8803,676.7223,481.3749,水层
889.9212,9.75,0.0631,96.7457,86.8125,4.0697,4.2053,4.8658,4.6876,0.8965,6.078,40.875,0.2912,4.5469,2.3118,4.7622,-34.0,671.8143,484.6596,675.4985,480.5626,水层
889.972,9.7734,0.0655,97.0037,86.5625,4.0678,4.1136,4.4515,4.3269,0.895,5.9609,40.9062,0.2918,4.4851,2.3465,4.6686,-34.4375,671.8198,484.2556,673.8679,479.7531,水层
890.0228,9.8203,0.0597,98.0001,83.8125,4.0517,4.0197,4.1597,4.0709,0.894,5.6328,40.9062,0.3061,4.6905,2.3672,4.263,-35.0,671.8273,483.0332,672.6474,479.3486,水层
890.0736,9.7188,0.0318,98.9201,84.6875,4.0337,3.9978,3.9153,3.8517,0.8936,5.2891,40.9062,0.3195,4.6718,2.3405,3.7778,-34.8125,672.2427,482.6304,672.2422,478.1295,水层
890.1244,9.6797,0.0085,99.7641,86.3125,4.0337,3.9871,3.744,3.7152,0.895,5.4727,40.9062,0.3291,4.5422,2.3029,3.5835,-35.0,672.6608,481.0013,672.2508,478.1323,水层
890.1752,9.7266,0.0026,99.6765,85.625,4.0496,4.0113,4.0981,3.9508,0.895,5.4023,40.9062,0.3333,4.4266,2.2834,3.6847,-35.2812,673.4858,479.7794,672.6689,476.5049,水层
890.226,9.7656,0.003,98.7177,79.9375,4.0113,4.0831,4.5415,4.3403,0.895,5.6055,40.9062,0.3239,4.3451,2.2799,3.9843,-35.375,673.9013,478.1503,673.9013,475.6909,水层
890.2768,9.7656,0.0062,98.2575,78.875,3.9992,4.161,4.703,4.4872,0.896,5.5001,40.9062,0.3092,4.1319,2.2883,4.3497,-35.3125,675.1363,478.1537,675.1379,474.4696,水层
890.3276,9.7656,0.0099,97.8698,79.25,4.0481,4.1425,4.6527,4.4777,0.8965,5.7422,40.9062,0.2842,3.9323,2.3036,4.6447,-34.9375,676.3713,476.5257,675.9613,474.0646,水层
890.3784,9.8047,0.0131,97.7726,82.75,4.0954,4.1081,4.4256,4.3076,0.8945,5.8789,40.9375,0.2821,3.9938,2.3233,4.5042,-34.4375,678.4281,475.7116,677.6058,472.8444,水层
890.4292,9.7969,0.0176,97.8351,84.875,4.137,4.1296,4.2018,4.1329,0.8945,5.7346,41.0,0.293,4.0816,2.338,4.1198,-34.1875,678.8414,475.3089,678.4313,472.0315,水层
