Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1137.0,91.4908,9.6329,25.7821,2.3626,65.3024,4.5227,4.4973,4.9834,2.9711,3.7669,4.0187,5.0712,4.4541,4.1617,9.6507,68.0354,水层
1137.03125,91.3709,9.4471,25.6488,2.3572,64.5031,4.5343,4.5726,5.0862,2.9559,3.7946,4.0555,5.1375,4.5117,4.2233,9.8304,67.4844,水层
1137.0625,91.311,9.2212,25.5639,2.352,63.6238,4.5328,4.5964,5.1888,2.9411,3.8151,4.0776,5.2143,4.5366,4.2857,9.9398,67.0227,水层
1137.09375,91.2513,9.0454,25.4789,2.344,62.8248,4.532,4.6337,5.3043,2.9259,3.8287,4.1073,5.3119,4.5617,4.3332,10.0504,66.7016,水层
1137.125,91.2514,8.8697,25.4061,2.3376,62.1059,4.5052,4.6585,5.3942,2.8854,3.8425,4.1297,5.3913,4.5785,4.3492,10.1622,66.4059,水层
1137.15625,91.2517,8.7493,25.3211,2.3302,61.4671,4.5043,4.6573,5.5097,2.8704,3.8705,4.1597,5.4618,4.5954,4.3652,10.3324,66.1099,水层
1137.1875,91.2919,8.664,25.2121,2.3258,60.8284,4.4519,4.6562,5.6379,2.8554,3.8987,4.1823,5.5435,4.5954,4.3652,10.4088,65.8904,水层
1137.21875,91.3123,8.614,25.1028,2.319,60.35,4.4253,4.6551,5.7406,2.84,3.92,4.1894,5.616,4.5954,4.3493,10.5635,65.8121,水层
1137.25,91.3325,8.6091,25.0296,2.3144,60.2717,4.3986,4.6536,5.8561,2.8252,3.9412,4.2122,5.6684,4.5955,4.3017,10.602,65.7204,水层
1137.28125,91.3729,8.6194,25.0051,2.3084,60.1935,4.3592,4.6526,5.9587,2.8229,3.9699,4.2274,5.6895,4.5955,4.2624,10.6013,65.8075,水层
1137.3125,91.4132,8.6247,25.0043,2.3032,60.356,4.3453,4.6513,6.0996,2.795,4.0062,4.2347,5.7108,4.5619,4.2235,10.5811,65.9961,水层
1137.34375,91.4535,8.655,25.0035,2.2984,60.7583,4.2928,4.625,6.2407,2.7927,4.0354,4.242,5.7109,4.5369,4.1696,10.5411,66.1475,水层
1137.375,91.4938,8.7056,25.0027,2.2942,61.9386,4.2536,4.5853,6.369,2.7907,4.0649,4.2414,5.7005,4.512,4.1543,10.5209,66.3617,水层
1137.40625,91.5541,8.7309,25.0498,2.2888,62.0986,4.2399,4.5843,6.4205,2.7882,4.0796,4.2488,5.669,4.4708,4.1164,10.5397,66.5,水层
1137.4375,91.5944,8.7663,25.0731,2.2862,63.6185,4.175,4.5704,6.421,2.786,4.1093,4.2482,5.6273,4.4382,4.0863,10.6176,66.6,水层
1137.46875,91.7349,8.7916,25.0841,2.2834,64.8185,4.1228,4.5566,6.4345,2.8089,4.1239,4.232,5.5653,4.3896,4.0713,10.7956,66.6488,水层
1137.5,91.9355,8.7096,25.0955,2.2806,65.5385,4.0962,4.5299,6.3415,2.9413,4.1491,4.1646,5.5551,4.3495,4.049,11.0375,66.5552,水层
1137.53125,92.2964,8.76,25.0947,2.2776,66.4985,4.018,4.5029,6.3418,3.0641,4.1789,4.1635,5.5041,4.3257,4.049,11.2436,66.7548,水层
