Depth,AC,CAL,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MSFL,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1294.0,404.117,9.538,0.111,100.031,88.175,310.141,3.179,2.917,4.861,4.175,2.858,0.394,187.566,5.989,2.213,3.182,-1.539,616.497,441.248,617.456,457.637,干层
1294.0625,503.09,9.396,0.107,94.55,83.723,599.885,3.209,3.119,5.408,4.891,2.804,0.391,169.045,5.917,2.239,3.785,-1.589,608.35,430.682,608.35,445.418,干层
1294.125,494.756,9.237,0.104,88.449,81.904,530.774,3.24,3.303,5.982,5.669,2.725,0.359,153.043,5.851,2.266,4.388,-1.637,602.24,420.978,604.277,439.308,干层
1294.1875,453.617,9.077,0.1,84.623,77.492,412.084,3.271,3.531,6.614,6.075,2.777,0.329,156.094,5.806,2.319,5.077,-1.692,596.13,413.92,600.204,427.088,干层
1294.25,427.449,8.99,0.095,77.177,75.708,311.423,3.271,3.74,7.33,6.519,4.085,0.298,174.969,5.723,2.4,6.361,-1.732,590.02,407.395,598.167,420.978,干层
1294.3125,423.603,9.108,0.092,74.074,74.524,312.064,3.334,3.922,7.909,6.963,11.453,0.267,192.318,5.659,2.454,7.859,-1.792,583.91,400.869,592.057,408.758,干层
1294.375,431.936,9.261,0.091,66.422,73.427,554.372,3.365,3.998,8.616,7.26,24.994,0.238,203.651,5.603,2.508,9.357,-1.86,581.874,394.344,587.984,402.648,干层
1294.4375,428.731,9.44,0.091,63.423,73.189,602.449,3.403,4.075,8.699,7.4,46.423,0.215,222.852,5.544,2.559,9.815,-2.047,581.874,387.819,585.947,396.538,干层
1294.5,423.522,9.609,0.092,56.701,74.347,540.082,3.441,4.093,8.616,7.47,56.154,0.2,230.863,5.575,2.599,10.494,-2.06,579.837,382.281,583.91,388.391,干层
1294.5625,414.04,9.785,0.092,57.735,75.265,416.909,3.478,4.114,7.986,7.081,48.224,0.201,234.169,5.613,2.588,9.722,-2.256,579.837,380.244,583.91,384.318,干层
1294.625,408.691,9.956,0.092,58.666,76.727,303.09,3.516,4.099,7.382,6.592,45.983,0.216,238.238,5.649,2.569,9.322,-2.224,581.874,378.208,581.874,384.318,干层
1294.6875,402.054,10.054,0.091,60.01,79.342,308.859,3.554,4.075,6.778,6.059,41.022,0.228,241.035,5.697,2.513,8.505,-2.238,583.91,378.208,581.874,384.318,干层
1294.75,401.239,10.095,0.09,65.078,82.897,347.841,3.565,3.998,6.203,5.592,34.895,0.249,243.324,5.755,2.462,7.115,-2.225,585.947,382.281,583.91,388.391,干层
1294.8125,418.534,10.194,0.088,72.103,86.694,426.167,3.634,3.922,5.658,5.009,38.378,0.272,248.411,5.809,2.403,6.447,-2.253,587.984,386.354,585.947,392.464,干层
1294.875,446.832,10.246,0.088,76.837,89.286,433.218,3.704,3.885,5.113,4.687,40.633,0.296,250.954,5.862,2.364,5.75,-2.07,592.057,394.501,590.02,400.611,干层
1294.9375,511.276,10.299,0.088,83.692,92.105,428.09,3.74,3.775,4.687,4.343,36.249,0.315,253.497,5.917,2.317,5.093,-2.028,596.13,402.648,594.094,408.758,干层
1295.0,576.636,10.349,0.089,85.098,94.498,416.551,3.686,3.686,4.555,4.102,22.232,0.331,254.514,5.971,2.273,4.441,-2.04,602.24,418.488,599.185,421.614,干层
1348.0,347.23,8.973,0.08,112.647,99.464,391.65,5.369,4.754,5.562,5.864,4.141,0.377,211.488,4.049,2.246,5.126,-2.174,715.835,492.261,715.835,492.261,干层
1348.0625,346.074,8.82,0.069,113.681,99.611,390.389,5.518,4.886,5.833,6.125,5.457,0.386,209.438,3.634,2.254,5.381,-2.113,718.158,494.297,718.158,494.297,干层
1348.125,345.274,8.667,0.058,114.302,99.51,391.951,5.667,5.167,6.059,6.386,6.477,0.394,207.247,3.479,2.263,5.627,-2.049,720.48,496.334,720.48,498.371,干层
1348.1875,347.611,8.591,0.047,115.233,98.822,393.894,5.817,5.51,6.415,6.646,7.542,0.402,202.313,3.372,2.272,5.874,-2.027,722.803,498.371,722.803,500.407,干层
1348.25,348.458,8.593,0.036,115.957,97.856,389.757,5.972,5.853,6.664,6.792,7.687,0.409,199.282,3.254,2.283,6.121,-2.029,724.768,500.407,724.768,502.444,干层
1348.3125,348.549,8.587,0.028,116.267,96.233,382.123,6.285,6.196,7.47,7.26,7.933,0.412,192.42,3.268,2.29,6.367,-2.029,725.88,502.444,725.88,504.481,干层
1348.375,347.723,8.582,0.023,116.68,94.566,386.083,6.612,6.539,7.687,7.687,8.216,0.413,183.401,3.27,2.293,6.634,-2.029,726.991,504.481,726.991,506.517,干层
1348.4375,347.298,8.578,0.018,116.784,93.164,402.455,6.939,6.882,8.302,8.138,8.454,0.412,173.931,3.274,2.293,7.572,-2.029,728.103,504.481,728.103,506.517,干层
1348.5,347.555,8.573,0.013,116.991,91.443,393.319,7.265,7.226,8.927,8.866,8.866,0.41,167.046,3.28,2.289,8.593,-2.029,729.215,504.481,729.215,506.517,干层
1348.5625,349.26,8.575,0.011,117.094,90.665,388.216,7.592,7.569,9.477,10.079,9.036,0.409,160.112,3.279,2.285,9.615,-2.029,730.326,504.481,730.326,506.517,干层
1348.625,350.538,8.578,0.011,117.198,89.394,382.957,7.918,7.912,11.247,11.371,10.642,0.408,155.091,3.3,2.282,10.636,-2.029,731.438,502.444,731.438,506.517,干层
1348.6875,349.761,8.582,0.01,117.094,89.3,375.614,8.245,8.372,11.795,12.663,14.347,0.407,152.399,3.307,2.275,11.947,-2.029,732.587,502.444,732.587,506.517,干层
1348.75,348.092,8.585,0.009,116.732,88.643,370.072,8.505,8.989,14.267,13.772,19.858,0.407,151.753,3.324,2.27,13.644,-2.029,730.55,502.444,730.55,506.517,干层
1348.8125,346.657,8.588,0.009,116.37,88.068,365.778,9.154,9.605,15.25,14.789,22.959,0.409,150.756,3.337,2.262,15.34,-2.028,728.513,500.407,728.513,504.481,干层
1348.875,347.556,8.592,0.008,116.163,86.629,363.526,9.692,10.221,16.772,15.806,18.129,0.41,150.016,3.345,2.258,16.76,-2.03,726.477,498.371,726.477,504.481,干层
1348.9375,347.928,8.595,0.007,115.336,85.848,367.2,10.231,10.838,17.423,16.823,13.348,0.412,148.979,3.347,2.256,18.44,-2.034,724.44,498.371,724.44,504.481,干层
1349.0,346.197,8.598,0.006,114.922,84.936,371.137,10.77,11.454,17.589,17.258,13.475,0.411,148.166,3.364,2.256,19.715,-2.122,722.403,498.371,722.403,502.444,干层
1349.0625,344.741,8.601,0.006,114.302,83.902,373.843,11.309,12.111,17.757,17.757,17.564,0.409,146.614,3.324,2.257,20.483,-2.214,718.33,496.334,718.33,500.407,干层
1349.125,344.896,8.605,0.006,114.095,83.347,375.657,11.848,12.583,18.098,18.098,21.887,0.407,145.862,3.322,2.263,20.981,-2.309,718.33,494.297,718.33,498.371,干层
1349.1875,346.204,8.608,0.006,113.578,83.204,374.853,12.463,13.199,18.446,18.623,21.374,0.405,145.893,3.28,2.268,21.535,-2.403,712.22,490.224,712.22,492.261,干层
1349.25,351.054,8.611,0.006,113.061,83.452,371.865,12.826,13.713,18.623,18.801,20.348,0.404,146.186,3.242,2.27,22.09,-2.496,712.22,488.187,712.22,490.224,干层
1349.3125,353.178,8.614,0.006,112.337,83.943,361.868,13.073,14.522,18.98,19.162,19.162,0.403,147.029,3.197,2.272,22.644,-2.591,712.22,488.187,712.22,488.187,干层
1349.375,358.328,8.612,0.005,111.923,84.729,342.236,13.199,14.802,19.345,19.53,23.198,0.4,152.284,3.172,2.272,23.082,-2.661,710.183,484.114,710.183,486.151,干层
1349.4375,362.975,8.607,0.005,110.993,85.072,336.861,13.073,15.088,19.53,19.717,26.734,0.398,160.799,3.157,2.272,23.301,-2.616,710.183,484.114,710.183,486.151,干层
1349.5,365.92,8.602,0.005,110.165,85.285,333.659,12.324,14.944,19.53,19.717,24.859,0.392,170.209,3.157,2.273,23.483,-2.81,710.183,482.077,710.183,484.114,干层
1349.5625,373.161,8.598,0.005,109.442,84.662,344.631,11.692,14.661,19.345,19.53,23.623,0.383,182.542,3.171,2.274,23.64,-2.887,712.22,482.077,712.22,482.077,干层
1349.625,358.383,8.593,0.005,108.304,84.077,357.62,11.008,13.845,18.801,18.747,24.077,0.375,199.791,3.197,2.282,23.867,-3.076,716.293,482.077,716.293,480.041,干层
1349.6875,361.381,8.593,0.006,107.684,83.55,362.163,10.403,13.27,18.446,18.073,23.849,0.366,219.768,3.197,2.287,23.867,-3.077,716.293,482.077,716.293,478.004,干层
1349.75,369.794,8.593,0.006,107.166,83.809,366.986,9.744,12.402,17.73,17.399,22.741,0.357,231.045,3.311,2.3,22.435,-3.293,722.403,482.077,722.403,478.004,干层
1349.8125,366.929,8.594,0.006,106.856,83.953,361.593,9.085,11.534,16.488,16.772,23.849,0.35,237.502,3.516,2.307,20.556,-3.227,726.477,484.114,726.477,478.004,干层
1349.875,361.875,8.592,0.004,106.649,85.503,357.938,8.426,10.666,15.246,15.231,22.959,0.34,245.104,3.717,2.315,18.729,-3.426,730.55,488.187,730.55,484.114,干层
1349.9375,366.128,8.596,0.004,107.58,87.329,360.06,7.767,9.815,13.981,13.79,22.313,0.338,246.771,3.891,2.313,16.928,-3.464,732.587,492.261,732.587,492.261,干层
1350.0,373.295,8.595,0.002,109.099,90.429,365.09,7.172,8.588,12.685,12.349,20.581,0.339,248.797,4.226,2.306,15.128,-3.46,735.642,495.316,735.642,495.316,干层
1357.0,408.582,9.138,0.057,118.542,106.196,396.068,4.484,4.405,6.034,5.889,3.403,0.368,216.028,4.874,2.112,5.03,-2.008,748.88,510.591,748.88,515.664,干层
1357.0625,407.815,8.954,0.049,119.162,106.169,403.784,4.661,4.645,6.819,6.735,3.757,0.379,210.638,4.455,2.128,5.393,-2.192,748.88,510.591,748.88,515.664,干层
1357.125,401.541,8.838,0.042,119.886,106.085,414.737,4.84,4.933,7.603,7.542,4.181,0.403,206.119,4.115,2.142,6.124,-2.238,744.807,510.591,744.807,515.664,干层
