Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1443.0,85.133,8.723,23.142,0.031,2.348,97.832,300.739,7.544,6.581,6.277,6.576,7.183,6.078,-51.106,水层
1443.05,85.221,8.714,23.039,0.029,2.34,98.118,297.377,7.911,6.864,6.483,6.749,7.19,6.345,-51.958,水层
1443.1,85.31,8.705,22.935,0.028,2.332,98.403,294.37,8.276,7.146,6.689,6.922,7.196,6.61,-52.808,水层
1443.15,85.549,8.694,22.769,0.027,2.327,97.111,292.093,8.621,7.351,6.886,7.084,7.103,6.867,-53.692,水层
1443.2,85.788,8.682,22.603,0.027,2.323,95.822,294.075,8.965,7.555,7.082,7.245,7.01,7.124,-54.574,水层
1443.25,86.032,8.669,22.502,0.027,2.321,93.393,300.74,9.277,7.678,7.256,7.39,6.911,7.332,-55.429,水层
1443.3,86.276,8.657,22.4,0.026,2.318,90.963,309.948,9.59,7.801,7.43,7.535,6.813,7.54,-56.283,水层
1443.35,86.536,8.649,22.429,0.025,2.316,88.42,316.784,9.868,7.956,7.581,7.66,6.814,7.722,-57.05,水层
1443.4,86.798,8.642,22.459,0.023,2.314,85.871,316.844,10.148,8.111,7.733,7.785,6.815,7.905,-57.818,水层
1443.45,87.058,8.642,22.588,0.02,2.313,84.198,308.532,10.307,8.344,7.867,7.885,6.912,8.053,-58.46,水层
1443.5,87.318,8.642,22.718,0.017,2.312,82.521,295.241,10.467,8.577,8.002,7.984,7.009,8.202,-59.103,水层
1443.55,87.518,8.643,22.862,0.016,2.313,82.246,284.925,10.404,8.801,8.121,8.056,7.025,8.241,-59.601,水层
1443.6,87.718,8.644,23.006,0.014,2.314,81.971,281.827,10.341,9.025,8.24,8.128,7.041,8.281,-60.098,水层
1443.65,87.862,8.643,23.057,0.015,2.316,82.541,288.445,10.109,9.072,8.347,8.178,6.926,8.186,-60.446,水层
1443.7,88.005,8.643,23.109,0.016,2.319,83.11,295.937,9.876,9.119,8.453,8.227,6.811,8.091,-60.792,水层
1443.75,88.165,8.642,23.108,0.018,2.322,83.861,299.822,9.645,8.916,8.556,8.272,6.685,7.958,-61.004,水层
1443.8,88.326,8.642,23.108,0.019,2.325,84.612,299.134,9.413,8.714,8.66,8.318,6.56,7.826,-61.216,水层
1443.85,88.511,8.642,23.041,0.02,2.327,84.624,297.397,9.305,8.401,8.772,8.383,6.554,7.75,-61.335,水层
1443.9,88.696,8.642,22.974,0.021,2.328,84.634,295.12,9.196,8.087,8.885,8.449,6.548,7.675,-61.453,水层
1443.95,88.846,8.642,22.888,0.021,2.327,83.592,292.474,9.269,7.886,9.005,8.546,6.739,7.697,-61.543,水层
1444.0,88.995,8.642,22.801,0.022,2.326,82.546,291.014,9.343,7.684,9.126,8.644,6.929,7.719,-61.632,水层
1444.05,89.054,8.642,22.845,0.02,2.322,80.868,291.935,9.662,7.753,9.241,8.768,7.275,7.882,-61.758,水层
1444.1,89.113,8.642,22.889,0.019,2.318,79.194,292.244,9.98,7.822,9.356,8.891,7.62,8.045,-61.884,水层
1444.15,89.067,8.642,23.005,0.017,2.312,77.165,290.458,10.601,8.236,9.449,9.019,7.955,8.418,-62.086,水层
1444.2,89.021,8.641,23.121,0.015,2.307,75.14,287.077,11.221,8.649,9.541,9.145,8.29,8.791,-62.288,水层
1444.25,88.867,8.641,23.222,0.013,2.301,72.873,282.876,12.089,9.363,9.606,9.255,8.438,9.422,-62.573,水层
1444.3,88.712,8.642,23.324,0.011,2.296,70.607,279.07,12.958,10.078,9.671,9.364,8.585,10.053,-62.857,水层
1444.35,88.463,8.642,23.407,0.011,2.291,68.764,279.627,13.771,10.817,9.712,9.447,8.59,10.799,-63.194,水层
1444.4,88.214,8.643,23.491,0.01,2.285,66.917,285.355,14.586,11.557,9.753,9.531,8.596,11.548,-63.531,水层
1444.45,87.949,8.644,23.615,0.012,2.281,66.167,291.567,15.02,11.966,9.776,9.595,8.595,12.057,-63.868,水层
1444.5,87.685,8.644,23.739,0.014,2.276,65.415,293.924,15.454,12.375,9.799,9.658,8.594,12.567,-64.207,水层
1444.55,87.507,8.645,23.897,0.017,2.271,65.528,289.718,15.631,12.454,9.812,9.709,8.612,12.712,-64.494,水层
1444.6,87.33,8.645,24.054,0.02,2.267,65.64,286.28,15.807,12.533,9.826,9.761,8.629,12.857,-64.781,水层
1444.65,87.276,8.644,24.142,0.022,2.264,65.95,286.07,16.003,12.534,9.839,9.801,8.616,12.911,-64.979,水层
1444.7,87.223,8.643,24.229,0.023,2.261,66.259,287.045,16.198,12.536,9.852,9.841,8.603,12.964,-65.175,水层
1444.75,87.234,8.642,24.211,0.022,2.261,66.061,286.628,16.272,12.566,9.863,9.86,8.542,13.027,-65.264,水层
1444.8,87.245,8.641,24.192,0.021,2.261,65.862,284.778,16.346,12.596,9.874,9.879,8.482,13.089,-65.352,水层
1444.85,87.24,8.643,24.102,0.019,2.264,65.433,283.948,15.914,12.627,9.873,9.859,8.491,12.909,-65.32,水层
