Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,result
1689.00625,364.0958,8.5883,8.5056,0.245,83.6948,92.6406,355.8022,4.9311,5.072,6.9299,7.1651,6.5006,0.2317,171.123,4.0966,2.5763,-22.1762,干层
1689.0375,368.5177,8.5921,8.7725,0.2643,82.0047,87.4614,356.3069,5.1715,5.3567,6.8037,7.2507,10.5476,0.2325,166.8734,4.5408,2.6098,-22.1999,干层
1689.06875,370.2861,8.5905,7.9018,0.2411,80.2957,86.4958,356.5589,5.2103,5.4392,7.1828,7.6848,12.3127,0.2159,162.977,4.6668,2.6034,-22.1666,干层
1689.1,372.8126,8.5861,7.2548,0.2212,79.7927,88.7844,357.0637,5.2121,5.4747,7.8081,8.1656,7.7824,0.1937,159.4859,4.2404,2.5761,-22.1048,干层
1689.13125,375.5918,8.5812,7.3551,0.2209,80.2437,92.3061,358.3266,5.3231,5.621,8.1272,8.061,6.2422,0.1793,156.2981,3.8532,2.5586,-22.0906,干层
1689.1625,378.3709,8.573,8.0091,0.2275,80.5778,95.8154,360.9792,5.5421,5.8861,7.9734,7.925,7.4539,0.174,153.5145,3.6604,2.5497,-22.1477,干层
1689.19375,380.2657,8.5724,8.7083,0.2403,80.3141,98.2619,362.1162,5.7465,6.139,7.6649,8.0415,9.0406,0.1735,150.3768,3.631,2.5624,-22.2239,干层
1689.225,383.0448,8.5752,8.636,0.2523,79.9715,99.4389,364.6428,5.8194,6.23,7.7162,8.3669,11.6911,0.177,148.1497,3.7267,2.5874,-22.2811,干层
1689.25625,386.7082,8.5806,8.1411,0.219,79.8174,99.6557,368.5596,5.7764,6.1663,7.9913,8.3764,14.4056,0.1788,145.4675,3.6109,2.5709,-22.3619,干层
1689.2875,388.2242,8.5872,7.6515,0.1795,79.9484,98.7513,373.8667,5.7376,6.0836,8.142,8.2829,11.7353,0.1778,143.1389,3.4463,2.5415,-22.4096,干层
1689.31875,390.877,8.5899,7.6662,0.1869,80.2171,97.3053,381.4482,5.8059,6.1155,8.1178,8.0175,8.5734,0.1776,140.9619,3.4862,2.5411,-22.5001,干层
1689.35,392.5191,8.5888,8.4609,0.2344,80.1219,96.5285,387.008,5.9982,6.2921,8.3262,7.9242,8.1088,0.1741,139.2404,3.7781,2.5634,-22.6144,干层
1689.38125,393.6553,8.5855,9.7229,0.2486,80.1823,96.1214,390.4194,6.2242,6.5138,9.0352,8.9051,9.6547,0.1739,137.5695,3.8962,2.553,-22.6619,干层
1689.4125,394.1601,8.5812,11.6037,0.2237,80.6304,95.2177,388.0175,6.2791,6.5643,9.9473,9.9297,10.9668,0.178,135.291,3.8254,2.5147,-22.6476,干层
1689.44375,389.1039,8.5773,11.4811,0.2074,81.2078,94.1004,385.742,5.9839,6.2557,10.4297,10.6072,13.0203,0.1773,133.9744,3.6525,2.508,-22.514,干层
1689.475,385.0591,8.5773,9.4314,0.2037,82.4505,93.8069,384.2248,5.3908,5.6409,9.8448,10.1124,14.9289,0.1761,132.5057,3.4526,2.5234,-22.2711,干层
1689.50625,379.7503,8.5806,7.0904,0.19,84.1922,95.1246,381.5701,4.7455,4.9725,8.4102,8.5076,11.5578,0.1783,130.6827,3.3,2.5072,-21.9899,干层
1689.5375,374.9474,8.5692,5.5891,0.2054,85.5847,97.7811,379.2948,4.2397,4.4515,7.1018,6.8611,8.597,0.1802,129.2139,3.3814,2.501,-21.7474,干层
1689.56875,369.3858,8.5484,4.9856,0.2592,86.964,100.0846,375.5027,3.9413,4.1468,6.3463,5.8239,6.9604,0.1863,127.9981,3.8193,2.5128,-21.5524,干层
1689.6,363.8242,8.5397,4.8617,0.2993,88.2,100.7439,372.0898,3.8304,4.0379,5.6648,5.5498,5.574,0.1974,127.7931,4.363,2.5104,-21.3904,干层
1689.63125,359.021,8.5457,5.2792,0.284,88.1021,100.504,369.0562,3.8537,4.0699,5.0979,5.0414,6.3886,0.2082,128.0436,4.4627,2.4968,-21.3,干层
1689.6625,355.9872,8.5774,5.3492,0.2413,87.3094,100.592,365.3906,3.9461,4.1731,5.2883,4.9436,9.382,0.227,128.8503,4.1551,2.4981,-21.2617,干层
1689.69375,350.8045,8.6145,5.4226,0.2289,87.0655,101.3809,360.5876,4.0461,4.2782,5.6882,5.6291,7.9774,0.2283,129.9098,4.0986,2.5454,-21.1617,干层
1689.725,348.4026,8.6358,5.4342,0.221,87.0315,102.6861,351.2349,4.1309,4.3641,5.4586,5.4852,6.7943,0.2142,132.0818,4.2115,2.5811,-21.0095,干层
1689.75625,346.1269,8.6434,5.2574,0.213,85.9391,103.5518,345.9265,4.255,4.4936,5.3031,5.0102,10.5816,0.2152,134.3553,4.2454,2.5739,-20.9619,干层
1689.7875,344.7357,8.6505,5.7736,0.2552,83.2231,102.9383,340.1122,4.5327,4.7874,5.7124,5.4432,9.2103,0.2133,137.387,4.3893,2.5854,-20.9572,干层
1689.81875,343.5972,8.656,7.1939,0.2781,80.3891,100.8225,334.6773,5.0515,5.3397,6.8991,6.6244,5.7599,0.1985,141.885,4.4804,2.5604,-21.0003,干层
1689.85,342.8378,8.662,9.5441,0.2521,78.6251,98.2688,330.1271,5.7575,6.1,8.0466,7.7235,8.2697,0.1871,145.625,4.3212,2.5115,-21.124,干层
1689.88125,342.3314,8.6647,12.3334,0.232,77.3868,96.7419,325.1977,6.3174,6.7169,8.51,8.6347,17.8402,0.175,149.8702,4.2145,2.5322,-21.3,干层
1689.9125,342.3302,8.6625,12.4559,0.2004,76.8313,96.4206,322.543,6.3517,6.769,8.9418,9.6311,32.5965,0.1537,153.6604,4.0261,2.5761,-21.4478,干层
1689.94375,342.3296,8.6592,9.8615,0.1457,77.6332,96.803,317.8661,5.9337,6.3271,9.0422,9.3512,26.9863,0.1406,156.4397,3.7315,2.5694,-21.6096,干层
1689.975,342.4548,8.6538,7.9256,0.1215,79.2359,97.2552,312.1784,5.4393,5.8025,8.904,8.3778,13.7567,0.141,161.848,3.5054,2.5423,-21.6855,干层
1692.4125,372.33,8.7602,8.5425,0.2279,83.1781,100.2639,371.5165,4.9667,5.1757,7.1102,8.0444,9.8618,0.2175,149.9829,4.3599,2.6147,-19.6858,干层
1692.44375,373.7193,8.7624,8.1431,0.2469,82.9405,104.6612,371.0105,5.03,5.2147,7.1295,7.9852,8.5127,0.2136,148.0588,4.5026,2.6295,-19.8001,干层
1692.475,374.8557,8.7575,8.069,0.2291,82.8359,107.2058,370.5042,5.0268,5.1873,7.1769,7.7928,6.9176,0.2112,143.5531,4.2796,2.6052,-19.905,干层
