Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MSFL,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1049.036,8.3281,0.0031,95.8962,56.0938,5.1961,5.729,12.048,10.2584,4.7578,0.2563,2.6094,2.3367,11.5258,-74.5,660.5,441.0,653.5,434.75,水层
1049.0868,8.3906,-0.0039,99.3413,63.3125,4.9815,5.2203,9.2565,8.167,4.7773,0.2711,2.5098,2.3087,8.5709,-70.875,666.0,444.0,656.5,433.5,水层
1049.1376,8.4844,-0.0103,101.3187,76.3125,4.7862,4.7739,6.1247,5.306,5.0156,0.2795,2.4297,2.2402,5.6444,-67.3125,653.5,457.0,648.0,452.25,水层
1049.1884,8.5703,-0.0037,102.5378,94.5625,4.6584,4.3216,4.4584,3.8879,5.3438,0.2809,2.7227,2.2293,3.8429,-64.6875,647.5,474.0,638.0,470.0,水层
1049.2392,8.8594,0.0083,102.9219,101.625,4.5344,4.1953,3.7846,3.3482,5.6328,0.2901,3.1367,2.2729,2.9047,-63.5625,652.0,467.0,644.0,464.75,水层
1049.29,8.8125,0.0306,102.7244,103.3125,4.4162,4.2039,3.6999,3.2853,5.8783,0.2925,3.1406,2.3401,2.8066,-62.9375,656.5,458.75,648.0,456.25,水层
1049.3408,8.9531,0.053,102.4108,94.0625,4.3385,4.2717,4.0299,3.5349,6.1797,0.325,3.0975,2.3768,3.1597,-62.5625,651.4916,457.009,648.4908,454.7526,水层
1049.3916,8.8281,0.0577,99.9197,95.6875,4.2622,4.338,4.5721,4.0233,6.418,0.3179,2.8711,2.379,3.728,-62.1875,641.0,468.25,637.0,458.0,水层
1049.4424,8.7812,0.0662,96.2734,96.875,4.3398,4.3471,4.8766,4.3902,6.4883,0.3363,3.0098,2.3974,4.087,-61.8125,638.0,464.0,629.5,466.0,水层
1049.4932,8.7891,0.0764,94.202,103.0625,4.4006,4.4633,5.2479,4.7076,6.4766,0.3269,3.0332,2.4211,4.2586,-61.75,659.0,448.75,647.0,450.75,水层
1049.544,8.7969,0.0626,92.6657,97.9375,4.4942,4.5879,5.5241,4.8787,6.3594,0.3297,3.0293,2.4215,4.5191,-62.125,665.5,437.0,660.5,432.0,水层
1049.5948,8.5781,0.0581,91.1601,97.0625,4.4891,4.5496,5.554,4.8571,6.4022,0.3005,2.8066,2.4122,5.0791,-61.6875,660.5,442.0,649.0,438.0,水层
1049.6456,8.5703,0.0647,91.5864,90.3125,4.605,4.3654,5.2801,4.6119,6.8477,0.2756,2.6211,2.4103,4.8684,-61.1875,640.0,452.75,625.5,448.25,水层
1049.6964,8.6562,0.0254,94.9889,97.1875,4.522,4.2245,4.7703,4.2612,7.6914,0.2758,2.7266,2.3639,4.1123,-61.25,635.5,452.0,624.0,442.25,水层
1049.7472,8.5938,0.0116,98.9644,93.25,4.5277,4.2436,4.2527,3.8857,8.0234,0.2744,2.8887,2.3665,3.4211,-61.8125,634.5,440.25,624.0,430.75,水层
1049.798,8.5625,0.0297,99.6982,97.4375,4.4285,4.3162,4.2072,3.8127,8.0234,0.2942,3.0547,2.3806,3.4192,-61.5625,629.5,438.0,622.0,432.0,水层
1049.8488,8.5156,0.0311,97.6092,96.0625,4.3424,4.2805,4.3727,3.9059,8.1172,0.2971,2.8672,2.3693,3.7942,-61.3125,628.0,443.5,616.5,439.5,水层
1049.8996,8.5234,0.048,94.2942,97.4381,4.2635,4.1733,4.5917,4.0115,8.5938,0.3032,2.7149,2.345,4.0508,-60.8753,629.0024,455.4956,614.0064,450.2482,水层
1049.9504,8.5078,0.0752,93.1142,98.1875,4.263,4.1767,4.7546,4.1443,8.4847,0.2978,2.8398,2.3696,3.8355,-61.1875,632.0,450.0,622.0,448.0,水层
1050.0012,8.5156,0.1217,94.1343,97.0625,4.2725,4.2823,4.722,4.1339,8.3203,0.2903,2.8339,2.392,3.8016,-61.6875,649.498,436.7432,633.5004,432.9936,水层
1050.052,8.4766,0.1463,94.8027,95.0,4.2832,4.2331,4.7611,4.1407,8.0391,0.294,2.709,2.4086,4.0703,-61.6875,647.0,428.25,634.0,425.0,水层
1050.1028,8.4766,0.1412,94.9236,94.1875,4.3046,4.1632,4.7661,4.1077,7.5117,0.2888,2.5273,2.3688,4.1754,-61.8125,638.5,435.0,632.0,429.0,水层
1050.1536,8.4844,0.1187,94.7027,98.1875,4.2883,4.1498,4.7291,4.0992,6.2227,0.2732,2.5684,2.3481,3.9133,-61.8125,626.5,442.0,622.0,433.0,水层
1058.434,8.8047,0.0193,98.5577,87.4375,4.6263,4.4045,5.1417,4.2473,5.2773,0.2777,2.9375,2.3041,4.6454,-63.375,638.5,452.25,629.5,444.0,水层
1058.4848,8.8906,0.0383,100.9319,95.25,4.5312,4.1902,4.1822,3.594,5.1719,0.3069,3.0137,2.3105,3.5829,-62.3125,642.0,449.0,632.5,447.5,水层
