Depth,CAL,CALI,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1201.21875,9.1235,9.7867,0.0797,93.639,84.0714,3.2315,3.9516,6.3074,5.5909,0.9025,2.2439,57.7784,0.373,5.7121,2.2146,8.1279,-60.3919,649.5419,438.3482,651.1462,441.5566,水层
1201.25,9.023,9.5928,0.0735,91.5474,83.4158,3.3374,4.0811,6.8091,5.9668,0.9018,2.28,57.7625,0.3681,5.7843,2.221,8.5065,-60.4796,651.1293,438.3345,653.9318,440.7389,水层
1201.28125,8.9662,9.4626,0.0689,90.2401,82.4981,3.5396,4.2069,7.4356,6.3923,0.9004,2.4117,57.7537,0.3601,5.9086,2.226,9.0047,-60.5675,652.7167,438.7216,656.7201,441.121,水层
1201.3125,8.8832,9.4195,0.0631,89.5762,81.2526,3.6556,4.3282,8.1665,6.8089,0.9029,2.5273,57.745,0.3533,5.9928,2.2316,9.5683,-60.6554,655.1041,438.7054,658.31,441.5117,水层
1201.34375,8.7827,9.5151,0.0577,89.0934,80.2693,3.8258,4.4956,8.649,7.5356,0.9029,2.717,57.7354,0.3464,6.085,2.2394,9.9761,-60.7433,656.6915,438.6917,659.4979,442.2933,水层
1201.375,8.739,9.6187,0.0384,88.6105,79.5481,4.0963,4.786,9.337,8.1663,0.9055,3.4579,57.7179,0.3378,6.1571,2.2499,10.5603,-60.8314,657.8755,439.8764,661.0839,443.0848,水层
1201.40625,8.6559,9.7238,0.0248,88.0472,78.8269,4.3362,4.9148,9.7384,9.1075,0.9049,5.2784,57.7179,0.3324,6.133,2.2595,10.9064,-60.8754,658.2619,440.6654,661.4651,443.8713,水层
1201.4375,8.5991,9.8865,0.0149,87.7051,78.1057,4.6339,5.1927,10.1377,10.0411,0.9074,6.7307,57.7099,0.3233,6.0648,2.2681,11.4361,-60.8758,659.0491,441.0475,661.8541,444.257,水层
1201.46875,8.5816,10.022,0.0081,87.2624,77.2532,4.8497,5.4553,10.5735,10.3532,0.9066,7.9805,57.7012,0.3134,5.9484,2.2757,12.1288,-60.9202,660.2343,441.4382,662.64,444.6428,水层
1201.5,8.5685,10.128,0.0045,86.8801,77.0564,5.0949,5.6986,11.007,10.6546,0.9059,9.1771,57.6852,0.302,5.7598,2.2844,12.5264,-61.0081,661.0227,440.2161,662.6256,444.6253,水层
1201.53125,8.5685,10.1542,0.0015,86.8999,76.5974,5.4138,6.0323,11.0914,10.902,0.9051,11.1553,57.6677,0.2923,5.499,2.2918,12.7419,-61.0085,661.4066,439.798,663.8096,445.0099,水层
1201.5625,8.5684,9.9945,-0.0021,87.0806,76.0727,5.7092,6.1478,11.1979,11.0277,0.9077,13.0257,57.6677,0.2865,5.2944,2.2996,11.8326,-61.0527,661.3896,439.3873,664.5967,445.3981,水层
1201.59375,8.564,9.9418,-0.0033,87.3618,75.4827,5.9979,6.5078,10.8185,10.8808,0.907,14.4715,57.659,0.2801,5.0898,2.3062,11.2414,-61.0096,661.3754,439.3711,664.9805,445.7839,水层
1201.625,8.5596,10.0254,-0.0051,87.6229,75.7442,6.2892,6.6956,10.5323,10.5727,0.9062,17.0578,57.6502,0.2713,4.8771,2.3116,10.5989,-60.9227,660.1563,439.7544,665.3643,446.1709,水层
1201.65625,8.5596,10.2742,-0.0063,87.8639,76.0059,6.6197,6.9282,10.2931,10.3128,0.9095,18.5571,57.6414,0.2674,4.6565,2.3168,10.0884,-60.7922,658.932,440.1426,665.3513,447.7538,水层
1201.6875,8.5552,10.2645,-0.0072,88.0447,76.1366,6.9941,7.2372,9.9443,10.0208,0.9112,20.3779,57.6649,0.2656,4.4919,2.3204,9.7124,-60.6618,658.5209,441.3298,664.9297,449.7424,水层
1201.71875,8.5508,10.0618,-0.0076,88.1852,76.3328,7.3897,7.8374,9.6442,9.7931,0.9112,20.9583,57.6649,0.2643,4.3796,2.3267,9.2797,-60.575,658.5066,442.5183,664.9141,450.9333,水层
1201.75,8.5508,9.8304,-0.0082,88.4463,76.4634,7.5742,7.9271,9.534,9.3891,0.9104,21.2601,57.6465,0.2636,4.207,2.3305,9.1224,-60.4446,658.4897,444.8989,665.7012,452.9219,水层
1201.78125,8.5508,9.6005,-0.0084,88.6671,76.6595,7.927,8.3279,9.3353,9.211,0.9136,21.963,57.6779,0.2623,4.1067,2.3325,8.9169,-60.4013,659.6762,446.0911,667.291,454.908,水层
1201.8125,8.5376,9.3914,-0.0086,88.8076,76.8555,8.1712,8.5845,9.1231,9.0536,0.9112,20.5396,57.662,0.2623,3.9662,2.3339,8.749,-60.2273,661.2634,448.0734,669.6758,457.6942,水层
1201.84375,8.5376,9.2031,-0.0084,88.928,76.9209,8.407,8.8155,9.0016,8.8648,0.9112,19.3562,57.662,0.263,3.8699,2.3349,8.8321,-60.184,664.0502,449.2656,671.6611,459.2858,水层
1201.875,8.5332,9.0722,-0.008,89.0685,76.9204,8.5679,8.9332,8.7803,8.6634,0.9104,17.5222,57.654,0.2642,3.7776,2.3359,8.8321,-60.0537,665.6387,451.2554,672.8489,461.2731,水层
