Depth,AC,CAL,CNL,GR,MINV,MNOR,R025,R045,R25,R4,RA05,RILD,RILM,RL3D,RL3S,RLL8,RM,SP,result
1461.8125,92.4995,8.5299,50.3488,101.8571,4.9549,4.9549,1.793,2.9546,4.4046,2.5539,3.0327,2.0997,2.3078,8.7246,8.7246,9.7611,0.975,8.9929,油层
1461.84375,92.1441,8.5348,50.8078,101.979,4.8396,4.8396,1.7034,2.7985,4.3194,2.4666,3.0828,2.0518,2.2714,8.9523,8.9523,10.3509,0.975,8.8927,油层
1461.875,91.7887,8.5659,51.3626,102.101,4.7368,4.7368,1.6138,2.6424,4.2343,2.3159,3.1154,2.0122,2.2313,9.1799,9.1799,10.9168,0.975,8.7924,油层
1461.90625,91.4806,8.597,52.145,102.2229,4.9271,4.9271,1.5429,2.455,4.1568,2.178,3.1381,1.9804,2.1883,9.3682,9.3698,11.4928,0.975,8.6901,油层
1461.9375,91.3629,8.6269,52.9633,102.3448,5.2828,5.2828,1.472,2.2675,4.1101,2.0782,3.1381,1.9722,2.1459,9.3985,9.408,11.8573,0.975,8.5796,油层
1461.96875,91.2452,8.6517,53.7933,102.4668,5.6513,6.1093,1.436,2.1554,4.0634,2.0038,3.1851,1.9555,2.1235,9.784,9.4461,12.2561,0.975,8.4691,油层
1462.0,91.1275,8.6766,54.7802,102.5887,6.0833,6.5544,1.4,2.1191,4.0167,1.9045,3.2636,1.9332,2.1016,9.8475,10.1017,13.1182,0.975,8.3586,油层
1462.03125,90.9848,8.7015,55.4063,102.7106,5.624,6.7447,1.3363,2.1107,3.9775,1.8551,3.2636,1.9113,2.0798,9.3498,10.2857,13.1666,0.975,8.3507,油层
1462.0625,90.8422,8.7139,56.0692,102.8325,5.3428,6.6036,1.2727,2.0756,3.9382,1.5903,3.2636,1.8923,2.0622,9.2405,9.25,12.5794,0.975,8.3428,油层
1462.09375,90.6995,8.7264,56.6596,102.9544,5.2786,6.3352,1.2727,2.0031,3.899,1.6041,3.2636,1.878,2.0525,9.1313,9.9048,11.3972,0.975,8.3349,油层
1462.125,90.6711,8.7388,57.0102,102.9787,5.112,6.1309,1.2727,1.9055,3.8912,1.659,3.2009,1.8357,2.0457,8.9282,9.5238,10.8688,0.975,8.3896,油层
1462.15625,90.6711,8.7214,56.714,102.9787,5.0986,5.9007,1.2727,1.871,3.8912,1.7,3.1381,1.7883,2.0321,8.7017,9.3968,10.2895,0.975,8.4598,油层
1462.1875,90.6711,8.6965,55.8066,102.9787,5.1741,5.7089,1.2727,1.9,3.8912,1.7548,3.1381,1.7477,2.0295,8.4752,8.7813,9.8665,0.975,8.5301,油层
1462.21875,90.726,8.6716,55.2703,102.9787,5.2496,5.6445,1.2727,2.0057,3.8912,1.8085,3.1381,1.7197,2.027,8.1957,8.6824,9.4442,0.975,8.587,油层
1462.25,90.8174,8.6468,54.7942,102.9787,5.4397,5.7073,1.2727,2.0982,3.8912,1.9143,3.1381,1.7001,2.0245,8.1693,8.5956,9.1559,0.975,8.6351,油层
1462.28125,90.9088,8.6219,54.462,102.9787,5.7954,5.961,1.2727,2.1523,3.8912,2.0451,3.1381,1.6617,2.0333,7.751,8.5088,8.9254,0.975,8.6832,油层
1462.3125,90.9747,8.597,54.2614,102.9301,6.1002,6.1258,1.2727,2.1411,3.8793,2.1497,3.1695,1.6258,2.0418,7.4968,8.1905,8.669,0.975,8.7002,油层
1462.34375,91.0021,8.5771,54.3125,102.8082,6.6085,6.6085,1.3045,2.0627,3.8495,2.2555,3.248,1.594,2.058,7.5604,8.444,8.3737,0.975,8.6702,油层
1462.375,91.0294,8.5647,54.616,102.6863,7.0278,7.0278,1.3363,1.9843,3.8197,2.3095,3.2831,1.5876,2.0669,7.3698,8.0635,8.074,0.975,8.6402,油层
1462.40625,91.075,8.5523,54.9307,102.5644,7.562,7.562,1.3548,1.8892,3.7939,2.3126,3.3177,1.5876,2.0794,7.3698,8.0635,7.7709,0.975,8.5789,油层
1462.4375,91.1939,8.5398,55.2941,102.4425,7.9813,7.9813,1.3733,1.7941,3.7845,2.2526,3.3937,1.5876,2.0846,7.3698,8.4277,7.6725,0.975,8.3919,油层
1462.46875,91.3128,8.5274,55.5846,102.3205,8.4008,8.4008,1.323,1.7989,3.7751,2.1667,3.4699,1.5876,2.0974,7.4333,8.4277,7.5208,0.975,8.2048,油层
1462.5,91.4317,8.5149,55.8873,102.1986,7.3684,7.3684,1.2727,1.8037,3.7657,2.0299,3.546,1.5876,2.1063,7.7673,8.4277,7.4259,0.975,8.0177,油层
1462.53125,91.4317,8.5025,56.2976,101.9547,6.9858,6.9858,1.1932,1.8933,3.8049,1.9191,3.7005,1.592,2.1152,8.1482,8.6022,7.7745,0.975,7.8212,油层
1462.5625,91.4317,8.4963,56.4773,101.7109,6.3225,6.3225,1.1136,1.9829,3.8442,1.8207,3.8551,1.6174,2.1399,8.5292,8.7767,8.3818,0.975,7.6247,油层
1462.59375,91.4317,8.4901,54.1711,101.467,6.0291,6.0291,1.0659,2.0307,3.8834,1.7478,4.0097,1.674,2.1607,8.9101,8.9512,8.7112,0.975,7.4281,油层
1462.625,91.5269,8.4838,47.9929,101.1255,5.468,5.468,1.0182,2.0785,3.9141,1.7277,4.1642,1.7169,2.1902,9.4308,9.3934,9.1875,0.975,7.2632,油层
1462.65625,91.6458,8.4826,46.0277,100.7597,4.8686,4.8686,1.0659,1.9484,3.9428,1.8306,4.3166,1.7609,2.2034,9.9864,9.9021,9.4791,0.975,7.1061,油层
1462.6875,91.7646,8.4826,43.3463,100.3939,4.8041,5.4659,1.1136,1.8182,3.9714,2.1011,4.461,1.823,2.2108,10.5419,10.4109,9.9062,0.975,6.949,油层
1462.71875,91.8834,8.4826,40.7248,99.9552,5.2744,5.6819,1.1995,1.7319,4.0061,2.4991,4.5659,1.8873,2.2705,11.037,10.9193,10.2581,0.975,6.7579,油层
1462.75,92.0021,8.4826,37.1325,99.468,5.7569,6.0121,1.2854,1.6456,4.045,2.935,4.6444,1.9529,2.3495,11.4923,11.4275,10.7799,0.975,6.5443,油层
1462.78125,92.1208,8.4826,32.6407,98.9809,5.8458,6.1895,1.3792,1.7649,4.0838,3.3715,4.7283,2.0268,2.4385,11.9475,11.9356,11.1014,0.975,6.3307,油层
1462.8125,92.2396,8.4826,31.323,98.3964,6.1249,6.3665,1.4729,1.8842,4.1493,3.8201,4.8732,2.1211,2.5417,12.2613,12.444,11.5166,0.975,6.1577,油层
1462.84375,92.3585,8.4826,29.6998,97.6649,6.0733,6.4551,1.662,2.1806,4.2552,4.4471,5.1093,2.246,2.6662,12.3615,12.9528,12.0136,0.975,6.0459,油层
1462.875,92.4774,8.4826,28.8638,96.9333,5.9959,6.5051,1.8511,2.477,4.3612,5.214,5.5298,2.3804,2.848,12.4618,13.4616,12.7649,0.975,5.9342,油层
1462.90625,92.5963,8.4826,28.2919,96.2503,5.9695,6.5045,2.0383,2.7726,4.4904,5.8282,6.0109,2.5198,3.0499,12.5389,13.9265,12.859,0.975,5.8291,油层
1462.9375,92.7152,8.4851,27.4301,95.7626,5.9688,6.5164,2.2255,3.0682,4.7132,6.5397,6.5515,2.67,3.2753,12.5228,14.2152,12.6975,0.975,5.7505,油层
1462.96875,92.834,8.4975,27.2505,95.2749,5.9546,6.5276,2.4459,3.2397,4.9361,7.1176,7.1811,2.8288,3.5428,12.5067,14.5038,12.4915,0.975,5.672,油层
1463.0,92.9529,8.51,27.0109,94.7872,5.9283,6.5401,2.6663,3.4113,5.1589,7.4885,7.87,2.9934,3.8384,12.4906,14.7925,12.3341,0.975,5.5935,油层
1463.03125,93.1538,8.5224,26.987,94.1776,5.9277,6.5901,2.9766,3.5218,5.7639,7.8086,8.4962,3.1792,4.2184,12.4395,14.6632,12.112,0.975,5.6088,油层
1463.0625,93.3546,8.5224,27.5898,93.568,5.9272,6.6912,3.2868,3.6324,6.3688,8.0905,9.1193,3.4061,4.6434,12.3883,14.5338,11.9811,0.975,5.6242,油层
1463.09375,93.5555,8.5224,28.2168,92.9583,5.9135,6.8174,3.6002,3.9478,6.9738,8.1177,9.7377,3.6947,5.1358,12.0712,14.4045,11.7659,0.975,5.6395,油层
1463.125,93.7849,8.5224,28.9873,92.3487,5.9507,6.8804,3.9135,4.2632,8.2879,7.9547,10.2388,4.0496,5.5387,11.8806,14.2632,11.5543,0.975,5.7055,油层
1463.15625,94.0215,8.5224,29.5862,91.7391,6.0138,6.9306,4.1873,4.8058,9.7785,7.8549,10.6831,4.4329,5.9087,12.3253,14.1189,11.492,0.975,5.7841,油层
1463.1875,94.2581,8.5224,30.1851,91.1294,6.1528,6.9806,4.461,5.3485,11.269,7.768,11.0166,4.8639,6.2353,12.4767,13.9746,11.4513,0.975,5.8626,油层
1463.21875,94.7094,8.5224,30.7241,90.9598,6.2157,6.9796,4.5851,5.9146,12.6375,7.7187,11.2053,5.3358,6.6064,13.3419,14.3688,11.4738,0.975,5.957,油层
1463.25,95.3029,8.5187,31.2742,91.0816,6.0239,6.9409,4.7091,6.4808,13.9251,7.7715,11.2971,5.835,7.0071,14.7446,15.1196,11.4964,0.975,6.0618,油层
1463.28125,95.8964,8.5124,31.7554,91.2033,5.5011,6.558,4.8531,7.2743,15.2128,7.9008,11.2367,6.1655,7.5102,16.1474,15.8703,11.6464,0.975,6.1666,油层
1463.3125,96.567,8.5062,32.1043,91.4223,4.2263,6.1878,4.9971,8.0679,16.3655,8.0301,11.1386,6.4882,8.0005,18.0927,17.2884,12.2607,0.975,6.2662,油层
1463.34375,97.3539,8.5,32.4171,91.7881,4.2261,5.996,5.1855,8.7937,17.3146,8.1594,10.984,6.7991,8.4716,20.857,19.7139,13.862,0.975,6.3578,油层
1463.375,98.1408,8.4938,32.7058,92.1539,4.9891,5.6258,5.374,9.5194,18.2636,8.2882,10.8923,7.1967,8.8022,23.6212,22.1394,15.2764,0.975,6.4494,油层
1463.40625,99.2315,8.4876,32.9946,92.5683,5.4341,5.4978,5.5625,10.2959,19.265,8.4175,10.8269,7.6216,9.0812,26.0957,24.4455,16.9587,0.975,6.5411,油层
1463.4375,101.5432,8.4863,32.9226,93.1779,5.8024,5.8788,5.751,11.0724,20.4768,8.4193,10.8041,8.0691,9.2929,27.4053,26.2718,18.7923,0.975,6.6335,油层
1463.46875,103.8549,8.505,32.6223,93.7876,5.9034,6.247,5.6978,11.7306,21.6885,7.8998,10.8726,8.5465,9.5061,28.7148,28.098,20.5206,0.975,6.7258,油层
1463.5,106.1665,8.5236,32.4422,94.3972,5.5835,6.4629,5.6446,12.3888,22.9003,7.4186,11.002,9.0439,9.6182,30.0244,29.9243,23.7599,0.975,6.8182,油层
