Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1631.6,395.5847,8.9844,0.1923,73.1825,78.942,389.1512,13.3083,14.4702,18.8272,19.5893,1.2285,6.2303,69.0625,0.319,190.171,13.3167,2.3932,18.47,-42.2486,574.3059,403.8929,583.4183,403.8929,差油层
1631.63125,395.8415,9.0234,0.1868,75.2143,84.5,396.3575,11.9594,13.1835,16.2517,17.186,1.2305,6.1445,69.0625,0.3186,191.892,13.3551,2.3768,17.2564,-40.5,580.4633,406.9977,588.7026,406.9977,差油层
1631.6625,395.8415,9.0625,0.1832,76.2233,82.935,404.449,10.3688,11.7255,14.6964,15.4935,1.2295,6.0117,69.0625,0.318,193.588,13.382,2.3604,17.5054,-38.4986,583.99,410.0968,594.4263,410.0968,差油层
1631.69375,396.0982,9.0781,0.1763,76.8613,79.8125,412.7934,9.0305,10.0237,14.3515,15.0474,1.2305,6.1875,69.0625,0.3177,194.289,13.4395,2.3398,15.9352,-36.75,590.581,413.6468,599.6934,413.6468,差油层
1631.725,396.2266,9.0781,0.1664,77.887,81.1922,410.2614,8.1092,8.5143,13.0632,13.675,1.2314,6.4297,69.0625,0.3176,194.6,13.5237,2.3191,12.7915,-33.4974,594.9807,416.3122,604.0988,416.3122,差油层
1631.75625,396.2267,9.0703,0.1584,79.6378,87.0,403.8089,7.5712,7.4148,11.3901,12.1174,1.2305,6.6715,69.0625,0.3176,193.117,13.8449,2.3062,9.9637,-30.25,601.1323,419.4286,608.4985,419.4286,差油层
1631.7875,396.2267,9.0703,0.1505,82.0616,98.3187,399.1265,7.5393,6.7126,9.4548,10.004,1.2285,6.5153,69.0625,0.3176,189.43,14.2693,2.2934,8.4313,-27.7484,605.5262,422.5449,614.6443,422.5449,差油层
1631.81875,395.9702,9.0391,0.1423,84.5139,106.0,391.6619,7.7958,6.5645,7.2582,7.6263,1.2285,6.3984,69.0625,0.3177,188.035,14.5179,2.2769,7.0529,-25.75,611.2383,425.2045,618.6046,425.2045,差油层
1631.85,395.7135,9.3204,0.1372,80.8811,110.3704,386.7275,7.8174,7.3792,6.202,6.6489,1.2295,6.4336,69.0625,0.3178,186.253,14.7359,2.2604,6.5064,-23.999,616.5053,428.315,625.6349,428.315,差油层
1631.88125,395.2002,9.4766,0.132,77.1383,104.625,381.9192,7.6556,8.7797,7.23,7.5893,1.2285,7.0234,69.0625,0.318,183.092,14.8775,2.2508,7.5562,-22.75,622.6568,431.414,629.5894,431.414,差油层
1631.9125,394.687,9.0938,0.1282,72.499,90.5625,376.2253,7.4229,9.2615,9.289,9.6364,1.2295,7.6172,69.0625,0.3185,181.307,15.1299,2.2411,14.413,-22.0,627.0565,434.0794,634.4284,434.0794,差油层
1631.94375,394.302,8.9453,0.1265,69.7882,75.9333,369.8994,7.077,8.7864,13.1049,13.5981,1.2295,8.308,69.0626,0.3202,179.352,15.5084,2.2446,24.9633,-21.7494,633.653,438.063,640.5741,438.063,差油层
1631.975,393.6604,8.9688,0.128,71.6547,70.6875,377.4849,6.7616,7.8914,18.3367,20.3561,1.2295,6.4577,69.125,0.3225,179.918,15.6919,2.248,22.6256,-21.0,638.4748,441.6013,646.2803,441.6013,差油层
1632.00625,392.7621,9.0081,0.1321,76.8953,77.5727,391.8995,6.6337,6.7907,11.6652,13.7684,1.2295,5.1305,69.125,0.3263,181.508,15.5813,2.2549,13.847,-20.2492,644.1868,445.1513,651.9924,445.1513,差油层
1632.0375,390.9655,9.3594,0.1365,83.2301,90.25,398.8526,6.4707,5.8315,7.3336,8.5668,1.2285,4.1719,69.125,0.3303,184.26,15.4897,2.2618,9.218,-19.25,650.3382,448.2387,656.8313,448.2387,差油层
1632.06875,389.6822,9.7503,0.1418,87.351,100.5653,401.2528,6.1993,5.4715,5.4474,6.5448,1.2285,3.7773,69.1249,0.3334,186.98,15.3638,2.274,6.5756,-19.2496,654.7321,451.7886,660.3751,451.7886,差油层
1632.1,388.0139,10.1172,0.1468,87.1366,104.0,403.2737,5.8403,5.5064,4.7319,5.7177,1.2285,3.502,69.0625,0.337,190.059,14.8654,2.2862,5.6315,-18.75,659.1488,454.8875,667.8216,454.8875,差油层
1632.13125,385.5755,9.6637,0.1518,84.0469,102.743,402.1325,5.3214,5.5773,5.1259,6.1432,1.2295,3.291,69.0625,0.3392,191.944,13.6731,2.2991,6.3039,-18.2498,663.1205,458.4258,673.0884,458.4258,差油层
1632.1625,383.0089,9.1875,0.1567,81.4088,94.0,397.5768,4.8213,5.3834,6.8897,7.8789,1.2275,3.1501,69.0625,0.342,193.378,12.8462,2.312,8.879,-18.0,666.2191,462.4093,677.4937,462.4093,差油层
1632.19375,379.0305,9.3284,0.1644,82.3703,92.4418,395.6781,4.8236,4.8529,7.0919,7.8151,1.2285,3.027,69.0625,0.3443,194.492,12.3269,2.3271,9.6127,-17.7498,668.4677,464.641,681.4767,464.641,差油层
1632.225,371.4588,9.6406,0.1711,87.783,97.75,390.1107,5.3435,4.6124,5.9071,6.5218,1.2285,2.922,69.0625,0.3447,196.667,11.4808,2.3422,7.318,-17.5,670.2653,467.3177,682.8466,467.3177,差油层
