Depth,AC,CALI,CALS,CNGR,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,RLLD,RLLS,SFLU,SP,TT1,TT2,TT3,TT4,result
1610.2275,249.6413,9.0312,9.3679,119.4996,-0.0072,84.5907,120.0854,258.0043,5.2963,5.1992,5.5122,5.2308,1.3146,4.0136,65.2853,0.2073,141.2252,2.8516,2.4983,5.7921,4.0258,4.5135,-8.6426,554.5,391.0,558.0,394.0,油水同层
1610.25875,250.2778,9.1562,9.3295,113.3232,-0.0078,82.9366,113.3197,257.3622,5.3339,5.6282,6.5617,6.0139,1.3131,3.9391,65.3369,0.1887,140.7113,2.6699,2.4898,5.9201,4.0642,6.2079,-9.0986,554.0004,392.9984,557.0008,396.7478,油水同层
1610.29,250.7853,9.1562,9.2361,107.6862,-0.005,81.5252,104.615,257.1035,5.4547,5.833,7.6286,6.866,1.3132,3.7944,65.3696,0.1809,140.1964,2.6875,2.4766,6.0865,4.1025,8.7223,-9.7603,554.5,389.0,556.0,392.75,油水同层
1610.32125,251.9298,9.1562,9.1515,105.84,-0.0028,80.6666,98.8297,256.7163,5.7244,5.833,8.4393,7.5483,1.3147,3.688,65.375,0.188,139.8873,2.7266,2.4701,6.1377,4.1281,9.8784,-10.2805,552.5016,386.0024,554.0016,389.5026,油水同层
1610.3525,252.3107,9.1562,9.1868,107.4426,0.003,80.6752,96.5853,256.7125,6.197,5.9929,8.4632,7.7298,1.3153,3.6398,65.375,0.2061,139.5771,2.8223,2.479,6.1504,4.1665,8.0869,-10.6221,547.5,383.5,551.0,387.5,油水同层
1610.38375,253.5824,9.1562,9.1869,105.5123,0.0071,81.3511,97.3354,256.9636,6.8543,6.5099,7.7788,7.3299,1.3159,3.6043,65.375,0.2086,139.268,2.7578,2.4825,6.1632,4.1921,6.845,-10.8267,542.0,382.0,543.0,384.25,油水同层
1610.415,253.9646,9.1562,9.1276,100.3418,0.0089,80.9444,97.6323,257.2159,7.4915,7.184,7.5644,7.2323,1.3168,3.5852,65.375,0.2041,138.5999,2.7617,2.4731,6.176,4.2048,7.1878,-11.2662,541.0,382.0,543.5,383.5,油水同层
1610.44625,254.472,9.1562,9.0978,94.0828,0.0065,80.4266,95.3486,257.722,7.8342,7.8969,8.4439,8.0379,1.3178,3.619,65.375,0.1833,138.0355,2.7909,2.4558,6.1632,4.192,8.5574,-12.0306,541.0,379.0,542.0,381.0,油水同层
1610.4775,255.2344,9.1562,9.0938,86.4255,0.0055,79.4293,88.9638,258.6133,8.0365,8.7374,10.0819,9.4889,1.3187,3.6967,65.375,0.1662,136.8057,2.6992,2.4399,6.0607,4.1408,11.0688,-12.8434,544.5,377.5,544.5,380.75,油水同层
1610.50875,255.7425,9.1562,9.0938,79.6869,0.0018,79.3675,80.0497,259.6317,8.0675,9.1894,12.4486,11.4576,1.3197,3.7782,65.375,0.1642,135.935,2.5878,2.4308,5.8943,4.0512,15.5838,-13.6535,545.5,377.5,546.5,381.5,油水同层
1610.54,256.3765,9.1562,9.0975,78.5675,0.0016,80.3789,73.8351,260.0112,8.019,8.8572,14.5481,13.0792,1.3188,3.7954,65.375,0.1754,131.9963,2.4434,2.4287,5.7023,3.9488,17.2756,-14.3291,545.0004,377.5,547.4992,381.5,油水同层
1610.57125,256.6296,9.1562,9.1047,85.0345,0.0042,81.8898,73.1852,257.8344,7.9138,8.2899,14.7159,13.2365,1.3176,3.7718,65.375,0.1885,131.7915,2.5372,2.4324,5.5615,3.872,14.5798,-14.5014,546.5,377.5,548.0,382.25,油水同层
1610.6025,257.0087,9.1562,9.0937,94.493,0.0093,83.5977,78.2527,255.7855,7.8316,7.7091,12.5307,11.5285,1.3164,3.785,65.375,0.2028,128.9283,2.6738,2.4405,5.3695,3.8079,10.1207,-13.9581,547.4992,380.2478,549.9984,382.9994,油水同层
1610.63375,257.2612,9.1719,9.0732,101.9062,0.0146,83.7528,86.0205,252.4568,7.5682,7.2029,9.8553,9.2678,1.3156,3.926,65.375,0.2095,126.6779,2.8711,2.4536,5.2415,3.7439,7.7157,-13.0273,550.5,386.25,553.0,388.75,油水同层
1610.665,257.2575,9.1719,9.0638,107.1091,0.0177,83.9396,94.1511,257.9476,7.2591,6.8608,8.1089,7.672,1.3154,4.1254,65.375,0.2111,124.9897,2.875,2.4688,5.1646,3.6927,6.7207,-12.1548,554.9964,387.9986,553.9992,390.9982,油水同层
1610.69625,256.8693,9.1562,9.0625,109.4633,0.0145,84.1552,100.1014,258.4574,6.9277,6.6121,7.2646,6.8695,1.3154,4.2547,65.375,0.21,123.4541,2.8047,2.4826,5.1646,3.7055,6.35,-11.4328,552.0,387.0,557.0,391.0,油水同层
1610.7275,256.6107,9.1719,9.0625,107.3749,0.0133,84.5127,103.0546,265.4827,6.6433,6.5882,7.068,6.6774,1.3154,4.2416,65.375,0.2138,121.9185,2.8984,2.4904,5.2286,3.7311,6.2689,-11.0099,554.498,383.0032,557.9992,389.0016,油水同层
