Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD60,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
932.0,345.8923,9.6719,0.064,96.0048,89.25,303.8472,4.9832,4.7529,5.6147,4.79,1.2451,8.2344,50.8125,0.2768,201.7502,2.256,2.3443,4.2426,-31.0156,610.4894,416.6003,614.9559,423.4058,水层
932.03125,349.7087,9.6484,0.0663,96.9243,92.0625,309.3255,4.9758,4.7486,5.3181,4.4729,1.2451,8.5938,50.8438,0.2842,196.7925,2.3532,2.3254,4.2132,-30.0469,618.2055,421.4589,621.1713,427.3699,水层
932.0625,352.1291,9.5391,0.0641,97.8745,87.625,332.1557,4.9873,4.7985,5.1155,4.2867,1.2441,8.7109,50.8438,0.2933,184.8317,2.3433,2.306,4.4064,-30.1094,627.3937,426.6075,629.5723,432.2682,水层
932.09375,355.3112,9.4531,0.0635,98.4933,88.4369,342.4819,4.9645,4.9046,5.1035,4.3172,1.2412,8.8281,50.8125,0.3001,180.9475,2.2778,2.2831,4.6749,-31.9223,643.8712,431.1987,646.7289,436.8776,水层
932.125,358.8761,9.4531,0.0548,98.2866,86.9367,358.6779,4.8818,4.9972,5.4485,4.6433,1.2402,8.6721,50.8125,0.2942,177.9322,2.4405,2.2522,5.1007,-33.0314,673.0737,435.5941,674.6023,441.9525,水层
932.15625,360.91,9.4531,0.0451,97.2901,85.0,364.0298,4.6725,4.9027,5.9122,5.0224,1.2432,8.7734,50.7812,0.2731,175.3771,2.8365,2.231,5.8165,-33.5312,697.2031,447.6884,697.5355,454.3296,水层
932.1875,361.7958,9.4688,0.0504,98.0997,82.3125,369.1252,4.3809,4.5135,6.4348,5.481,1.2441,8.9609,50.8125,0.2576,173.4865,3.0813,2.2311,6.2361,-34.7812,710.9954,474.8,716.3945,480.9798,水层
932.21875,361.916,9.4922,0.078,104.5279,78.0,376.6419,4.1554,3.9447,7.2272,6.0854,1.2451,9.2497,50.7812,0.2702,172.3627,2.9137,2.2353,5.4316,-35.5,722.9603,497.2904,728.8802,504.6005,水层
932.25,360.1227,9.5703,0.0891,112.4403,78.5,377.6574,4.0257,3.5176,6.2749,5.2961,1.2471,9.4375,50.8125,0.3032,171.4945,2.7147,2.2403,3.8613,-34.875,725.67,513.5569,731.835,522.2167,水层
932.28125,355.1387,9.7891,0.0921,120.3801,84.8125,371.0143,3.9428,3.3498,4.6358,3.9967,1.2471,9.5703,50.8438,0.3374,170.8307,2.6765,2.255,2.6581,-32.7812,710.9481,532.1053,719.8632,541.1478,水层
932.3125,349.1353,9.9375,0.107,125.9351,94.8125,365.776,3.8643,3.3397,3.6382,3.1444,1.249,9.7344,50.8438,0.3539,170.4736,2.7285,2.2958,2.4169,-29.0469,696.8708,546.7064,703.5088,554.3532,水层
932.34375,339.6838,9.9609,0.1086,125.8037,108.1875,355.1743,3.7867,3.3939,3.0314,2.6189,1.248,9.8672,50.875,0.3493,170.2189,2.704,2.3373,2.4898,-26.4219,699.8054,547.7433,703.2655,552.1504,水层
932.375,337.6378,10.0312,0.0766,116.905,110.5625,353.1292,3.7118,3.537,3.0614,2.5942,1.2451,9.8516,50.7812,0.3413,170.6796,2.7319,2.3426,2.712,-25.5156,713.4507,526.8272,713.5405,533.7353,水层
932.40625,334.0572,10.1094,0.0627,106.3693,112.0,346.9979,3.6921,3.7442,3.4215,2.9292,1.2451,9.75,50.8125,0.3218,172.0096,2.7642,2.3536,3.2079,-25.2344,720.5921,510.2248,724.7763,518.4517,水层
932.4375,332.1364,10.2031,0.0733,98.2609,105.6875,341.2481,3.7492,3.8491,4.1663,3.5478,1.2451,9.625,50.8438,0.2993,173.902,2.7585,2.3686,4.0517,-25.2344,715.7552,498.138,724.4844,507.0729,水层
932.46875,330.597,10.4141,0.0817,93.923,103.5,337.9234,3.8712,3.8046,4.7215,3.9891,1.2451,9.4531,50.8438,0.2852,174.8227,2.7345,2.377,4.5554,-24.9531,700.5264,476.6872,708.5154,488.0529,水层
932.5,329.4416,10.7189,0.0875,93.4824,100.2514,334.3398,4.0299,3.7729,4.8916,4.146,1.2461,9.3672,50.875,0.285,176.715,2.6902,2.375,4.1381,-24.7188,690.2859,456.0299,695.8853,468.488,水层
932.53125,328.6701,11.0626,0.1022,95.7653,103.751,332.4199,4.1408,3.8303,4.8374,4.1583,1.2461,9.4843,50.8438,0.2852,178.4538,2.663,2.378,3.5278,-24.5938,682.2663,441.2412,690.1332,453.7575,水层
932.5625,327.8975,11.3438,0.1153,97.331,106.125,331.2653,4.1207,3.8646,4.2944,3.7603,1.2451,9.8125,50.875,0.2766,179.6304,2.6049,2.386,3.4072,-24.5,677.8751,446.3014,686.0074,455.4374,水层
932.59375,327.1236,11.625,0.1161,96.8208,111.375,330.1095,3.9636,3.7509,4.0271,3.5701,1.2461,10.0781,50.9062,0.2738,180.7047,2.6591,2.3892,3.548,-24.4531,672.132,462.5085,679.4479,470.6768,水层
